2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions (18+) - DMC23,Plan All-Cause Readmissions (18-64) - DMC24,Plan All-Cause Readmissions (65+) - DMC25,Physical Functioning Activities of Daily Living - DMC26,Care of Older Adults - Functional Status - DMC27,Kidney Health Evaluation for Patients With Diabetes - DMC28,Improving or Maintaining Physical Health - DMC29,Improving or Maintaining Mental Health - DMC30,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Not enough data available,75%,Not enough data available,72%,Not enough data available,No data available,0:17,81%,98%,0.00%,62%,77%,39%,3%,21%,65%,67%,43%,33%,70%,15%,40%,13%,0%,13%,88%,80%,43%,71%,78%,0.00%,0:17,102,0:07,91,32%,26%,13%,10%,15.41%,4.96%,No data available,8.82%,9.82%,0.21,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2422,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Not enough data available,74%,Not enough data available,59%,30%,No data available,0:55,71%,96%,1.59%,77%,92%,39%,3%,23%,68%,53%,95%,89%,94%,89%,92%,16%,72%,16%,91%,73%,53%,70%,83%,1.59%,0:55,100,0:19,97,55%,39%,14%,13%,15.34%,6.03%,1.24%,11.90%,9.54%,5.75,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2425,Blue Plus,BLUE PLUS,"Aware Integrated, Inc.",81%,76%,Not enough data available,66%,24%,93,0:17,77%,97%,0.78%,78%,92%,41%,5%,25%,69%,57%,77%,26%,88%,23%,54%,13%,Not enough data available,13%,90%,89%,27%,66%,80%,0.78%,0:35,100,0:10,96,39%,33%,14%,10%,13.65%,5.47%,0.28%,10.82%,8.26%,1.12,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2450,Medica,MEDICA INSURANCE COMPANY,Medica Holding Company,59%,69%,Plan not required to report measure,81%,33%,93,Plan not required to report measure,79%,95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,48%,5%,Not enough data available,64%,55%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,95%,Plan not required to report measure,22%,68%,82%,Plan not required to report measure,Plan not required to report measure,101,Plan not required to report measure,49,38%,16%,11%,8%,11.68%,6.00%,0.30%,4.87%,3.54%,1.01,9%,5%,32%,Not Available,6%,100
H2456,UCare's MSHO,UCARE MINNESOTA,UCare Minnesota,68%,64%,Not enough data available,64%,24%,90,0:11,70%,96%,2.36%,77%,91%,45%,6%,27%,60%,56%,40%,35%,70%,20%,41%,16%,41%,16%,93%,91%,29%,74%,68%,2.36%,0:11,100,0:09,50,52%,39%,13%,9%,12.00%,6.13%,0.99%,13.45%,10.00%,0.61,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2458,Medica,MEDICA HEALTH PLANS,Medica Holding Company,62%,74%,Not enough data available,61%,21%,No data available,1:45,74%,97%,0.78%,69%,83%,35%,2%,26%,66%,54%,56%,31%,82%,25%,48%,15%,22%,15%,89%,92%,23%,63%,79%,0.78%,1:45,101,0:09,53,56%,42%,13%,10%,12.59%,5.91%,0.44%,13.05%,10.42%,1.17,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2459,UCare,UCARE MINNESOTA,UCare Minnesota,67%,72%,96%,82%,34%,94,0:15,82%,93%,0.39%,82%,84%,38%,5%,13%,63%,62%,53%,46%,81%,28%,52%,15%,16%,15%,97%,No data available,26%,69%,82%,0.39%,0:15,100,0:09,49,46%,15%,11%,14%,9.62%,5.13%,0.61%,5.89%,3.08%,0.49,8%,8%,34%,9%,8%,100
H2461,Blue Cross and Blue Shield of Minnesota,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,"Aware Integrated, Inc.",58%,73%,Plan not required to report measure,80%,32%,94,Plan not required to report measure,81%,94%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,52%,5%,Not enough data available,72%,59%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98%,Plan not required to report measure,13%,69%,76%,Plan not required to report measure,Plan not required to report measure,100,Plan not required to report measure,92,33%,17%,10%,16%,11.02%,4.61%,0.70%,4.96%,3.24%,6.19,7%,5%,43%,Not Available,6%,100
H2462,HealthPartners,"GROUP HEALTH PLAN, INC. (MN)","HealthPartners, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,81%,29%,93,Plan not required to report measure,70%,94%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,65%,58%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,Plan not required to report measure,27%,65%,84%,Plan not required to report measure,Plan not required to report measure,No data available,Plan not required to report measure,No data available,No data available,No data available,12%,No data available,14.02%,5.10%,No data available,3.62%,3.38%,8.02,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2463,Humana,"HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,Not enough data available,62%,Not enough data available,88%,33%,Plan too new to be measured,0:27,67%,96%,1.24%,69%,69%,41%,4%,11%,75%,74%,84%,7%,88%,2%,45%,13%,13%,13%,No data available,Plan not required to report measure,54%,No data available,No data available,1.24%,0:27,100,0:15,89,65%,29%,5%,No data available,7.48%,9.36%,0.25%,7.22%,3.21%,3.67,10%,21%,21%,Not Available,12%,100
H2486,Humana,"HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,Not enough data available,72%,Not enough data available,73%,21%,91,0:25,70%,93%,1.16%,Not enough data available,Not enough data available,36%,3%,7%,71%,46%,78%,6%,84%,6%,44%,8%,4%,9%,95%,Plan not required to report measure,38%,72%,81%,1.16%,0:25,100,0:15,88,55%,30%,8%,No data available,23.87%,16.26%,0.90%,6.66%,9.14%,2.41,31%,34%,24%,Not Available,17%,100
H2491,Wellcare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",Centene Corporation,31%,50%,76%,60%,19%,No data available,0:38,53%,92%,1.19%,70%,85%,34%,6%,20%,61%,49%,57%,14%,75%,9%,39%,11%,12%,11%,92%,67%,40%,68%,79%,1.19%,0:38,100,0:36,93,68%,51%,6%,6%,14.04%,6.28%,0.88%,11.61%,6.62%,4.85,22%,39%,17%,Not Available,15%,80
H2506,Aetna Better Health Premier Plan,Aetna Better Health Premier Plan MMAI Inc.,CVS Health Corporation,45%,58%,Not enough data available,40%,13%,No data available,1:07,Plan too small to be measured,82%,1.60%,78%,91%,45%,6%,27%,45%,50%,17%,3%,64%,2%,22%,14%,14%,15%,99%,Plan not required to report measure,23%,74%,79%,1.60%,1:07,100,0:25,73,No data available,No data available,6%,6%,19.92%,2.35%,0.67%,8.78%,7.31%,0.02,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2531,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealth Group, Inc.",73%,56%,Not enough data available,59%,18%,No data available,0:28,Plan too small to be measured,94%,0.00%,74%,87%,43%,7%,22%,67%,58%,39%,2%,75%,0%,29%,13%,14%,13%,87%,Plan not required to report measure,28%,71%,70%,0.00%,0:28,100,0:39,64,No data available,No data available,7%,4%,16.27%,4.12%,0.59%,14.28%,10.48%,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2533,Molina Healthcare of South Carolina,"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.","Molina Healthcare, Inc.,",Not enough data available,64%,Not enough data available,51%,28%,No data available,0:30,Plan too small to be measured,92%,2.34%,67%,82%,45%,6%,24%,48%,44%,38%,7%,75%,6%,32%,10%,Not enough data available,10%,90%,Plan not required to report measure,25%,68%,86%,2.34%,0:30,100,0:40,85,No data available,No data available,13%,10%,17.33%,3.14%,No data available,14.15%,8.48%,0.57,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2563,Optima Medicare,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),83%,72%,Not enough data available,82%,45%,92,1:13,70%,97%,2.36%,76%,88%,24%,1%,20%,66%,52%,51%,2%,86%,1%,35%,12%,11%,12%,96%,85%,48%,69%,82%,2.36%,1:13,99,0:54,68,64%,41%,8%,No data available,12.62%,12.12%,1.17%,5.66%,5.37%,3.14,21%,32%,17%,Not Available,12%,80
H2577,UnitedHealthcare,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",44%,75%,88%,Plan not required to report measure,36%,Plan too new to be measured,0:42,73%,96%,2.50%,68%,78%,38%,5%,10%,54%,57%,59%,14%,85%,13%,43%,14%,13%,15%,No data available,Plan not required to report measure,36%,No data available,No data available,2.50%,0:42,100,0:39,61,55%,24%,8%,No data available,16.06%,8.59%,0.45%,8.58%,5.12%,5.14,15%,11%,26%,Not Available,12%,100
H2582,UnitedHealthcare,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC,"UnitedHealth Group, Inc.",Not enough data available,84%,Not enough data available,Plan not required to report measure,Not enough data available,Plan too new to be measured,1:13,70%,96%,0.79%,71%,90%,11%,4%,21%,75%,61%,73%,50%,92%,49%,66%,11%,9%,12%,No data available,68%,32%,No data available,No data available,0.79%,1:13,100,0:39,62,40%,28%,10%,No data available,20.02%,6.72%,0.45%,15.49%,11.73%,11.4,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2591,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,35%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan not required to report measure,Plan too small to be measured,No data available,No data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,9.94%,2.83%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2593,Amerigroup,"AMERIGROUP TEXAS, INC.",Anthem Inc.,44%,58%,85%,67%,28%,No data available,0:37,52%,92%,2.54%,65%,80%,26%,3%,16%,61%,51%,59%,0%,74%,1%,34%,15%,16%,15%,93%,67%,46%,65%,78%,1.15%,0:11,100,0:41,92,58%,50%,6%,5%,14.52%,3.60%,0.51%,9.63%,5.68%,CMS Found Issues with Plan's Data,28%,37%,18%,15%,22%,100
H2610,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Essence Group Holdings Corporation,44%,65%,94%,81%,36%,93,0:09,79%,98%,0.78%,75%,83%,13%,1%,10%,80%,61%,85%,51%,91%,34%,65%,12%,12%,12%,96%,No data available,62%,66%,75%,0.78%,0:09,100,0:10,95,58%,23%,7%,8%,16.30%,3.51%,0.22%,8.18%,5.04%,5.76,17%,27%,15%,7%,9%,80
H2624,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Moses H. Cone Memorial Hospital Corp.,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,0:30,Plan too small to be measured,Plan too small to be measured,3.13%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,68%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,98%,Plan too small to be measured,No data available,No data available,3.13%,0:30,101,0:07,50,Plan too new to be measured,Plan too new to be measured,No data available,No data available,22.06%,4.17%,No data available,5.00%,6.28%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2663,Aetna Medicare,"COVENTRY HEALTH CARE OF MISSOURI, INC",CVS Health Corporation,44%,62%,95%,82%,30%,92,0:34,82%,96%,1.08%,74%,85%,24%,3%,14%,66%,57%,91%,6%,78%,4%,45%,13%,13%,13%,98%,Plan not required to report measure,47%,68%,80%,1.08%,0:34,101,0:40,90,53%,23%,6%,10%,16.36%,4.90%,0.14%,6.94%,4.54%,1.46,12%,18%,23%,10%,14%,80
H2678,MoreCare,"MoreCare, Inc.",MHNU Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,0:08,Plan too small to be measured,Plan too small to be measured,3.13%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,36%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,80%,Plan too small to be measured,No data available,No data available,3.13%,0:08,100,0:10,94,Plan too new to be measured,Plan too new to be measured,4%,No data available,11.08%,No data available,No data available,11.27%,2.72%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2694,eternalHealth,"ETERNALHEALTH, INC.","Eternal Health of Delaware, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Plan not required to report measure,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,Plan too new to be measured
H2697,Devoted Health,"DEVOTED HEALTH PLAN OF OHIO, INC.","Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:17,Plan too new to be measured,Plan too new to be measured,1.38%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,1.38%,0:17,No data available,0:39,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2722,Vantage Health Plan,"VANTAGE HEALTH PLAN OF ARKANSAS, INC.",Louisiana Health Service & Indemnity Company,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:26,Plan too small to be measured,Plan too small to be measured,1.56%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,26%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,No data available,No data available,1.56%,0:26,97,0:31,53,Plan too new to be measured,Plan too new to be measured,No data available,No data available,11.11%,No data available,No data available,No data available,5.87%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2737,Health New England Medicare Advantage Plans,"HEALTH NEW ENGLAND, INC.","Baystate Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2752,Cigna,CIGNA HEALTHCARE OF CONNECTICUT INC.,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2765,"Summit Health Plan, Inc.","SUMMIT HEALTH PLAN, INC.","Moda Partners, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:22,Plan too new to be measured,Plan too new to be measured,0.63%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,0.63%,0:22,No data available,0:03,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2775,Wellcare,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Centene Corporation,55%,68%,97%,78%,34%,92,0:23,77%,95%,0.82%,78%,79%,45%,8%,18%,54%,59%,67%,30%,85%,20%,50%,12%,11%,13%,94%,No data available,31%,67%,80%,0.82%,0:23,99,0:36,93,57%,30%,8%,11%,12.89%,6.63%,0.11%,9.59%,4.05%,7.3,28%,32%,26%,Not Available,19%,80
H2782,Western Health Advantage,WESTERN HEALTH ADVANTAGE,Western Health Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:23,Plan too new to be measured,Plan too new to be measured,2.36%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,2.36%,0:23,No data available,0:16,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2793,"Imperial Insurance Companies, Inc",IMPERIAL INSURANCE COMPANIES INC.,Imperial Health Plan of California,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,1:41,Plan too small to be measured,87%,0.63%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,49%,Not enough data available,18%,0%,77%,0%,24%,17%,11%,20%,No data available,37%,46%,No data available,No data available,0.63%,1:41,100,0:28,70,Plan too new to be measured,Plan too new to be measured,6%,No data available,10.27%,3.46%,No data available,10.71%,5.63%,4.39,44%,51%,11%,Not Available,27%,80
H2802,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",43%,64%,88%,78%,29%,91,0:51,73%,95%,1.74%,74%,79%,38%,3%,14%,58%,54%,63%,15%,84%,5%,42%,12%,12%,12%,95%,76%,41%,68%,80%,1.74%,0:51,100,0:39,62,54%,22%,7%,9%,16.69%,4.87%,0.46%,8.32%,5.24%,3.49,7%,10%,16%,5%,6%,100
H2816,Wellcare,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Centene Corporation,Not enough data available,61%,Not enough data available,76%,25%,No data available,0:27,76%,91%,1.10%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,19%,56%,54%,48%,25%,80%,19%,43%,11%,13%,11%,92%,Plan not required to report measure,27%,68%,81%,1.10%,0:27,99,0:36,94,No data available,31%,5%,6%,9.70%,4.35%,No data available,8.46%,3.91%,3.01,14%,19%,35%,Not Available,17%,80
H2825,Mary Washington Medicare Advantage,MARY WASHINGTON HEALTH PLAN,Mary Washington Healthcare,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Not enough data available,92,0:12,76%,96%,3.15%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,70%,Not enough data available,58%,0%,87%,1%,36%,0%,0%,0%,No data available,Plan not required to report measure,57%,No data available,No data available,3.15%,0:12,100,0:09,50,57%,27%,12%,No data available,5.36%,4.09%,No data available,4.85%,3.54%,CMS Found Issues with Plan's Data,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2829,Innovation Health Medicare,"INNOVATION HEALTH PLAN, INC.","Innovation Health Holdings, LLC",Not enough data available,56%,Not enough data available,67%,24%,No data available,0:23,66%,93%,0.78%,92%,89%,16%,4%,16%,44%,67%,84%,1%,79%,0%,41%,14%,13%,14%,No data available,Plan not required to report measure,44%,No data available,No data available,0.78%,0:23,100,0:40,90,62%,35%,5%,No data available,12.72%,12.48%,0.47%,7.36%,3.20%,2.38,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2836,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.",Anthem Inc.,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,No data available,0:34,Plan too small to be measured,Plan too small to be measured,0.79%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,No data available,No data available,1.57%,0:09,No data available,0:41,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2853,Ascension Complete,CENTENE VENTURE COMPANY TENNESSEE,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:19,Plan too new to be measured,Plan too new to be measured,3.13%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,3.13%,0:19,No data available,0:12,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2879,Molina Healthcare of Wisconsin and Massachusetts,"MOLINA HEALTHCARE OF WISCONSIN, INC.","Molina Healthcare, Inc.,",24%,45%,Not enough data available,Not enough data available,Not enough data available,No data available,0:36,53%,89%,6.25%,Not enough data available,Not enough data available,47%,11%,32%,61%,46%,38%,23%,65%,28%,38%,11%,8%,14%,94%,67%,39%,73%,92%,6.25%,0:36,99,0:39,91,63%,46%,4%,No data available,16.29%,5.19%,1.53%,14.69%,11.11%,13.76,Not Available,Not Available,Not Available,Not Available,Not Available,100
