CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H3237,Health Net Cal MediConnect Medicare Medicaid Plan,"HEALTH NET COMMUNITY SOLUTIONS, INC.","Health Net, Inc.",No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,0:09,51%,No data available,1.41%,No data available,No data available,No data available,No data available,Plan too new to be measured,48%,36%,74%,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3240,Amerigroup Community Care,"AMERIGROUP NEW JERSEY, INC.",Anthem Inc.,25%,84%,77%,Not enough data available,92%,65%,31%,Not enough data available,0:44,56%,93%,0.61%,79%,92%,44%,6%,67%,58%,48%,82%,Not enough data available,70%,Not enough data available,67%,No data available,0.61%,0:44,7.4%,0.44%,100%,99,No data available,Not enough data available,0:16,99,6.7%,6.7%,40%,51%,No data available,CMS Found Issues with Plan's Data,33%,60%,12%,15%,18%
H3251,Lovelace Medicare Plan,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,30%,80%,52%,89%,84%,82%,33%,88%,1:04,81%,93%,0.92%,74%,82%,25%,1%,48%,26%,23%,87%,Not enough data available,51%,42%,100%,No data available,0.92%,1:04,4.7%,0.22%,100%,98,9.59%,Not enough data available,0:05,99,0.0%,6.7%,20%,8%,95%,CMS Found Issues with Plan's Data,17%,16%,24%,4%,12%
H3259,BlueCare Plus Tennessee,VOLUNTEER STATE HEALTH PLAN,BlueCross BlueShield of Tennessee,56%,74%,Not enough data available,Not enough data available,92%,No data available,Not enough data available,Not enough data available,0:08,57%,98%,6.02%,78%,98%,16%,1%,60%,49%,51%,81%,Not enough data available,56%,No data available,100%,No data available,6.02%,0:08,6.1%,0.37%,100%,99,No data available,Not enough data available,0:10,99,No data available,6.7%,42%,37%,No data available,8.00,16%,39%,9%,7%,9%
H3291,PruittHealth Premier (HMO SNP),"PRUITTHEALTH PREMIER, INC.","UNICO Premier, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3305,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",70%,67%,62%,97%,94%,85%,34%,91%,0:50,87%,98%,0.50%,70%,84%,44%,3%,51%,40%,28%,86%,89%,43%,43%,100%,No data available,0.50%,0:50,6.2%,0.66%,100%,101,14.06%,82%,0:08,98,No data available,0.0%,35%,10%,94%,0.16,5%,4%,52%,6%,4%
H3307,UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",55%,85%,48%,92%,93%,78%,51%,Not enough data available,0:34,65%,94%,2.73%,75%,85%,48%,4%,56%,53%,44%,80%,Not enough data available,59%,32%,100%,No data available,2.73%,0:34,5.6%,0.89%,100%,98,17.67%,Not enough data available,0:04,99,0.0%,0.0%,47%,23%,97%,5.58,11%,26%,32%,9%,11%
H3312,Aetna Medicare,"AETNA HEALTH, INC. (NY)",Aetna Inc.,70%,84%,66%,89%,92%,85%,45%,Not enough data available,0:19,68%,96%,0.00%,66%,82%,46%,7%,62%,53%,40%,78%,Not enough data available,46%,38%,100%,No data available,0.00%,0:19,5.1%,0.86%,96%,98,11.59%,Not enough data available,0:19,99,0.0%,0.0%,43%,21%,97%,CMS Found Issues with Plan's Data,8%,11%,40%,11%,6%
H3314,HIP Health Plan of Greater New York,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Not enough data available,80%,Not enough data available,Not enough data available,66%,No data available,Not enough data available,No data available,Not enough data available,No data available,90%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H3327,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.","Touchstone Health Partnership, Inc",32%,80%,73%,95%,81%,70%,42%,91%,0:05,49%,89%,1.85%,68%,86%,41%,5%,54%,45%,42%,80%,Not enough data available,61%,Not enough data available,No data available,No data available,1.85%,0:05,5.0%,0.24%,100%,99,14.63%,74%,0:05,99,No data available,No data available,45%,29%,97%,CMS Found Issues with Plan's Data,22%,46%,17%,16%,15%
H3328,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",78%,80%,67%,97%,95%,67%,51%,91%,0:18,53%,96%,1.45%,77%,86%,47%,11%,66%,58%,46%,84%,95%,67%,35%,100%,100.00%,1.45%,0:18,6.0%,0.23%,100%,99,8.00%,79%,0:10,99,0.0%,0.0%,59%,47%,96%,CMS Found Issues with Plan's Data,27%,37%,20%,17%,22%
H3330,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",61%,80%,55%,95%,93%,80%,44%,89%,0:29,65%,95%,0.00%,77%,85%,41%,5%,57%,49%,35%,89%,Not enough data available,52%,32%,78%,No data available,0.00%,0:29,4.8%,0.26%,100%,100,15.77%,76%,0:16,99,No data available,No data available,46%,25%,96%,CMS Found Issues with Plan's Data,22%,24%,32%,15%,11%
H3335,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",65%,78%,58%,94%,93%,86%,38%,92%,0:04,73%,97%,0.84%,77%,85%,36%,4%,50%,35%,35%,88%,Not enough data available,42%,37%,75%,100.00%,0.41%,0:07,5.3%,0.39%,100%,97,17.86%,87%,0:06,98,0.0%,0.0%,30%,10%,94%,2.00,7%,8%,52%,8%,9%
H3337,Liberty Health Advantage,"LIBERTY HEALTH ADVANTAGE, INC.","Liberty Health Advantage, Inc.",26%,81%,50%,Not enough data available,90%,63%,45%,Not enough data available,0:32,53%,86%,2.96%,Not enough data available,Not enough data available,44%,3%,54%,46%,37%,74%,Not enough data available,55%,Not enough data available,No data available,No data available,0.00%,0:03,3.7%,0.25%,100%,99,0.00%,Not enough data available,0:05,99,No data available,0.0%,54%,30%,97%,1.52,29%,41%,15%,12%,20%
H3342,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Anthem Inc.,57%,80%,59%,90%,93%,84%,56%,Not enough data available,0:57,65%,96%,0.93%,79%,78%,30%,3%,49%,40%,33%,71%,Not enough data available,Not enough data available,39%,75%,66.67%,0.93%,0:57,5.1%,0.43%,100%,101,19.00%,Not enough data available,0:10,98,0.0%,0.0%,44%,19%,94%,1.77,15%,16%,46%,12%,12%
H3344,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",Not enough data available,71%,51%,Not enough data available,93%,86%,48%,91%,0:06,76%,97%,0.41%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,58%,38%,29%,84%,Not enough data available,48%,43%,100%,100.00%,0.41%,0:06,7.3%,0.21%,96%,99,11.76%,85%,0:23,99,No data available,No data available,39%,14%,No data available,2.61,3%,1%,33%,3%,3%
H3347,Elderplan,"ELDERPLAN, INC.","Elderplan, Inc.",41%,85%,59%,100%,90%,65%,43%,90%,0:04,54%,92%,0.00%,74%,78%,48%,3%,54%,48%,44%,80%,Not enough data available,62%,37%,100%,100.00%,0.00%,0:04,3.8%,0.91%,96%,99,17.30%,Not enough data available,0:03,99,0.0%,0.0%,40%,30%,100%,CMS Found Issues with Plan's Data,24%,32%,30%,15%,22%
H3351,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",75%,78%,58%,95%,93%,85%,39%,92%,0:04,80%,98%,0.84%,76%,83%,40%,5%,50%,33%,33%,86%,Not enough data available,49%,38%,100%,No data available,0.41%,0:07,5.9%,0.42%,100%,97,13.39%,Not enough data available,0:06,99,0.0%,0.0%,36%,10%,96%,2.18,6%,5%,52%,5%,4%
H3359,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.","Healthfirst, Inc.",80%,60%,42%,93%,95%,72%,48%,90%,0:05,58%,96%,0.00%,71%,91%,40%,5%,64%,61%,48%,94%,96%,60%,37%,100%,50.00%,0.00%,0:05,5.2%,0.25%,100%,99,16.25%,Not enough data available,0:10,99,0.0%,0.0%,54%,50%,99%,0.68,24%,27%,17%,21%,19%
H3361,WellCare,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",53%,83%,39%,91%,93%,71%,40%,Not enough data available,0:12,52%,93%,3.44%,76%,82%,40%,6%,63%,52%,48%,88%,Not enough data available,59%,32%,100%,100.00%,3.44%,0:12,5.0%,0.08%,100%,99,15.05%,Not enough data available,0:07,99,0.0%,13.3%,47%,50%,99%,3.41,29%,36%,29%,22%,19%
H3362,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",68%,71%,53%,97%,93%,83%,48%,92%,0:06,77%,97%,0.41%,80%,81%,43%,3%,56%,43%,34%,85%,Not enough data available,46%,43%,91%,100.00%,0.41%,0:06,6.2%,0.19%,96%,99,12.91%,Not enough data available,0:23,99,0.0%,6.7%,41%,16%,96%,2.24,16%,15%,37%,12%,12%
H3370,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE HMO, INC.",Anthem Inc.,56%,80%,50%,91%,89%,84%,53%,Not enough data available,1:05,67%,96%,0.84%,76%,81%,39%,4%,55%,52%,40%,74%,Not enough data available,54%,39%,89%,80.00%,0.84%,1:05,5.9%,0.41%,100%,101,15.46%,Not enough data available,0:10,98,6.7%,0.0%,47%,22%,96%,2.02,18%,19%,45%,19%,16%
H3379,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",59%,85%,60%,85%,93%,69%,28%,Not enough data available,0:40,57%,96%,3.30%,56%,74%,54%,1%,52%,55%,35%,78%,Not enough data available,44%,Not enough data available,100%,No data available,3.30%,0:40,7.4%,0.97%,100%,98,16.41%,Not enough data available,0:04,99,0.0%,0.0%,51%,19%,96%,5.06,22%,29%,33%,13%,11%
H3384,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,62%,60%,49%,95%,92%,83%,45%,91%,0:30,79%,97%,2.11%,73%,81%,29%,11%,54%,38%,31%,87%,Not enough data available,49%,30%,100%,100.00%,2.11%,0:30,5.4%,0.52%,100%,101,15.48%,Not enough data available,0:11,98,0.0%,6.7%,33%,12%,81%,0.19,8%,29%,56%,7%,4%
H3387,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",57%,90%,43%,Not enough data available,93%,66%,51%,Not enough data available,0:23,52%,96%,2.73%,64%,90%,43%,4%,70%,64%,59%,88%,Not enough data available,50%,Not enough data available,100%,No data available,2.73%,0:23,6.1%,0.72%,100%,98,33.33%,Not enough data available,0:04,99,0.0%,0.0%,58%,48%,No data available,0.69,28%,41%,14%,11%,18%
H3388,CDPHP Medicare Choices,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","Capital District Physicians' Health Plan, Inc.",84%,81%,58%,96%,93%,85%,41%,93%,0:04,76%,98%,0.00%,82%,83%,37%,5%,54%,37%,33%,85%,92%,49%,34%,67%,100.00%,2.97%,0:01,5.0%,0.29%,100%,99,18.36%,86%,0:08,96,0.0%,0.0%,44%,16%,95%,CMS Found Issues with Plan's Data,6%,7%,36%,10%,5%
H3404,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,51%,83%,57%,85%,92%,84%,43%,Not enough data available,0:01,73%,98%,18.06%,72%,75%,39%,2%,58%,44%,39%,91%,Not enough data available,52%,38%,91%,100.00%,18.06%,0:01,5.1%,1.00%,100%,99,2.70%,Not enough data available,0:02,97,0.0%,0.0%,43%,14%,95%,4.76,9%,3%,43%,7%,7%
H3421,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",Not enough data available,90%,43%,Not enough data available,92%,68%,47%,93%,0:01,71%,94%,0.00%,78%,85%,33%,0%,63%,45%,50%,90%,Not enough data available,53%,33%,No data available,No data available,0.00%,0:01,6.4%,0.70%,100%,98,8.33%,Not enough data available,0:03,98,No data available,0.0%,43%,20%,No data available,0.56,13%,14%,44%,10%,10%
H3447,Anthem HealthKeepers,"HEALTHKEEPERS, INC.",Anthem Inc.,Not enough data available,91%,52%,Not enough data available,97%,69%,Not enough data available,89%,0:02,76%,96%,0.80%,Not enough data available,Not enough data available,19%,1%,61%,49%,34%,90%,Not enough data available,45%,32%,No data available,No data available,0.80%,0:02,4.5%,0.88%,100%,101,No data available,83%,0:10,97,No data available,0.0%,42%,20%,100%,0.45,30%,45%,13%,11%,16%
H3449,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,37%,84%,55%,89%,94%,79%,38%,91%,0:04,80%,97%,0.83%,74%,68%,34%,2%,58%,45%,39%,90%,Not enough data available,48%,34%,68%,66.67%,0.83%,0:04,5.0%,0.84%,100%,99,12.94%,Not enough data available,0:02,98,0.0%,0.0%,45%,16%,95%,3.77,12%,9%,46%,7%,6%
H3456,UnitedHealthcare,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.","UnitedHealth Group, Inc.",44%,85%,49%,88%,94%,75%,32%,93%,0:41,78%,97%,2.58%,72%,78%,40%,3%,62%,58%,44%,88%,Not enough data available,51%,26%,100%,100.00%,2.58%,0:41,5.4%,1.03%,No data available,98,16.64%,Not enough data available,0:04,99,0.0%,0.0%,47%,23%,96%,3.29,11%,24%,35%,6%,6%
H3471,Health Alliance Medicare,"HEALTH ALLIANCE NORTHWEST HEALTH PLAN, INC.",The Carle Foundation,Not enough data available,91%,67%,Not enough data available,91%,No data available,Not enough data available,91%,0:02,76%,96%,0.00%,Not enough data available,Not enough data available,37%,2%,57%,31%,35%,90%,96%,50%,No data available,No data available,No data available,0.00%,0:02,3.5%,1.42%,100%,98,No data available,Not enough data available,0:04,95,No data available,66.7%,9%,6%,95%,0.22,18%,18%,28%,7%,11%
H3480,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,25%,93%,Not enough data available,Not enough data available,97%,No data available,Not enough data available,Plan too new to be measured,0:49,59%,96%,2.34%,77%,84%,31%,1%,58%,59%,46%,80%,Plan too new to be measured,58%,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3503,Sanford Heart of America Health Plan,SANFORD HEART OF AMERICA HEALTH PLAN,Sanford Health Plan,Not enough data available,CMS Found Issues with Plan’s Data,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,No data available,Not enough data available,No data available,Not enough data available,No data available,97%,Not enough data available,Benefit not offered by plan ,Benefit not offered by plan ,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H3528,"ConnectiCare, Inc.","CONNECTICARE, INC.","EmblemHealth, Inc.",61%,59%,66%,91%,92%,84%,40%,94%,0:07,73%,97%,3.43%,81%,84%,43%,8%,56%,31%,28%,79%,Not enough data available,51%,33%,75%,100.00%,3.43%,0:07,4.3%,0.58%,100%,100,16.96%,Not enough data available,0:07,98,No data available,No data available,32%,9%,99%,0.56,8%,11%,40%,12%,6%
H3533,"Humana Health Company of New York, Inc.","HUMANA HEALTH COMPANY OF NEW YORK, INC.",Humana Inc.,Not enough data available,93%,Not enough data available,Not enough data available,91%,66%,Not enough data available,Not enough data available,0:32,56%,91%,0.39%,Not enough data available,Not enough data available,32%,0%,Not enough data available,44%,38%,86%,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.39%,0:32,3.4%,0.15%,100%,99,No data available,Not enough data available,0:04,99,No data available,No data available,49%,26%,96%,CMS Found Issues with Plan's Data,35%,42%,25%,9%,22%
H3536,Anthem Blue Cross and Blue Shield,"MATTHEW THORNTON HEALTH PLAN, INC.",Anthem Inc.,Not enough data available,84%,Not enough data available,Not enough data available,91%,No data available,Not enough data available,No data available,0:37,No data available,98%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100%,No data available,0.00%,0:37,4.1%,0.00%,100%,113,No data available,No data available,0:10,96,No data available,No data available,No data available,No data available,95%,No Data Available,No data available,No data available,No data available,No data available,No data available
H3561,"HEALTH NET COMMUNITY SOLUTIONS, INC.","HEALTH NET COMMUNITY SOLUTIONS, INC.","Health Net, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3597,Aetna Medicare,"AETNA HEALTH, INC. (ME)",Aetna Inc.,Not enough data available,84%,63%,85%,91%,86%,38%,93%,0:19,73%,97%,0.00%,78%,82%,47%,8%,64%,47%,39%,91%,Not enough data available,49%,34%,100%,No data available,0.00%,0:19,4.4%,0.30%,96%,98,26.67%,80%,0:19,98,0.0%,0.0%,24%,10%,97%,CMS Found Issues with Plan's Data,16%,6%,32%,15%,13%
H3623,Aetna Medicare,"AETNA HEALTH,  INC. (PA)",Aetna Inc.,51%,84%,70%,92%,91%,77%,38%,91%,0:19,70%,95%,0.00%,76%,79%,38%,6%,61%,46%,38%,87%,Not enough data available,51%,36%,100%,No data available,0.00%,0:19,5.5%,0.39%,No data available,98,13.73%,79%,0:19,97,20.0%,0.0%,41%,19%,98%,CMS Found Issues with Plan's Data,12%,9%,38%,13%,6%
H3653,Paramount Elite,"PARAMOUNT CARE, INC.",Promedica Health System,69%,73%,59%,88%,88%,84%,37%,91%,0:16,79%,98%,0.53%,73%,65%,53%,3%,56%,37%,37%,86%,Not enough data available,42%,43%,No data available,No data available,0.53%,0:16,5.6%,0.78%,100%,99,15.06%,83%,0:08,96,No data available,0.0%,29%,12%,95%,3.45,9%,6%,31%,8%,8%
H3655,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,Anthem Inc.,43%,81%,54%,92%,92%,79%,29%,Not enough data available,1:02,71%,95%,1.79%,74%,73%,39%,4%,53%,45%,36%,83%,Not enough data available,52%,33%,94%,100.00%,1.79%,1:02,5.8%,0.37%,100%,100,19.65%,Not enough data available,0:10,96,0.0%,0.0%,41%,18%,97%,0.75,8%,9%,25%,12%,8%
H3659,UnitedHealthcare,"UNITEDHEALTHCARE OF OHIO, INC.","UnitedHealth Group, Inc.",44%,85%,51%,91%,91%,67%,28%,90%,0:41,77%,95%,2.58%,72%,76%,41%,4%,55%,43%,32%,84%,Not enough data available,54%,38%,100%,No data available,2.58%,0:41,6.0%,0.75%,No data available,98,16.84%,Not enough data available,0:04,98,0.0%,0.0%,48%,20%,96%,5.66,11%,23%,31%,9%,8%
H3660,SummaCare Medicare Advantage Plans,SUMMACARE INC.,Summa Health System,57%,78%,63%,93%,91%,80%,34%,93%,0:08,82%,96%,0.96%,79%,78%,41%,4%,58%,53%,46%,85%,95%,50%,31%,52%,80.00%,0.96%,0:08,6.0%,0.65%,100%,No data available,25.86%,89%,0:09,88,0.0%,0.0%,40%,12%,75%,2.65,16%,20%,39%,6%,10%
H3664,PrimeTime Health Plan,AULTCARE HEALTH INSURING CORPORATION,Aultman Health Foundation,36%,75%,58%,97%,93%,81%,35%,91%,0:12,83%,97%,0.00%,77%,66%,38%,3%,58%,30%,27%,83%,Not enough data available,41%,32%,No data available,No data available,0.00%,0:12,5.8%,0.40%,100%,99,12.04%,90%,1:57,97,No data available,0.0%,41%,16%,99%,1.82,11%,18%,25%,5%,5%
H3668,MediGold,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health,56%,79%,32%,96%,91%,79%,35%,90%,0:11,74%,97%,0.50%,80%,80%,18%,1%,56%,37%,36%,80%,Not enough data available,42%,36%,100%,No data available,0.50%,0:11,5.6%,0.21%,100%,98,18.57%,86%,0:08,97,No data available,No data available,43%,22%,97%,0.61,8%,56%,11%,8%,7%
H3672,The Health Plan,HEALTH PLAN OF THE UPPER OHIO VALLEY,Health Plan of the Upper Ohio Valley,Not enough data available,91%,55%,Not enough data available,92%,79%,33%,90%,0:09,74%,97%,0.00%,79%,90%,39%,4%,59%,52%,45%,86%,Not enough data available,41%,34%,100%,No data available,0.00%,0:09,6.8%,0.27%,100%,101,19.51%,Not enough data available,0:11,98,No data available,0.0%,36%,9%,98%,1.03,11%,22%,25%,8%,7%
H3706,Generations Healthcare,"GENERATIONS HEALTHCARE, INC.","Kinderhook Capital Fund III, L.P.",Not enough data available,81%,Not enough data available,Not enough data available,56%,70%,13%,89%,0:14,81%,77%,1.68%,Not enough data available,Not enough data available,29%,2%,58%,38%,31%,89%,Not enough data available,49%,31%,No data available,No data available,1.68%,0:14,6.4%,0.59%,100%,98,8.00%,84%,0:10,97,0.0%,40.0%,42%,22%,78%,6.81,25%,41%,17%,11%,14%
H3708,Tribute Health Plan of Oklahoma,"OKLAHOMA SUPERIOR SELECT, INC.","Healthcare Investors, LLC",Not enough data available,87%,Not enough data available,Not enough data available,99%,No data available,Not enough data available,No data available,0:05,No data available,100%,0.81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.81%,0:05,12.8%,No data available,100%,No data available,24.29%,No data available,0:02,100,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H3749,UnitedHealthcare,"UNITEDHEALTHCARE OF OKLAHOMA, INC.","UnitedHealth Group, Inc.",48%,85%,52%,88%,91%,79%,30%,Not enough data available,1:59,72%,95%,2.24%,72%,77%,23%,1%,60%,46%,33%,88%,Not enough data available,49%,29%,100%,No data available,2.24%,1:59,6.1%,1.14%,100%,98,11.11%,Not enough data available,0:04,98,0.0%,0.0%,35%,12%,97%,6.30,9%,20%,39%,5%,4%
