2021 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2018 Disaster %,2019 Disaster %,2021 Part C Summary,2021 Part D Summary,2021 Overall
H2161 ,Local CCP ,"UPPER PENINSULA HEALTH PLAN, LLC ",Upper Peninsula Health Plan ,"DLP Marquette General Hospital, LLC ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H2162 ,Local CCP ,"WELLCARE OF NEW HAMPSHIRE, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2168 ,Local CCP ,VILLAGE SENIOR SERVICES CORPORATION ,VillageCareMAX ,"Village Care of New York, Inc. ",Yes ,0,0,3,3,3
H2171 ,Local CCP ,"CARE N' CARE INSURANCE COMPANY, INC. ",Care N' Care Insurance Company ,Texas Health Resources ,No ,0,0,3.5,3,3.5
H2172 ,Local CCP ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",No ,0,0,5,5,5
H2174 ,Local CCP ,TRILLIUM COMMUNITY HEALTH PLAN ,Trillium Medicare Advantage ,Centene Corporation ,Yes ,0,0,3.5,4,3.5
H2185 ,Local CCP ,"LIFEWORKS ADVANTAGE, LLC ",LifeWorks Advantage ,"MFA Lifeworks, LLC ",Yes ,0,0,Not enough data available ,4.5,Not enough data available
H2196 ,Local CCP ,"UNITEDHEALTHCARE OF MISSISSIPPI, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2224 ,Local CCP ,"SENIOR WHOLE HEALTH, LLC ",Senior Whole Health ,"Magellan Health, Inc. ",Yes ,0,0,3.5,4.5,4
H2225 ,Local CCP ,"COMMONWEALTH CARE ALLIANCE, INC. ","Commonwealth Care Alliance, Inc. ","Commonwealth Care Alliance, Inc. ",Yes ,0,0,4,5,4.5
H2226 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,5,5
H2228 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,4,4
H2230 ,Local CCP ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ",Blue Cross Blue Shield of Massachusetts ,"Blue Cross and Blue Shield of Massachusetts, Inc. ",No ,0,0,4,4,4.5
H2235 ,Local CCP ,"BAYCARE SELECT HEALTH PLANS, INC. ",BayCare Health Plans ,"BayCare Health System, Inc. ",No ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H2237 ,Local CCP ,"INDEPENDENT CARE HEALTH PLAN, INC. ",iCare ,Independent Care Health Plan Inc. ,Yes ,0,0,3.5,3.5,4
H2241 ,Local CCP ,GOLDEN STATE MEDICARE HEALTH PLAN ,Golden State ,MacArthur Court Acquisition Corp ,Yes ,0,0,3,3.5,3
H2247 ,Local CCP ,"UNITEDHEALTHCARE COMMUNITY PLAN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H2256 ,Local CCP ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,Tufts Health Plan ,"Tufts Health Plan, Inc ",Yes ,0,0,5,4.5,5
H2261 ,Local CCP ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ",Blue Cross Blue Shield of Massachusetts ,"Blue Cross and Blue Shield of Massachusetts, Inc. ",No ,0,0,4,4.5,4.5
H2288 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK ,Bright Health ,"Bright Health, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2292 ,Local CCP ,"OXFORD HEALTH INSURANCE, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,5,Plan too new to be measured
H2320 ,Local CCP ,PRIORITY HEALTH ,Priority Health Medicare ,Spectrum Health System ,No ,0,0,4.5,4,4
H2322 ,Local CCP ,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY ,HAP Senior Plus (PPO) ,Henry Ford Health System ,No ,0,0,4,3.5,4
H2334 ,Local CCP ,"EON HEALTH, INC. (SC) ",Clear Spring Health ,Group 1001 ,Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H2354 ,Local CCP ,HEALTH ALLIANCE PLAN OF MICHIGAN ,HAP Senior Plus ,Henry Ford Health System ,Yes ,0,0,4.5,4,4.5
H2392 ,Local CCP ,"KANSAS SUPERIOR SELECT, INC. ",Kansas Health Advantage ,Kansas Superior Select ,Yes ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H2400 ,Local CCP ,"SIGNATURE ADVANTAGE, LLC ",Signature Advantage (HMO SNP) ,"SA Plan, LLC ",Yes ,0,0,Not enough data available ,2.5,Not enough data available
H2406 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,3,0,3.5,3.5,3.5
H2416 ,Local CCP ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Health ,PrimeWest Rural MN Health Care Access Initiative ,Yes ,0,0,4.5,4.5,4.5
H2417 ,Local CCP ,ITASCA MEDICAL CARE ,Itasca Medical Care/IMCare Classic ,Itasca County ,Yes ,0,0,Not enough data available ,4,Not enough data available
H2419 ,Local CCP ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,South Country Health Alliance ,Yes ,0,0,4,5,4.5
H2422 ,Local CCP ,"HEALTHPARTNERS, INC. ",HealthPartners ,"HealthPartners, Inc. ",Yes ,0,0,4.5,4.5,5
H2425 ,Local CCP ,BLUE PLUS ,Blue Plus ,"Aware Integrated, Inc. ",Yes ,0,0,4.5,4.5,4.5
H2450 ,1876 Cost ,MEDICA INSURANCE COMPANY ,Medica ,Medica Holding Company ,No ,0,0,4.5,4,4
H2456 ,Local CCP ,UCARE MINNESOTA ,UCare's MSHO ,UCare Minnesota ,Yes ,0,0,4,4,4
H2458 ,Local CCP ,MEDICA HEALTH PLANS ,Medica ,Medica Holding Company ,Yes ,0,0,4.5,4,4.5
H2459 ,Local CCP ,UCARE MINNESOTA ,UCare ,UCare Minnesota ,Yes ,0,0,4.5,4.5,4.5
H2461 ,1876 Cost ,BLUE CROSS AND BLUE SHIELD OF MINNESOTA ,Blue Cross and Blue Shield of Minnesota ,"Aware Integrated, Inc. ",No ,0,0,3.5,4,4
H2462 ,1876 Cost ,"GROUP HEALTH PLAN, INC. (MN) ",HealthPartners ,"HealthPartners, Inc. ",No ,0,0,4,4,4.5
H2463 ,Local CCP ,"HUMANA HEALTH PLAN OF TEXAS, INC. ",Humana ,Humana Inc. ,No ,0,0,Plan too new to be measured ,4,Plan too new to be measured
H2486 ,Local CCP ,"HUMANA MEDICAL PLAN OF UTAH, INC. ",Humana ,Humana Inc. ,No ,0,0,4,3.5,4
H2491 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,2.5,3.5,3
H2506 ,Demo ,AETNA BETTER HEALTH INC. (IL) ,Aetna Better Health Premier Plan ,CVS Health Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H2531 ,Demo ,"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC. ",UnitedHealthcare Community Plan ,"UnitedHealth Group, Inc. ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H2533 ,Demo ,"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC. ",Molina Healthcare of South Carolina ,"Molina Healthcare, Inc., ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H2563 ,Local CCP ,OPTIMA HEALTH PLAN ,Optima Medicare ,Sentara Health Care (SHC) ,Yes ,0,0,3.5,3.5,3.5
H2577 ,Local CCP ,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2582 ,Local CCP ,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2591 ,Local CCP ,"HEALTH ALLIANCE - MIDWEST, INC. ",Health Alliance Medicare ,The Carle Foundation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H2593 ,Local CCP ,"AMERIGROUP TEXAS, INC. ",Amerigroup ,Anthem Inc. ,Yes ,0,0,3,3,3
H2610 ,Local CCP ,"ESSENCE HEALTHCARE, INC. ",Essence Healthcare ,Essence Group Holdings Corporation ,No ,0,0,4,4.5,4.5
H2624 ,Local CCP ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,Moses H. Cone Memorial Hospital Corp. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2663 ,Local CCP ,"COVENTRY HEALTH CARE OF MISSOURI, INC ",Aetna Medicare ,CVS Health Corporation ,No ,0,0,4.5,4,4.5
H2678 ,Local CCP ,"MA DELIVERY INNOVATIONS, INC. ",MoreCare ,MHNU Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2697 ,Local CCP ,"DEVOTED HEALTH PLAN OF OHIO, INC. ",Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2722 ,Local CCP ,"VANTAGE HEALTH PLAN OF ARKANSAS, INC. ",Vantage Health Plan ,Louisiana Health Service & Indemnity Company ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2765 ,Local CCP ,"SUMMIT HEALTH PLAN, INC. ","Summit Health Plan, Inc. ","Moda Partners, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2775 ,Local CCP ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,WellCare ,Centene Corporation ,Yes ,0,0,3,4,3.5
H2782 ,Local CCP ,WESTERN HEALTH ADVANTAGE ,Western Health Advantage ,Western Health Advantage ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2793 ,Local CCP ,IMPERIAL INSURANCE COMPANIES INC. ,"Imperial Insurance Companies, Inc ",Imperial Health Plan of California ,Yes ,0,0,Plan too new to be measured ,2,Plan too new to be measured
H2802 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4.5,4,4.5
H2816 ,PFFS ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,WellCare ,Centene Corporation ,No ,0,0,3,4,3.5
H2825 ,Local CCP ,MARY WASHINGTON HEALTH PLAN ,Mary Washington Medicare Advantage ,Mary Washington Healthcare ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2829 ,Local CCP ,"INNOVATION HEALTH PLAN, INC. ",Innovation Health Medicare ,"Innovation Health Holdings, LLC ",No ,0,0,3,3,3
H2836 ,Local CCP ,"ANTHEM HEALTH PLANS, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H2853 ,Local CCP ,CENTENE VENTURE COMPANY TENNESSEE ,Ascension Complete ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2879 ,Local CCP ,"MOLINA HEALTHCARE OF WISCONSIN, INC. ",Molina Healthcare of Wisconsin ,"Molina Healthcare, Inc., ",Yes ,0,0,3.5,3.5,3.5
H2915 ,Local CCP ,"PENNSYLVANIA HEALTH & WELLNESS, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H2926 ,Local CCP ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Health ,PrimeWest Rural MN Health Care Access Initiative ,Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H2944 ,PFFS ,HUMANA INSURANCE COMPANY ,Humana ,Humana Inc. ,No ,4,0,3.5,3.5,3.5
H2960 ,Local CCP ,"HOMETOWN HEALTH PLAN, INC. ",Senior Care Plus ,Renown Health ,Yes ,0,0,4.5,3.5,4
H2962 ,Local CCP ,"ULTIMATE HEALTH PLANS, INC. ",Ultimate Health Plans ,"ULTIMATE HEALTH PLAN, INC. ",Yes ,0,0,3.5,4,4
H2986 ,Local CCP ,STANFORD HEALTHCARE ADVANTAGE ,Stanford Health Care Advantage ,Stanford Health Care ,No ,0,0,4,3,3.5
H3015 ,Local CCP ,"SHARED HEALTH MISSISSIPPI, INC. ",Shared Health Dual Plus ,BlueCross BlueShield of Tennessee ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3047 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA ,WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3071 ,Local CCP ,"COMMUNITY CARE ALLIANCE OF ILLINOIS, NFP ",Clear Spring Health ,Group 1001 ,No ,0,0,3,3,3
H3113 ,Local CCP ,"OXFORD HEALTH PLANS (NJ), INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3.5,4.5,4
H3132 ,Local CCP ,"AHF MCO OF FLORIDA, INC. ",AHF ,AIDS Healthcare Foundation ,Yes ,0,0,3.5,4,4
H3146 ,Local CCP ,AETNA BETTER HEALTH INC. (GA) ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3152 ,Local CCP ,AETNA HEALTH INC. (NJ) ,Aetna Medicare ,CVS Health Corporation ,No ,0,0,3.5,3.5,3.5
H3154 ,Local CCP ,HORIZON INSURANCE COMPANY ,Horizon Blue Cross Blue Shield of New Jersey ,"Horizon Healthcare Services, Inc. ",No ,0,0,3.5,4,4
H3170 ,Local CCP ,"SAPPHIRE EDGE, INC. ",Blue Cross and Blue Shield of Nebraska ,Blue Cross Blue Shield of Nebraska ,No ,0,0,3.5,4,4
H3192 ,Local CCP ,AETNA HEALTH OF MICHIGAN INC. ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3204 ,Local CCP ,PRESBYTERIAN HEALTH PLAN ,Presbyterian Health Plan ,Presbyterian Healthcare Services ,Yes ,0,0,3.5,3,3.5
H3206 ,Local CCP ,"PRESBYTERIAN INSURANCE COMPANY, INC. ","Presbyterian Insurance Company, Inc. ",Presbyterian Healthcare Services ,No ,0,0,3,2.5,3
H3213 ,Local CCP ,CARESOURCE KENTUCKY CO. ,CareSource ,CareSource Management Group Co. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3219 ,Local CCP ,ALLINA HEALTH AND AETNA INSURANCE COMPANY ,Allina Health Aetna Medicare ,Allina Health and Aetna Insurance Holding Company ,No ,0,0,Plan too new to be measured ,5,Plan too new to be measured
H3237 ,Demo ,"HEALTH NET COMMUNITY SOLUTIONS, INC. ",Health Net Cal MediConnect Medicare Medicaid Plan ,Centene Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H3239 ,Local CCP ,"AETNA BETTER HEALTH, INC. (LA) ",Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H3240 ,Local CCP ,"AMERIGROUP NEW JERSEY, INC. ",Amerigroup Community Care ,Anthem Inc. ,Yes ,0,0,3.5,3.5,3.5
H3251 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of New Mexico ,Health Care Service Corporation ,Yes ,0,0,3,3.5,3.5
H3256 ,Local CCP ,"UNITEDHEALTHCARE OF GEORGIA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3259 ,Local CCP ,VOLUNTEER STATE HEALTH PLAN ,BlueCare Plus Tennessee ,BlueCross BlueShield of Tennessee ,Yes ,0,0,4,3.5,3.5
H3276 ,Local CCP ,"CONNECTICARE INSURANCE COMPANY, INC. ",ConnectiCare ,"EmblemHealth, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3281 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA ,Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3288 ,Local CCP ,AETNA HEALTH AND LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3291 ,Local CCP ,"PRUITTHEALTH PREMIER, INC. ",PruittHealth Premier ,"UNICO Premier, LLC ",Yes ,8,0,Not enough data available ,5,Not enough data available
H3293 ,Local CCP ,"MMM OF FLORIDA, INC. ","MMM of Florida, Inc. ","Summit Master Company, LLC ",Yes ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H3305 ,Local CCP ,"MVP HEALTH PLAN, INC. ",MVP HEALTH CARE ,"MVP Health Care, Inc. ",No ,0,0,4.5,4.5,4.5
H3307 ,Local CCP ,"OXFORD HEALTH PLANS (NY), INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,3,3.5,3
H3312 ,Local CCP ,AETNA HEALTH INC. (NY) ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,3.5,3,3
H3330 ,Local CCP ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,EmblemHealth Medicare HMO ,"EmblemHealth, Inc. ",Yes ,0,0,3,3,3
H3335 ,Local CCP ,"EXCELLUS HEALTH PLAN, INC. ","Excellus Health Plan, Inc ","Lifetime Healthcare, Inc. ",No ,0,0,4,4.5,4.5
H3342 ,Local CCP ,"EMPIRE HEALTHCHOICE ASSURANCE, INC. ",Empire BlueCross BlueShield ,Anthem Inc. ,No ,1,0,Not enough data available ,3.5,Not enough data available
H3344 ,Local CCP ,INDEPENDENT HEALTH BENEFITS CORPORATION ,Independent Health ,"Independent Health Association, Inc. ",No ,0,0,4.5,4,4.5
H3347 ,Local CCP ,"ELDERPLAN, INC. ",Elderplan ,"Elderplan, Inc. ",Yes ,0,0,3.5,4,3.5
H3351 ,Local CCP ,"EXCELLUS HEALTH PLAN, INC. ","Excellus Health Plan, Inc ","Lifetime Healthcare, Inc. ",No ,0,0,4,4.5,4.5
H3359 ,Local CCP ,"HEALTHFIRST HEALTH PLAN, INC. ",Healthfirst Medicare Plan ,"Healthfirst, Inc. ",Yes ,0,0,3.5,4,4
H3362 ,Local CCP ,"INDEPENDENT HEALTH ASSOCIATION, INC. ",Independent Health ,"Independent Health Association, Inc. ",Yes ,0,0,4.5,4.5,4.5
H3379 ,Local CCP ,"UNITEDHEALTHCARE OF NEW YORK, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,3.5,3.5
H3384 ,Local CCP ,HEALTHNOW NEW YORK INC. ,BlueCross BlueShield of WNY and BlueShield of NENY ,HealthNow New York Inc. ,No ,0,0,4,4,4
H3387 ,Local CCP ,"UNITEDHEALTHCARE OF NEW YORK, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3.5,4.5,3.5
H3388 ,Local CCP ,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC. ",CDPHP Medicare Advantage ,"Capital District Physicians' Health Plan, Inc. ",No ,0,0,5,4,4.5
H3404 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,Blue Cross and Blue Shield of North Carolina ,No ,19,0,4,3.5,4
H3407 ,Local CCP ,"EL PASO FIRST HEALTH PLANS, INC. ",El Paso Health Advantage Dual SNP ,El Paso County Hospital District ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3416 ,Local CCP ,"HEALTHPARTNERS UNITYPOINT HEALTH, INC. ",HealthPartners UnityPoint Health ,"HealthPartners UnityPoint Health, Inc. ",No ,0,0,4.5,4.5,4.5
H3418 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3419 ,Local CCP ,"PERENNIAL ADVANTAGE OF COLORADO, INC. ",Perennial Advantage ,"Perennial Consortium, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3442 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY OF ILLINOIS ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3447 ,Local CCP ,"HEALTHKEEPERS, INC. ",Anthem HealthKeepers ,Anthem Inc. ,Yes ,0,0,3.5,3.5,3.5
H3449 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,Blue Cross and Blue Shield of North Carolina ,No ,35,0,4,4,4
H3464 ,Local CCP ,"UNITEDHEALTHCARE OF ARKANSAS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,3.5,3.5,3.5
H3467 ,Local CCP ,"PROCARE ADVANTAGE, LLC ",ProCare Advantage ,"First Sacramento Capital Funding, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3471 ,Local CCP ,HEALTH ALLIANCE NORTHWEST HEALTH PLAN ,Health Alliance Northwest ,The Carle Foundation ,No ,0,0,3.5,3.5,3.5
H3499 ,Local CCP ,COORDINATED CARE CORPORATION ,Allwell ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,4,Plan too new to be measured
H3528 ,Local CCP ,"CONNECTICARE, INC. ",ConnectiCare ,"EmblemHealth, Inc. ",No ,0,0,4,3.5,4
H3533 ,Local CCP ,"HUMANA HEALTH COMPANY OF NEW YORK, INC. ",Humana ,Humana Inc. ,Yes ,0,0,3,3.5,3
H3536 ,Local CCP ,"MATTHEW THORNTON HEALTH PLAN, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,No ,0,0,3.5,3.5,3.5
H3554 ,Local CCP ,USABLE PPO INSURANCE COMPANY ,Arkansas Blue Medicare ,USAble Mutual Insurance Company ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3557 ,Local CCP ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,Blue Cross & Blue Shield of Rhode Island ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3561 ,Local CCP ,"HEALTH NET COMMUNITY SOLUTIONS, INC. ","HEALTH NET COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,Yes ,48,0,3.5,4,3.5
H3572 ,Local CCP ,"AHF MCO OF GEORGIA, INC. ",AHF ,AIDS Healthcare Foundation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3597 ,Local CCP ,AETNA HEALTH INC. (ME) ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,4.5,4,4.5
H3632 ,Local CCP ,MEDICA COMMUNITY HEALTH PLAN ,Medica ,Medica Holding Company ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3653 ,Local CCP ,"PARAMOUNT CARE, INC. ",Paramount Elite/Medicare Plans ,"Promedica Health System, Inc. ",No ,0,0,4,4,4
H3655 ,Local CCP ,COMMUNITY INSURANCE COMPANY ,Anthem Blue Cross and Blue Shield ,Anthem Inc. ,Yes ,0,0,4.5,3.5,4
H3660 ,Local CCP ,SUMMACARE INC. ,SummaCare Medicare Advantage Plans ,Summa Health System Community ,No ,0,0,4,3.5,4
H3664 ,Local CCP ,AULTCARE HEALTH INSURING CORPORATION ,PrimeTime Health Plan ,Aultman Health Foundation ,No ,0,0,4.5,4.5,4.5
H3668 ,Local CCP ,"MOUNT CARMEL HEALTH PLAN, INC. ",MediGold ,Trinity Health ,No ,0,0,4,4,4
H3672 ,Local CCP ,"THE HEALTH PLAN OF WEST VIRGINIA, INC. ",The Health Plan ,"The Health Plan of West Virginia, Inc. ",Yes ,0,0,4,4,4
H3706 ,Local CCP ,"GLOBALHEALTH, INC. ",GlobalHealth ,"Momentum Health Holdings, LLC ",No ,0,0,3.5,4,3.5
H3708 ,Local CCP ,"OKLAHOMA SUPERIOR SELECT, INC. ",American Health Advantage of Oklahoma ,"American Health Companies, Inc. ",Yes ,0,0,Not enough data available ,3.5,Not enough data available
H3725 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF ILLINOIS ,Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3727 ,Local CCP ,OH CHS SNP INC. ,Communicare Advantage ,"SNP Holdings, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3748 ,Local CCP ,"AETNA BETTER HEALTH OF WASHINGTON, INC. ",Aetna Medicare ,CVS Health Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3749 ,Local CCP ,"UNITEDHEALTHCARE OF OKLAHOMA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,3.5,3.5,3.5
H3755 ,Local CCP ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",CommunityCare Senior Health Plan (HMO) ,St Francis Health System & St John Health System ,No ,0,0,4,3.5,4
H3777 ,Local CCP ,"EXPERIENCE HEALTH, INC. ","Experience Health, Inc. ","EXPERIENCE HEALTH, INC. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3794 ,Local CCP ,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,4.5,4.5
H3800 ,Local CCP ,PROVIDER PARTNERS HEALTH PLAN OF ILLINOIS ,Provider Partners Health Plans ,"Rifkin Managed Care Holding Company, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3805 ,Local CCP ,"UNITEDHEALTHCARE OF OREGON, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,4,4.5,4
H3810 ,Local CCP ,"ALLCARE HEALTH PLAN, INC. ",AllCare Advantage ,"AllCare Health, Inc. ",No ,0,0,3.5,3,3.5
H3811 ,Local CCP ,"SAMARITAN HEALTH PLANS, INC. ",Samaritan Advantage Health Plan ,Samaritan Health Services ,Yes ,0,0,4,3.5,4
H3813 ,Local CCP ,"MODA HEALTH PLAN, INC. ","Moda Health Plan, Inc. ","Moda Partners, Inc. ",No ,0,0,3.5,3,3
H3814 ,Local CCP ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,ATRIO Health Plans ,Yes ,0,0,3,3,3
