Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP_x,Part C Summary,Overall,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,SNP_y,Part D Summary,Year,2014 Part D Summary Rating,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,SNP,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions
H2672,Local CCP,"COVENTRY HEALTH CARE OF KANSAS, INC.",Coventry Health Care,Aetna Inc.,3,3,0,0,0,3,2,2,3,5,0,0,0,3,3,3,4,0,4,4,0,3,4,4,4,3,4,2,5,4,3,4,4,5,5,5,3,4,4,0,5,0,3.5,3.5,5,5,0,4,3,4,3,2,3,3,3,0,0,0,0,5,0,3,0,0,3.5,2016 Fall,0,0,0,4,4,3,No,3,4,4,2,0,0,0,0,0,0
H2701,Local CCP,NEW WEST HEALTH SERVICES,New West Health Services,New West Health Services,3,2,0,0,0,3,3,4,3,2,0,0,0,1,3,3,2,0,3,5,0,1,4,4,5,5,4,4,4,5,5,5,4,3,2,3,3,3,4,0,3,0,3.5,3.5,2,1,1,5,5,5,4,4,5,4,5,0,0,0,0,1,0,5,0,0,4,2016 Fall,0,0,0,5,5,4,No,5,5,5,2,0,0,0,0,0,0
H2773,Local CCP,"QUALITY HEALTH PLANS OF NEW YORK, INC.",QUALITY HEALTH PLANS,"QHP Financial Group, Inc.",0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,4,2016 Fall,0,2,3,0,0,4,Yes,3,4,3,0,0,0,0,0,0,0
H2775,Local CCP,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,3,3,0,0,0,4,3,3,1,4,0,0,0,1,3,3,4,0,3,4,0,2,4,4,4,4,3,4,2,4,5,5,5,4,4,5,3,3,4,0,4,0,3.5,4,5,5,0,4,5,5,4,3,4,3,4,0,0,0,0,5,0,4,0,0,4.5,2016 Fall,0,0,0,5,5,4,No,4,5,5,2,0,0,0,0,0,0
H2802,Local CCP,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2,3,0,0,0,5,2,3,1,5,0,0,0,4,3,4,4,0,3,4,0,3,3,5,5,4,5,5,5,4,5,5,5,0,0,5,3,4,5,0,0,0,4,4.5,5,5,0,4,5,5,4,4,4,3,5,0,0,0,0,5,0,4,0,0,4.5,2016 Fall,0,0,0,5,5,4,No,4,5,4,3,0,0,0,0,0,0
H2816,PFFS,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,3,3,0,0,0,3,4,4,1,4,0,0,0,2,2,2,4,0,3,4,0,2,3,4,3,3,3,4,4,4,5,5,3,4,3,5,3,3,4,0,4,0,3.5,4,5,5,0,4,5,5,5,0,0,3,5,0,0,0,0,5,0,0,0,0,5,2016 Fall,0,0,0,4,5,4,No,5,5,5,2,0,0,0,0,0,0
H2905,Local CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",3,2,0,0,0,2,3,2,3,1,0,0,0,1,2,2,1,0,1,0,0,1,3,5,4,4,2,2,3,4,5,4,2,0,0,5,2,2,3,0,0,0,2.5,3,5,4,0,4,5,4,3,1,3,4,5,0,0,0,0,5,0,2,0,0,3.5,2016 Fall,0,0,0,4,4,4,No,4,3,4,3,0,0,0,0,0,0
H2906,Local CCP,"HOMETOWN HEALTH PLAN, INC.",Senior Care Plus,Renown Health,3,3,0,0,0,2,5,4,2,4,0,0,0,0,2,2,4,0,4,2,0,1,4,5,4,5,3,5,1,3,5,5,3,0,0,5,3,3,4,0,0,0,3.5,4,4,3,0,3,5,5,3,4,5,4,5,0,0,0,0,4,0,5,0,0,4,2016 Fall,0,0,0,4,4,4,No,4,4,4,2,0,0,0,0,0,0
H2926,Local CCP,PRIMEWEST CTRL COUNTY-BASED PURCHASING INTIATIVE,PrimeWest Health,PrimeWest Central County-Based Purchasing Initiati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2016 Fall,0,2,0,0,0,4,Yes,0,5,5,2,0,0,0,0,0,0
H2931,Local CCP,"HEALTH PLAN OF NEVADA, INC.","Health Plan of Nevada, Inc.","UnitedHealth Group, Inc.",4,3,0,0,0,3,3,3,2,5,0,0,0,4,4,5,5,0,5,4,0,2,4,1,1,4,1,2,1,4,5,5,3,5,5,5,3,4,2,0,5,0,3.5,4,5,5,5,4,5,5,3,4,2,3,5,0,0,0,0,5,0,3,0,0,4,2016 Fall,0,0,0,4,4,4,No,4,5,4,3,0,0,0,0,0,0
H2944,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,0,0,0,4,1,3,1,3,0,0,0,1,1,2,4,0,3,3,0,2,3,5,4,3,4,4,5,3,3,3,5,3,4,5,3,2,4,0,4,0,3.5,3.5,5,5,0,3,3,3,5,5,5,3,5,0,0,0,0,5,0,5,0,0,4.5,2016 Fall,0,0,0,4,4,4,No,4,4,4,2,0,0,0,0,0,0
H2949,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,4,0,0,0,3,3,3,2,5,5,5,0,3,4,4,5,0,4,2,0,3,4,3,1,1,1,3,1,4,3,5,4,5,4,5,3,4,2,0,5,0,3.5,4,5,5,0,4,3,5,5,4,4,3,5,0,0,0,0,5,0,4,0,0,4.5,2016 Fall,0,3,5,4,4,4,Yes,4,4,4,2,0,0,0,0,0,0
H2960,Local CCP,"HOMETOWN HEALTH PLAN, INC.",Senior Care Plus,Renown Health,4,4,0,0,0,4,4,3,3,5,0,0,0,1,3,3,4,0,4,3,0,1,3,4,4,5,4,5,3,4,4,5,2,5,2,5,4,3,4,0,4,0,3.5,4,4,3,0,4,4,5,5,5,4,4,5,0,0,0,0,4,0,5,0,0,5,2016 Fall,0,0,0,4,5,4,No,4,5,4,2,0,0,0,0,0,0
H3107,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,0,0,0,3,3,3,3,4,0,0,0,3,2,2,3,0,2,3,0,2,3,4,2,3,2,2,1,3,4,4,4,5,5,5,3,3,2,0,5,0,3,3.5,5,5,5,3,4,4,3,2,3,3,5,0,0,0,0,5,0,3,0,0,3.5,2016 Fall,0,0,0,4,4,3,No,3,3,3,3,0,0,0,0,0,0
H3113,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1,1,0,0,0,0,0,0,0,0,5,5,0,0,5,3,5,0,0,0,0,0,5,0,0,0,0,0,0,5,5,5,0,0,0,5,0,5,0,0,0,0,0,0,5,5,0,5,5,5,5,0,0,5,3,0,0,0,0,5,0,0,0,0,5,2016 Fall,0,5,5,5,5,4,Yes,5,5,4,4,0,0,0,0,0,0
H3132,Local CCP,"AHF MCO OF FLORIDA, INC.",AHF,AIDS Healthcare Foundation,3,3,0,0,0,5,5,5,0,4,5,5,0,0,1,2,4,0,3,0,0,0,4,3,4,3,4,4,5,3,5,4,0,0,0,3,4,3,4,0,0,0,4,4.5,3,5,0,3,5,4,5,5,3,4,5,0,0,0,0,4,0,4,0,0,5,2016 Fall,0,1,5,4,4,5,Yes,5,5,5,3,0,0,0,0,0,0
H3152,Local CCP,"AETNA HEALTH, INC. (NJ)",Aetna Medicare,Aetna Inc.,3,4,0,0,0,4,4,2,2,3,0,0,0,3,3,2,4,0,4,3,0,3,3,4,3,4,4,4,4,4,2,5,3,3,4,5,3,3,4,0,4,0,3.5,3.5,5,5,5,4,2,5,4,1,4,4,3,0,0,0,0,5,0,3,0,0,4,2016 Fall,0,0,0,4,4,4,No,4,5,4,3,0,0,0,0,0,0
H3154,Local CCP,"HORIZON HEALTHCARE OF NEW JERSEY, INC.",Horizon Blue Cross Blue Shield of New Jersey,"Horizon Healthcare Services, Inc.",3,2,0,0,0,3,4,5,2,4,0,0,0,1,3,3,4,0,4,5,0,3,3,3,3,4,3,1,3,3,4,5,4,4,2,3,3,3,3,0,3,0,3.5,3.5,2,3,4,3,4,5,3,2,3,4,4,0,0,0,0,3,0,3,0,0,3.5,2016 Fall,0,0,0,4,4,4,No,4,5,4,3,0,0,0,0,0,0
H3156,Local CCP,"AMERIHEALTH HMO, INC.",AmeriHealth 65 Preferred HMO,"Independence Health Group, Inc.",4,3,0,0,0,3,5,5,2,3,0,0,0,0,2,4,4,0,4,3,0,2,3,3,3,2,2,1,2,3,3,3,1,4,3,5,4,3,2,0,4,0,3,3,5,4,3,3,3,3,2,2,3,4,4,0,0,0,0,4,0,3,0,0,3.5,2016 Fall,0,0,0,3,3,4,No,4,5,4,3,0,0,0,0,0,0
H3204,Local CCP,PRESBYTERIAN HEALTH PLAN,Presbyterian Senior Care (HMO),Presbyterian Healthcare Services,3,3,0,0,0,5,5,5,4,5,0,0,0,2,2,4,5,0,4,3,0,2,4,2,4,4,4,5,4,4,4,5,5,3,4,4,4,3,4,0,4,0,4.5,4.5,3,5,0,4,4,5,3,4,4,4,5,0,0,0,0,4,0,4,0,0,4,2016 Fall,0,0,0,5,4,4,No,4,4,4,4,0,0,0,0,0,0
H3206,Local CCP,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian MediCare PPO,Presbyterian Healthcare Services,4,3,0,0,0,4,2,4,3,3,0,0,0,1,3,3,4,0,4,4,0,2,4,2,3,3,3,4,1,5,4,5,2,3,3,4,3,3,3,0,3,0,3,3.5,3,5,0,5,4,5,4,3,3,4,5,0,0,0,0,4,0,3,0,0,4.5,2016 Fall,0,0,0,4,5,5,No,4,5,4,5,0,0,0,0,0,0
H3240,Local CCP,"AMERIGROUP NEW JERSEY, INC.",Amerigroup Community Care,Anthem Inc.,2,2,0,0,0,3,5,3,4,4,4,4,0,0,3,3,3,0,3,1,0,5,2,0,3,2,0,2,0,2,5,3,5,4,5,5,3,3,0,0,5,0,3.5,3.5,5,5,0,2,5,3,5,3,0,4,4,0,0,0,0,5,0,0,0,0,4,2016 Fall,0,2,4,4,4,3,Yes,4,3,3,2,0,0,0,0,0,0
H3251,Local CCP,HEALTH CARE SERVICE CORPORATION,Lovelace Medicare Plan,Health Care Service Corporation,3,2,0,0,0,4,2,4,4,1,0,0,0,2,2,2,1,0,2,3,0,4,4,2,2,1,1,1,1,4,4,4,1,3,1,5,3,3,1,0,3,0,2.5,3,5,5,0,4,4,4,4,3,4,4,5,0,0,0,0,5,0,4,0,0,4,2016 Fall,0,0,0,3,4,4,No,4,4,4,1,0,0,0,0,0,0
H3305,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",4,4,0,0,0,5,2,4,4,5,0,0,0,1,5,3,5,0,5,4,0,2,3,5,5,5,5,4,5,5,5,4,4,5,4,5,4,4,5,0,5,0,4.5,4.5,5,5,5,5,5,4,4,5,4,3,3,0,0,0,0,5,0,5,0,0,5,2016 Fall,0,0,0,5,5,4,No,5,5,5,2,0,0,0,0,0,0
H3307,Local CCP,"OXFORD HEALTH PLANS (NY), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,0,0,0,4,5,2,2,2,0,0,0,3,3,2,4,0,2,3,0,2,3,2,1,4,1,2,2,4,5,5,5,5,5,5,3,3,2,0,5,0,3.5,3.5,5,5,4,4,5,5,4,2,3,4,5,0,0,0,0,5,0,3,0,0,4,2016 Fall,0,0,0,5,5,4,No,4,4,3,2,0,0,0,0,0,0
H3312,Local CCP,"AETNA HEALTH, INC. (NY)",Aetna Medicare,Aetna Inc.,4,3,0,0,0,4,3,3,3,4,0,0,0,3,4,3,4,0,4,3,0,3,4,4,2,4,3,3,2,3,2,3,5,3,4,5,3,4,3,0,4,0,3.5,3.5,5,5,0,3,2,3,3,1,2,4,4,0,0,0,0,5,0,2,0,0,3.5,2016 Fall,0,0,0,3,3,4,No,4,5,4,3,0,0,0,0,0,0
H3314,1876 Cost,HEALTH INSURANCE PLAN OF GREATER NEW YORK,HIP Health Plan of Greater New York,"EmblemHealth, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,2016 Fall,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0
H3327,Local CCP,"TOUCHSTONE HEALTH HMO, INC.",Touchstone Health,"Touchstone Health Partnership, Inc",2,2,0,0,0,1,5,4,2,3,2,4,0,2,3,3,3,0,2,2,0,4,3,2,1,2,1,1,3,3,5,2,3,3,1,4,3,3,2,0,3,0,3,2.5,3,5,0,3,5,2,2,1,1,4,3,0,0,0,0,4,0,1,0,0,2.5,2016 Fall,0,3,4,3,3,3,Yes,3,2,3,1,0,0,0,0,0,0
H3328,Local CCP,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.",Fidelis Care,"The New York State Catholic Health Plan, Inc.",4,3,0,0,0,2,4,3,3,5,5,4,0,4,4,3,4,0,4,5,0,4,3,3,2,3,3,3,5,3,5,5,5,3,3,4,3,4,3,0,3,0,4,4,5,5,4,3,5,5,5,4,3,4,5,0,0,0,0,5,0,4,0,0,4.5,2016 Fall,0,1,4,5,5,4,Yes,4,4,3,2,0,0,0,0,0,0
H3330,Local CCP,HEALTH INSURANCE PLAN OF GREATER NEW YORK,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",4,4,0,0,0,3,5,3,3,5,4,3,0,4,4,3,4,0,3,3,0,3,2,1,1,2,1,2,2,4,5,5,2,4,2,4,4,3,2,0,3,0,3,3,5,5,2,4,5,5,1,3,3,3,5,0,0,0,0,4,0,3,0,0,3.5,2016 Fall,0,2,3,4,4,4,Yes,4,4,3,4,0,0,0,0,0,0
H3335,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",4,3,0,0,0,4,4,3,3,4,0,0,0,1,3,3,4,0,5,4,0,2,4,4,3,5,4,2,4,5,2,5,5,5,2,5,4,3,4,0,4,0,4,4,4,5,1,5,2,5,4,4,5,4,4,0,0,0,0,3,0,5,0,0,4,2016 Fall,0,0,0,4,4,4,No,5,5,5,1,0,0,0,0,0,0
H3337,Local CCP,"LIBERTY HEALTH ADVANTAGE, INC.",Liberty Health Advantage,"Liberty Health Advantage, Inc.",3,4,0,0,0,1,5,3,3,4,3,4,0,0,3,3,4,0,3,0,0,4,3,1,1,3,1,2,1,3,4,2,5,3,2,5,3,3,2,0,3,0,3,3,4,5,0,3,4,2,3,3,2,4,4,0,0,0,0,5,0,3,0,0,3,2016 Fall,0,3,4,4,3,3,Yes,2,2,2,1,0,0,0,0,0,0
H3342,Local CCP,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Empire BlueCross BlueShield,Anthem Inc.,3,3,0,0,0,3,4,3,2,3,0,0,0,3,2,3,4,0,3,2,0,2,2,3,1,2,3,1,2,3,5,5,1,4,4,5,3,3,2,0,4,0,3,3,5,4,4,3,5,5,4,1,2,4,5,0,0,0,0,4,0,2,0,0,4,2016 Fall,0,0,0,4,4,4,No,4,5,4,2,0,0,0,0,0,0
H3344,Local CCP,INDEPENDENT HEALTH BENEFITS CORPORATION,Independent Health,"Independent Health Association, Inc.",4,3,0,0,0,5,5,5,3,4,0,0,0,2,4,4,4,0,4,5,0,3,4,4,4,5,5,5,2,4,3,5,3,0,0,5,4,4,4,0,0,0,4.5,4.5,4,4,0,4,3,5,5,5,5,2,4,0,0,0,0,4,0,5,0,0,5,2016 Fall,0,0,0,4,4,4,No,4,5,5,2,0,0,0,0,0,0
H3347,Local CCP,"ELDERPLAN, INC.",Elderplan,"Elderplan, Inc.",2,2,0,0,0,2,5,2,3,3,3,5,0,1,2,4,3,0,2,2,0,4,3,1,1,1,1,1,3,3,4,3,3,4,3,5,3,3,1,0,4,0,3,3,5,5,0,3,4,3,3,1,1,3,4,0,0,0,0,5,0,1,0,0,3,2016 Fall,0,4,4,3,3,3,Yes,3,2,3,2,0,0,0,0,0,0
H3351,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",5,4,0,0,0,5,2,2,4,5,0,0,0,1,4,3,5,0,4,4,0,2,4,4,5,5,4,3,3,5,2,4,3,5,3,5,4,3,4,0,4,0,3.5,4,4,5,2,5,2,4,4,4,5,3,3,0,0,0,0,4,0,5,0,0,4,2016 Fall,0,0,0,4,4,4,No,5,5,5,1,0,0,0,0,0,0
H3359,Local CCP,"MANAGED HEALTH, INC.",Healthfirst Medicare Plan,"Healthfirst, Inc.",5,4,0,0,0,3,5,5,5,4,5,3,0,4,4,4,4,0,3,3,0,5,3,2,2,3,2,4,2,5,5,5,3,4,5,5,4,4,3,0,5,0,4,4,3,5,4,5,5,5,5,4,2,4,5,0,0,0,0,4,0,3,0,0,4,2016 Fall,0,1,4,5,5,4,Yes,4,3,3,2,0,0,0,0,0,0
H3361,Local CCP,"WELLCARE OF NEW YORK, INC.",WellCare,"WellCare Health Plans, Inc.",3,3,0,0,0,2,4,3,3,3,3,3,0,1,3,4,3,0,2,2,0,4,2,2,2,2,2,1,3,3,1,3,3,3,5,3,3,3,2,0,4,0,2.5,3,3,4,3,3,1,3,3,2,2,4,4,0,0,0,0,3,0,2,0,0,3,2016 Fall,0,1,4,3,3,3,Yes,3,3,3,1,0,0,0,0,0,0
H3362,Local CCP,"INDEPENDENT HEALTH ASSOCIATION, INC.",Independent Health,"Independent Health Association, Inc.",4,4,0,0,0,4,3,4,3,4,5,4,0,1,3,4,5,0,4,3,0,2,4,5,5,5,5,5,3,5,3,5,4,4,4,5,4,4,5,0,4,0,4.5,4.5,4,4,3,5,3,5,5,5,5,2,4,0,0,0,0,4,0,5,0,0,4.5,2016 Fall,0,4,4,4,5,4,Yes,5,5,4,2,0,0,0,0,0,0
H3370,Local CCP,"EMPIRE HEALTHCHOICE HMO, INC.",Empire BlueCross BlueShield,Anthem Inc.,3,3,0,0,0,3,5,4,2,4,0,0,0,3,3,2,4,0,3,3,0,3,2,4,2,2,3,1,3,3,5,5,2,4,4,5,3,3,3,0,4,0,3,3.5,5,5,4,3,5,5,5,1,2,4,5,0,0,0,0,5,0,2,0,0,4,2016 Fall,0,0,0,4,5,4,Yes,4,5,4,2,0,0,0,0,0,0
H3379,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2,2,0,0,0,2,4,4,2,3,5,5,0,2,3,3,4,0,2,3,0,4,3,2,1,2,1,1,2,3,5,4,5,5,5,5,3,4,2,0,5,0,3.5,3.5,5,5,0,3,5,4,1,1,1,4,5,0,0,0,0,5,0,1,0,0,3,2016 Fall,0,5,5,4,3,4,Yes,4,4,3,3,0,0,0,0,0,0
H3384,Local CCP,HEALTHNOW NEW YORK INC.,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HealthNow New York Inc.,4,4,0,0,0,5,4,3,2,5,0,0,0,1,4,4,5,0,4,3,0,2,2,4,4,3,4,2,3,5,5,2,2,4,3,4,4,3,3,0,4,0,3.5,4,5,5,4,5,5,2,4,2,5,4,3,0,0,0,0,5,0,4,0,0,4,2016 Fall,0,0,0,4,4,4,No,5,5,5,1,0,0,0,0,0,0
H3387,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",4,3,0,0,0,3,4,5,4,4,3,3,0,0,4,4,4,0,3,2,0,4,3,2,1,3,1,2,2,3,5,2,5,3,4,5,4,3,2,0,4,0,3.5,3.5,5,5,0,3,5,2,5,2,0,4,5,0,0,0,0,5,0,0,0,0,4,2016 Fall,0,1,3,4,4,4,Yes,4,4,4,2,0,0,0,0,0,0
H3388,Local CCP,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",4,4,0,0,0,5,4,3,3,5,0,0,0,2,5,4,5,0,4,5,0,2,3,5,5,5,5,5,4,5,5,5,3,4,2,5,4,4,5,0,4,0,4.5,4.5,4,1,1,5,5,5,4,5,4,4,5,0,0,0,0,2,0,5,0,0,4,2016 Fall,0,0,0,5,5,4,No,4,5,5,2,0,0,0,0,0,0
H3404,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,2,0,0,0,3,5,5,4,2,0,0,0,1,3,3,4,0,3,4,0,3,4,3,3,0,3,2,4,4,3,4,1,4,4,3,4,3,3,0,4,0,3.5,3.5,3,4,5,4,3,4,4,3,3,4,3,0,0,0,0,4,0,3,0,0,4,2016 Fall,0,0,0,3,4,4,No,4,5,4,2,0,0,0,0,0,0
H3421,PFFS,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.","America's 1st Choice Holdings of S.C., LLC",3,2,0,0,0,3,2,1,2,4,0,0,0,0,2,2,4,0,3,0,0,2,3,4,3,4,4,3,5,4,5,3,5,0,0,5,2,3,4,0,0,0,3.5,3.5,5,5,0,4,5,3,3,3,4,4,2,0,0,0,0,5,0,4,0,0,3.5,2016 Fall,0,0,0,4,4,3,No,4,3,3,3,0,0,0,0,0,0
H3449,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,3,0,0,0,5,5,3,3,3,0,0,0,2,3,4,4,0,3,3,0,2,4,4,3,3,4,2,4,4,3,3,2,4,4,3,4,3,3,0,4,0,3.5,3.5,3,5,3,4,3,3,4,4,3,4,3,0,0,0,0,4,0,4,0,0,3.5,2016 Fall,0,0,0,3,4,4,No,4,4,4,2,0,0,0,0,0,0
H3503,1876 Cost,SANFORD HEART OF AMERICA HEALTH PLAN,Sanford Heart of America Health Plan,Sanford Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,2016 Fall,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0
H3528,Local CCP,"CONNECTICARE, INC.","ConnectiCare, Inc.","EmblemHealth, Inc.",4,3,0,0,0,5,2,4,3,4,0,0,0,2,4,2,4,0,4,3,0,2,2,4,5,5,5,4,4,5,5,5,3,4,2,5,4,3,5,0,4,0,3.5,4,5,5,2,5,5,5,5,2,4,3,5,0,0,0,0,4,0,3,0,0,4.5,2016 Fall,0,0,0,5,5,4,No,4,5,4,4,0,0,0,0,0,0
H3533,Local CCP,"HUMANA HEALTH COMPANY OF NEW YORK, INC.","Humana Health Company of New York, Inc.",Humana Inc.,2,2,0,0,0,2,5,3,1,4,0,0,0,0,1,3,2,0,3,0,0,2,3,0,3,0,0,3,4,2,3,2,0,0,0,5,3,2,0,0,0,0,3,3,5,5,0,2,3,2,2,3,0,3,5,0,0,0,0,5,0,0,0,0,3,2016 Fall,0,3,0,2,2,3,Yes,4,3,3,2,0,0,0,0,0,0
H3597,Local CCP,"AETNA HEALTH, INC. (ME)",Aetna Medicare,Aetna Inc.,5,4,0,0,0,4,4,4,4,4,0,0,0,3,5,4,5,0,4,4,0,2,4,4,5,3,5,3,5,5,2,5,5,0,0,5,4,4,4,0,0,0,4.5,4.5,5,5,0,5,2,5,3,2,3,4,3,0,0,0,0,5,0,3,0,0,4,2016 Fall,0,0,0,4,4,4,No,5,5,5,3,0,0,0,0,0,0
H3653,Local CCP,"PARAMOUNT CARE, INC.",Paramount Elite,Promedica Health System,4,3,0,0,0,4,3,3,2,4,0,0,0,2,4,3,5,0,5,5,0,3,4,4,4,5,4,5,2,5,5,5,3,0,0,3,3,4,4,0,0,0,4,4,2,5,0,5,5,5,3,4,4,3,4,0,0,0,0,4,0,4,0,0,4,2016 Fall,0,0,0,5,5,4,No,4,5,4,1,0,0,0,0,0,0
H3655,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,Anthem Inc.,3,3,0,0,0,2,4,2,2,4,0,0,0,3,2,3,4,0,4,4,0,3,2,2,2,3,3,2,3,4,5,5,2,4,5,5,3,3,3,0,5,0,3,3.5,5,5,4,4,5,5,5,2,3,4,5,0,0,0,0,5,0,3,0,0,4.5,2016 Fall,0,0,0,4,5,4,Yes,4,5,4,2,0,0,0,0,0,0
