2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Calls Disconnected When Customer Calls Health Plan  - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer Used during Office Visits - DMC19,Computer Use by Doctor Helpful - DMC20,Computer Use Made Talking with Doctor Easier - DMC21,Improving Bladder Control - DMC22,Medication Reconciliation Post Discharge - DMC23,Hospitalization for Potentially Preventable Complications - DMC24,Statin Therapy for Patients with Cardiovascular Disease - DMC25,Medication Management for People With Asthma - DMC26,Asthma Medication Ratio - DMC27,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan  - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Statin Use in Persons with Diabetes (SUPD) - DMD17,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H1692,Coventry Health Care,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.",Aetna Inc.,Not enough data available,55%,Not enough data available,90%,60%,Not enough data available,Not enough data available,1:23,68%,94%,0.81%,76%,77%,37%,4%,62%,45,43,89,Not enough data available,47,40%,16%,45,65%,Not enough data available,Not enough data available,No data available,No data available,1.54%,0:12,5%,0.58%,100%,99,No data available,Not enough data available,0:23,96,No data available,0.0%,27,23,71%,99%,CMS identified issues with this plan's data,16%,27%,21%,11%,16%
H1716,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,43%,56%,96%,91%,78%,28%,90%,0:41,77%,97%,3.25%,80%,82%,44%,2%,57%,54,41,88,Not enough data available,50,47%,9%,58,81%,60%,78%,100%,100.00%,3.25%,0:41,5%,0.54%,100%,100,9.89%,Not enough data available,0:04,98,0.0%,6.7%,51,28,75%,99%,CMS identified issues with this plan's data,8%,13%,34%,5%,6%
H1723,Absolute Total Care,"ABSOLUTE TOTAL CARE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,0:12,No data available,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1737,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,Not enough data available,Not enough data available,Not enough data available,89%,76%,Not enough data available,No data available,0:18,No data available,94%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,39%,13%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:18,4%,0.00%,100%,100,No data available,No data available,0:58,95,No data available,0.0%,No data available,No data available,81%,97%,CMS identified issues with this plan's data,26%,42%,33%,12%,18%
H1777,ArchCare Advantage,"CATHOLIC SPECIAL NEEDS PLAN, LLC",Catholic Health Care System,Not enough data available,Not enough data available,Not enough data available,99%,Not enough data available,Not enough data available,No data available,0:08,No data available,100%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,100%,No data available,0.00%,0:16,9%,0.00%,100%,97,16.34%,No data available,0:10,99,No data available,0.0%,No data available,No data available,77%,No data available,3.96,No data available,No data available,No data available,No data available,No data available
H1846,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,Trinity Health,Not enough data available,3%,Not enough data available,92%,74%,Not enough data available,92%,0:37,79%,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,55%,41,34,91,Not enough data available,44,47%,10%,29,77%,Not enough data available,Not enough data available,100%,100.00%,0.00%,0:37,7%,0.00%,100%,102,No data available,Not enough data available,0:11,98,No data available,0.0%,45,24,78%,99%,0.58,6%,50%,29%,6%,5%
H1849,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Inc.,Not enough data available,57%,Not enough data available,93%,70%,32%,Not enough data available,0:24,77%,95%,1.56%,67%,68%,33%,3%,60%,44,35,79,Not enough data available,43,40%,24%,70,73%,Not enough data available,Not enough data available,75%,No data available,1.56%,0:24,6%,0.15%,100%,99,10.47%,Not enough data available,0:20,97,No data available,0.0%,27,9,76%,95%,CMS identified issues with this plan's data,30%,22%,30%,23%,21%
H1894,AMERIGROUP,"AMERIGROUP WASHINGTON, INC.",Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,90%,70%,Not enough data available,Not enough data available,0:39,78%,90%,1.90%,Not enough data available,Not enough data available,49%,0%,56%,41,33,93,Not enough data available,60,Not enough data available,22%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.90%,0:39,4%,0.58%,100%,98,No data available,Not enough data available,0:20,91,No data available,No data available,28,16,77%,93%,CMS identified issues with this plan's data,35%,38%,13%,10%,27%
H1903,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","WellCare Health Plans, Inc.",24%,36%,89%,91%,56%,26%,92%,0:17,54%,91%,1.60%,68%,77%,36%,3%,61%,50,50,87,Not enough data available,69,Not enough data available,8%,85,74%,54%,56%,No data available,No data available,1.60%,0:17,7%,0.26%,100%,100,40.91%,Not enough data available,0:18,98,No data available,No data available,40,42,75%,98%,3.64,No data available,No data available,No data available,No data available,No data available
H1916,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",Not enough data available,Not enough data available,Not enough data available,99%,No data available,Not enough data available,No data available,1:21,No data available,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,32%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,1:21,7%,0.13%,100%,No data available,No data available,No data available,0:13,98,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H1944,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealth Group, Inc.",63%,51%,92%,91%,82%,37%,Not enough data available,0:14,83%,96%,1.59%,79%,81%,45%,5%,Not enough data available,52,36,94,Not enough data available,Not enough data available,43%,11%,66,80%,53%,77%,100%,100.00%,1.59%,0:14,3%,0.53%,100%,99,10.34%,Not enough data available,0:10,98,No data available,No data available,44,18,81%,97%,6.13,25%,40%,15%,12%,17%
H1951,"Humana Health Benefit Plan of Louisiana, Inc.","HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,46%,54%,95%,93%,77%,33%,92%,0:41,73%,97%,3.25%,72%,82%,25%,2%,64%,58,49,85,93,61,44%,14%,46,76%,56%,70%,96%,100.00%,3.25%,0:41,5%,0.70%,100%,99,22.59%,82,0:04,99,0.0%,0.0%,50,34,77%,97%,CMS identified issues with this plan's data,25%,40%,31%,12%,18%
H1961,Peoples Health,"PEOPLES HEALTH, INC.","PH Holdings, LLC",66%,48%,92%,95%,74%,80%,91%,0:11,74%,97%,0.00%,74%,85%,23%,1%,60%,47,44,87,94,60,45%,77%,43,76%,57%,64%,100%,100.00%,0.00%,0:11,6%,0.24%,100%,99,20.20%,80,0:14,99,No data available,No data available,43,26,77%,98%,CMS identified issues with this plan's data,14%,38%,20%,12%,13%
H1969,Regence BlueShield of Idaho,REGENCE BLUE SHIELD OF IDAHO,"Cambia Health Solutions, Inc.",Not enough data available,Not enough data available,Not enough data available,87%,No data available,Not enough data available,93%,0:41,73%,91%,0.72%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,49%,32,28,93,Not enough data available,46,No data available,21%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,100%,100.00%,0.72%,0:41,4%,1.43%,100%,104,No data available,Not enough data available,0:16,95,No data available,0.0%,33,16,74%,96%,0.68,30%,43%,21%,7%,12%
H1977,Upper Peninsula Health Plan (UPHP) MI Health Link,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Not enough data available,0:09,60%,Plan too new to be measured,0.63%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,51%,31,24,85,Not enough data available,54,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,20,18,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1994,SelectHealth,"SELECTHEALTH, INC.","Intermountain Health Care, Inc.",63%,62%,78%,88%,72%,44%,90%,0:19,80%,94%,0.00%,74%,71%,33%,4%,60%,51,40,93,Not enough data available,50,48%,12%,33,80%,54%,89%,94%,89.47%,0.00%,0:19,6%,0.97%,100%,100,4.55%,86,0:23,97,13.3%,0.0%,26,17,72%,92%,0.57,12%,35%,21%,5%,8%
H1997,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",Not enough data available,Not enough data available,Not enough data available,92%,85%,Not enough data available,Not enough data available,0:41,80%,97%,0.68%,Not enough data available,Not enough data available,48%,12%,63%,52,47,99,Not enough data available,55,47%,13%,59,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.68%,0:41,3%,0.90%,100%,103,No data available,Not enough data available,0:16,97,No data available,0.0%,38,14,76%,96%,1.49,36%,45%,24%,8%,15%
H2001,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",61%,64%,88%,93%,87%,38%,90%,0:14,84%,98%,1.59%,75%,82%,40%,3%,61%,51,42,85,Not enough data available,48,48%,8%,56,78%,69%,93%,99%,80.00%,1.59%,0:14,6%,0.54%,100%,99,16.36%,Not enough data available,0:10,99,No data available,No data available,50,23,75%,98%,CMS identified issues with this plan's data,17%,18%,28%,16%,16%
H2012,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,46%,55%,91%,92%,74%,31%,91%,0:37,76%,96%,2.60%,74%,78%,31%,2%,63%,57,45,86,Not enough data available,53,44%,17%,56,75%,57%,66%,98%,100.00%,2.60%,0:37,5%,0.75%,100%,99,17.06%,85,0:04,98,0.0%,0.0%,48,30,75%,97%,CMS identified issues with this plan's data,25%,26%,27%,12%,14%
H2029,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Not enough data available,35%,Not enough data available,93%,82%,53%,93%,0:43,37%,95%,1.57%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,48%,58,40,78,Not enough data available,60,Not enough data available,5%,46,58%,Not enough data available,Not enough data available,No data available,No data available,1.57%,0:43,3%,0.47%,100%,100,No data available,Not enough data available,0:04,98,No data available,0.0%,42,41,66%,No data available,CMS identified issues with this plan's data,25%,21%,57%,21%,16%
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",Not enough data available,Not enough data available,Not enough data available,99%,No data available,Not enough data available,No data available,0:56,No data available,100%,0.79%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,91%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.79%,0:56,10%,2.39%,92%,102,7.14%,No data available,0:04,91,No data available,13.3%,No data available,No data available,87%,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2108,Cigna-HealthSpring,"BRAVO HEALTH MID-ATLANTIC, INC.",CIGNA,26%,47%,92%,94%,64%,28%,91%,1:35,68%,92%,3.82%,70%,78%,36%,2%,57%,53,46,82,Not enough data available,60,44%,20%,72,72%,49%,68%,83%,100.00%,3.82%,1:35,4%,0.65%,100%,101,10.33%,Not enough data available,0:10,99,13.3%,0.0%,46,34,75%,90%,3.72,34%,47%,35%,17%,20%
H2150,Kaiser Permanente,KAISER FNDN HP OF THE MID-ATLANTIC STS,"Kaiser Foundation Health Plan, Inc.",79%,56%,92%,95%,81%,71%,90%,Not enough data available,89%,97%,Not enough data available,74%,94%,37%,7%,63%,71,44,97,94,59,44%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,55%,86%,No data available,No data available,No data available,No data available,3%,0.52%,100%,99,9.77%,81,No data available,97,0.0%,0.0%,15,16,89%,No data available,4.46,18%,39%,25%,3%,9%
H2161,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",Not enough data available,Not enough data available,Not enough data available,95%,Plan too small to be measured,Not enough data available,No data available,0:09,No data available,100%,0.63%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,78%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:48,7%,0.00%,100%,99,No data available,No data available,1:13,99,No data available,0.0%,No data available,No data available,76%,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2165,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,29%,56%,87%,95%,74%,32%,Not enough data available,1:37,71%,96%,4.23%,74%,69%,31%,1%,55%,46,44,89,Not enough data available,55,39%,24%,58,74%,57%,76%,No data available,No data available,4.23%,1:37,7%,1.53%,100%,100,36.36%,Not enough data available,0:10,99,0.0%,0.0%,37,25,71%,91%,2.25,29%,28%,29%,17%,20%
H2168,VillageCareMAX,VILLAGE SENIOR SERVICES CORPORATION,"Village Care of New York, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2171,Care N' Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",North Texas Specialty Physicians,Not enough data available,Not enough data available,Not enough data available,88%,No data available,Not enough data available,No data available,0:16,No data available,92%,1.56%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.79%,0:10,No data available,No data available,100%,102,No data available,No data available,0:09,98,No data available,No data available,No data available,No data available,No data available,91%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H2174,Trillium Medicare Advantage,TRILLIUM COMMUNITY HEALTH PLAN,Centene Corporation,67%,52%,Not enough data available,89%,63%,18%,Not enough data available,0:10,65%,95%,0.00%,65%,83%,35%,10%,61%,33,33,89,Not enough data available,43,44%,44%,44,80%,65%,63%,0%,100.00%,0.00%,0:10,7%,0.64%,100%,103,11.54%,Not enough data available,0:23,97,No data available,No data available,22,20,73%,No data available,CMS identified issues with this plan's data,6%,50%,9%,5%,1%
H2185,LifeWorks Advantage (HMO SNP),"LIFEWORKS ADVANTAGE, LLC","MFA Lifeworks, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2224,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC","SWH Holdings, Inc.",Not enough data available,46%,98%,94%,68%,22%,89%,0:03,74%,100%,0.00%,84%,90%,20%,2%,75%,68,57,94,93,52,54%,46%,85,82%,56%,47%,33%,100.00%,0.00%,0:03,6%,0.29%,100%,105,19.89%,78,0:18,94,0.0%,0.0%,55,39,82%,No data available,0.74,16%,32%,6%,8%,13%
H2225,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",73%,56%,100%,94%,71%,27%,93%,0:03,74%,100%,0.00%,78%,93%,49%,6%,70%,67,51,92,94,56,61%,71%,73,88%,62%,65%,100%,100.00%,0.00%,0:03,7%,0.48%,100%,101,23.98%,85,0:05,98,No data available,93.3%,50,43,87%,No data available,0.81,No data available,No data available,No data available,No data available,No data available
H2226,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",75%,50%,98%,94%,70%,30%,Not enough data available,0:09,74%,99%,0.79%,82%,88%,17%,2%,72%,70,56,95,Not enough data available,55,50%,39%,59,86%,53%,59%,100%,No data available,0.79%,0:09,6%,0.35%,100%,99,16.48%,Not enough data available,0:10,99,No data available,No data available,59,44,85%,No data available,CMS identified issues with this plan's data,19%,33%,7%,8%,15%
H2228,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",55%,56%,85%,92%,Not enough data available,32%,No data available,0:09,No data available,96%,0.94%,74%,80%,39%,4%,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,12%,55,75%,58%,77%,No data available,No data available,0.94%,0:09,8%,1.42%,100%,No data available,16.88%,No data available,0:10,100,No data available,No data available,No data available,No data available,80%,97%,0.19,No data available,No data available,No data available,No data available,No data available
H2230,Blue Cross Blue Shield of Massachusetts,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",82%,64%,90%,92%,90%,45%,91%,0:42,80%,97%,0.00%,86%,80%,37%,6%,54%,40,35,91,90,44,51%,38%,64,83%,58%,82%,100%,100.00%,0.00%,0:42,4%,0.69%,100%,100,19.85%,87,0:17,98,0.0%,0.0%,36,11,80%,96%,0.30,8%,10%,42%,9%,5%
H2237,iCare,"INDEPENDENT CARE HEALTH PLAN, INC.",Independent Care Health Plan Inc.,52%,72%,Not enough data available,91%,66%,45%,Not enough data available,0:50,66%,95%,3.13%,69%,91%,39%,5%,65%,52,54,92,98,58,Not enough data available,13%,68,81%,77%,59%,No data available,No data available,3.13%,0:50,8%,0.32%,100%,99,18.18%,Not enough data available,0:01,99,No data available,No data available,56,43,79%,No data available,CMS identified issues with this plan's data,25%,36%,21%,14%,15%
H2241,Golden State Medicare Health Plan,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State Medicare Health Plan,Not enough data available,86%,Not enough data available,85%,82%,Not enough data available,Not enough data available,1:22,76%,94%,2.36%,Not enough data available,Not enough data available,7%,0%,53%,33,29,87,Not enough data available,43,40%,3%,17,62%,Not enough data available,Not enough data available,100%,100.00%,2.36%,1:22,6%,0.44%,100%,99,No data available,Not enough data available,0:02,97,No data available,No data available,40,12,74%,96%,0.70,No data available,No data available,No data available,No data available,No data available
H2256,Tufts Health Plan,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,"Tufts Associated HMO, Inc.",86%,56%,95%,95%,86%,41%,91%,0:31,86%,98%,1.18%,86%,87%,34%,6%,61%,51,37,92,Not enough data available,51,47%,68%,47,80%,51%,85%,90%,95.24%,1.18%,0:31,4%,1.08%,100%,101,14.99%,Not enough data available,0:13,98,6.7%,13.3%,44,16,82%,98%,CMS identified issues with this plan's data,15%,42%,22%,12%,10%
H2261,Blue Cross Blue Shield of Massachusetts,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",Not enough data available,62%,95%,93%,84%,30%,92%,0:42,81%,98%,0.00%,80%,83%,38%,7%,50%,41,29,91,92,53,52%,35%,68,85%,62%,80%,100%,100.00%,0.00%,0:42,4%,0.74%,100%,100,16.59%,82,0:17,98,0.0%,0.0%,36,14,82%,98%,0.20,6%,14%,42%,7%,5%
H2312,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,Henry Ford Health System,70%,64%,97%,91%,80%,33%,91%,0:28,82%,96%,0.00%,82%,84%,59%,7%,54%,39,38,90,Not enough data available,51,56%,10%,43,80%,58%,84%,67%,100.00%,0.00%,0:28,5%,0.17%,100%,100,13.39%,Not enough data available,0:09,95,0.0%,0.0%,46,17,77%,94%,2.10,No data available,No data available,No data available,No data available,No data available
H2320,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,66%,67%,94%,92%,89%,40%,92%,3:48,81%,96%,0.76%,77%,74%,40%,4%,53%,32,33,92,94,45,51%,11%,41,77%,87%,93%,69%,50.00%,0.76%,3:48,4%,0.58%,96%,101,11.89%,85,2:00,97,No data available,No data available,35,16,78%,93%,3.03,12%,11%,30%,12%,8%
H2322,HAP Senior Plus (PPO),ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,Not enough data available,64%,Not enough data available,91%,83%,36%,90%,0:39,81%,98%,0.00%,83%,89%,53%,5%,51%,35,29,80,Not enough data available,42,48%,10%,54,82%,Not enough data available,Not enough data available,33%,50.00%,0.00%,0:39,7%,0.29%,100%,100,No data available,82,0:09,96,No data available,0.0%,47,13,80%,No data available,1.85,17%,19%,38%,12%,11%
H2334,Eon Health,"EON HEALTH, INC. (SC)","Eon Health Plan, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2354,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,Henry Ford Health System,81%,69%,96%,92%,85%,50%,90%,0:19,77%,97%,1.57%,70%,72%,37%,2%,49%,39,32,82,Not enough data available,46,49%,10%,44,73%,73%,80%,No data available,No data available,1.57%,0:19,6%,0.20%,100%,101,12.12%,Not enough data available,0:20,99,No data available,0.0%,25,10,74%,93%,0.02,18%,18%,29%,10%,18%
H2400,Signature Advantage (HMO SNP),"SIGNATURE ADVANTAGE, LLC","SA Plan, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:28,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
