2020 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2486,Local CCP,"Humana Medical Plan Of Utah, Inc.",Humana,Humana Inc.,4,3,5,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2491,Local CCP,"Wellcare Health Insurance Of Arizona, Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,2,3,5,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2506,Demo,"Aetna Better Health, Inc. (il)",Aetna Better Health Premier Plan,CVS Health Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2531,Demo,"Unitedhealthcare Community Plan Of Ohio, Inc.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2533,Demo,"Molina Healthcare Of South Carolina, Inc.",Molina Healthcare of South Carolina,"Molina Healthcare, Inc.,",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2563,Local CCP,Optima Health Plan,Optima Medicare,Sentara Health Care (SHC),4,3,3,4,Not enough data available,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2577,Local CCP,Care Improvement Plus Of Texas Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2582,Local CCP,Rocky Mountain Health Maintenance Organization,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2591,Local CCP,"Health Alliance - Midwest, Inc.",Health Alliance Medicare,The Carle Foundation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2593,Local CCP,"Amerigroup Texas, Inc.",Amerigroup,Anthem Inc.,4,4,2,3,4,5,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2610,Local CCP,"Essence Healthcare, Inc.",Essence Healthcare,Essence Group Holdings Corporation,4,4,5,4,5,3,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2624,Local CCP,Care N' Care Insurance Company Of North Carolina,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Moses H. Cone Memorial Hospital Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2663,Local CCP,"Coventry Health Care Of Missouri, Inc",Aetna Medicare,CVS Health Corporation,3,3,4,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2678,Local CCP,"Ma Delivery Innovations, Inc.",MoreCare,MHNU Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2722,Local CCP,"Vantage Health Plan Of Arkansas, Inc.","Vantage Health Plan of Arkansas, Inc.","Vantage Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2773,Local CCP,"Quality Health Plans Of New York, Inc.",QUALITY HEALTH PLANS,"QHP Financial Group, Inc.",3,3,1,3,2,Not enough data available,3,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2775,Local CCP,American Progressive Life & Hlth Ins Company Of Ny,WellCare,"WellCare Health Plans, Inc.",3,3,3,4,4,4,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2793,Local CCP,"Imperial Insurance Company Of Texas, Inc.","Imperial Insurance Company of Texas, Inc",Imperial Health Plan of California,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2802,Local CCP,"Unitedhealthcare Of The Midlands, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,4,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2816,PFFS,American Progressive Life & Hlth Ins Company Of Ny,WellCare,"WellCare Health Plans, Inc.",3,3,3,4,5,4,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2825,Local CCP,Mary Washington Health Plan,Mary Washington Medicare Advantage,Mary Washington Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2829,Local CCP,"Innovation Health Plan, Inc.",Innovation Health Medicare,"Innovation Health Holdings, LLC",3,Not enough data available,2,5,Not enough data available,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2836,Local CCP,"Anthem Health Plans, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2879,Local CCP,"Molina Healthcare Of Wisconsin, Inc.",Molina Healthcare of Wisconsin,"Molina Healthcare, Inc.,",3,3,3,4,Not enough data available,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2915,Local CCP,"Pennsylvania Health & Wellness, Inc.",Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2926,Local CCP,Primewest Rural Mn Health Care Access Initiative,PrimeWest Health,PrimeWest Rural MN Health Care Access Initiative,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2944,PFFS,Humana Insurance Company,Humana,Humana Inc.,2,2,4,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2960,Local CCP,"Hometown Health Plan, Inc.",Senior Care Plus,Renown Health,5,3,4,5,3,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2962,Local CCP,"Ultimate Health Plans, Inc.",Ultimate Health Plans,"ULTIMATE HEALTH PLAN, INC.",4,4,3,3,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2986,Local CCP,Stanford Healthcare Advantage,Stanford Health Care Advantage,Stanford Health Care,4,4,4,5,Not enough data available,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3071,Local CCP,"Community Care Alliance Of Illinois, Nfp",Community Care Alliance of Illinois,Delaware Life Insurance Company,2,2,2,3,4,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3113,Local CCP,"Oxford Health Plans (nj), Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3132,Local CCP,"Ahf Mco Of Florida, Inc.",AHF,AIDS Healthcare Foundation,4,4,4,4,Not enough data available,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3146,Local CCP,Aetna Better Health Inc. (ga),Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3152,Local CCP,Aetna Health Inc. (nj),Aetna Medicare,CVS Health Corporation,4,3,3,3,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3154,Local CCP,Horizon Insurance Company,Horizon Blue Cross Blue Shield of New Jersey,"Horizon Healthcare Services, Inc.",3,3,3,4,5,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3170,Local CCP,"Sapphire Edge, Inc.",Blue Cross and Blue Shield of Nebraska,Blue Cross Blue Shield of Nebraska,4,3,4,4,Not enough data available,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3192,Local CCP,Aetna Health Of Michigan Inc.,Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3204,Local CCP,Presbyterian Health Plan,Presbyterian Health Plan,Presbyterian Healthcare Services,4,4,2,5,5,4,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3206,Local CCP,"Presbyterian Insurance Company, Inc.","Presbyterian Insurance Company, Inc.",Presbyterian Healthcare Services,3,3,3,4,4,5,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3219,Local CCP,Allina Health And Aetna Insurance Company,Allina Health Aetna Medicare,ALLINA HEALTH AND AETNA INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3227,Local CCP,"Kalos Health, Inc.",Kalos Health Plan,"Kalos Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3237,Demo,"Health Net Community Solutions, Inc.",Health Net Cal MediConnect Medicare Medicaid Plan,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3239,Local CCP,"Aetna Better Health, Inc. (la)",Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3240,Local CCP,"Amerigroup New Jersey, Inc.",Amerigroup Community Care,Anthem Inc.,3,3,3,3,5,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3251,Local CCP,Health Care Service Corporation,Blue Cross and Blue Shield of New Mexico,Health Care Service Corporation,3,3,2,5,2,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3259,Local CCP,Volunteer State Health Plan,BlueCare Plus Tennessee,BlueCross BlueShield of Tennessee,3,3,5,5,5,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3276,Local CCP,"Connecticare Insurance Company, Inc.",ConnectiCare,"EmblemHealth, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3281,Local CCP,Bright Health Insurance Company Of Florida,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3288,Local CCP,Aetna Health And Life Insurance Company,Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3291,Local CCP,"Pruitthealth Premier, Inc.",PruittHealth Premier,"UNICO Premier, LLC",Not enough data available,4,Not enough data available,5,2,4,5,Not enough data available,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3293,Local CCP,"Mmm Of Florida, Inc.","MMM of Florida, Inc.",InnovaCare Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3305,Local CCP,"Mvp Health Plan, Inc.",MVP HEALTH CARE,"MVP Health Care, Inc.",4,3,5,4,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3307,Local CCP,"Oxford Health Plans (ny), Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,1,5,5,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3312,Local CCP,Aetna Health Inc. (ny),Aetna Medicare,CVS Health Corporation,3,3,2,3,5,5,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3328,Local CCP,"The New York State Catholic Health Plan, Inc.",Fidelis Legacy Plan,"The New York State Catholic Health Plan, Inc.",3,3,3,4,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3330,Local CCP,Health Insurance Plan Of Greater New York,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",3,4,2,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3335,Local CCP,"Excellus Health Plan, Inc.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",4,4,4,5,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3342,Local CCP,"Empire Healthchoice Assurance, Inc.",Empire BlueCross BlueShield,Anthem Inc.,4,3,2,4,Not enough data available,4,5,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3344,Local CCP,Independent Health Benefits Corporation,Independent Health,"Independent Health Association, Inc.",4,4,4,5,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3347,Local CCP,"Elderplan, Inc.",Elderplan,"Elderplan, Inc.",3,3,2,4,4,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3351,Local CCP,"Excellus Health Plan, Inc.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",4,4,4,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3359,Local CCP,"Healthfirst Health Plan, Inc.",Healthfirst Medicare Plan,"Healthfirst, Inc.",4,4,3,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3362,Local CCP,"Independent Health Association, Inc.",Independent Health,"Independent Health Association, Inc.",4,4,4,5,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3379,Local CCP,"Unitedhealthcare Of New York, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,2,4,5,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3384,Local CCP,Healthnow New York Inc.,BlueCross BlueShield of WNY and BlueShield of NENY,HealthNow New York Inc.,4,4,4,5,5,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3387,Local CCP,"Unitedhealthcare Of New York, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,2,5,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3388,Local CCP,"Capital District Physicians' Health Plan, Inc.",CDPHP Medicare Advantage,"Capital District Physicians' Health Plan, Inc.",4,4,5,5,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3404,Local CCP,Blue Cross And Blue Shield Of North Carolina,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,3,4,4,4,4,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3407,Local CCP,"El Paso First Health Plans, Inc.",El Paso Health Advantage Dual SNP,El Paso County Hospital District,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3416,Local CCP,"Healthpartners Unitypoint Health, Inc.",HealthPartners UnityPoint Health,"HealthPartners UnityPoint Health, Inc.",4,3,5,5,Not enough data available,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3418,Local CCP,Unitedhealthcare Insurance Company Of New York,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3442,Local CCP,Unitedhealthcare Insurance Company Of Illinois,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3447,Local CCP,"Healthkeepers, Inc.",Anthem HealthKeepers,Anthem Inc.,4,3,3,3,5,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3449,Local CCP,Blue Cross And Blue Shield Of North Carolina,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,3,4,5,4,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3464,Local CCP,"Unitedhealthcare Of Arkansas, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3467,Local CCP,"Procare Advantage, Llc",ProCare Advantage,"First Sacramento Capital Funding, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3471,Local CCP,Health Alliance Northwest Health Plan,Health Alliance Northwest,The Carle Foundation,4,3,3,4,3,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3499,Local CCP,Coordinated Care Corporation,Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3528,Local CCP,"Connecticare, Inc.",ConnectiCare,"EmblemHealth, Inc.",4,3,4,4,4,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3533,Local CCP,"Humana Health Company Of New York, Inc.",Humana,Humana Inc.,3,4,2,3,5,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3536,Local CCP,"Matthew Thornton Health Plan, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,4,3,3,4,Not enough data available,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3557,Local CCP,Blue Cross & Blue Shield Of Rhode Island,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3561,Local CCP,"Health Net Community Solutions, Inc.","HEALTH NET COMMUNITY SOLUTIONS, INC.",Centene Corporation,4,4,3,4,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3572,Local CCP,"Ahf Mco Of Georgia, Inc.",AHF,AIDS Healthcare Foundation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3597,Local CCP,Aetna Health Inc. (me),Aetna Medicare,CVS Health Corporation,4,4,5,4,4,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3632,Local CCP,Medica Community Health Plan,Medica,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3653,Local CCP,"Paramount Care, Inc.",Paramount Elite/Medicare Plans,"Promedica Health System, Inc.",4,3,5,5,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3655,Local CCP,Community Insurance Company,Anthem Blue Cross and Blue Shield,Anthem Inc.,4,4,4,5,5,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3660,Local CCP,Summacare Inc.,SummaCare Medicare Advantage Plans,Summa Health System Community,3,4,5,5,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3664,Local CCP,Aultcare Health Insuring Corporation,PrimeTime Health Plan,Aultman Health Foundation,3,4,5,4,4,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3668,Local CCP,"Mount Carmel Health Plan, Inc.",MediGold,Trinity Health,3,3,5,5,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3672,Local CCP,"The Health Plan Of West Virginia, Inc.",The Health Plan,"The Health Plan of West Virginia, Inc.",3,3,5,4,5,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3706,Local CCP,"Globalhealth, Inc.",GlobalHealth,"Momentum Health Holdings, LLC",3,3,4,4,4,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3708,Local CCP,"Oklahoma Superior Select, Inc.",American Health Advantage of Oklahoma,"American Health Companies, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3725,Local CCP,Bright Health Insurance Company Of Illinois,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3748,Local CCP,"Aetna Better Health Of Washington, Inc.",Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3749,Local CCP,"Unitedhealthcare Of Oklahoma, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,4,5,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3755,Local CCP,"Community Care Hmo, Inc",CommunityCare Senior Health Plan (HMO),"CommunityCare Managed Healthcare Plans of OK, Inc.",4,3,4,4,5,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3777,Local CCP,"Experience Health, Inc.","Experience Health, Inc.","EXPERIENCE HEALTH, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3794,Local CCP,Care Improvement Plus Wisconsin Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3800,Local CCP,Provider Partners Health Plan Of Illinois,Provider Partners Illinois Advantage Plan,"Rifkin Managed Care Holding Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3805,Local CCP,"Unitedhealthcare Of Oregon, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
