2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H1248,Blue Cross and Blue Shield of Louisiana,Louisiana Health Service & Indemnity Company,Louisiana Health Service & Indemnity Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:56,Plan too new to be measured,Plan too new to be measured,3.91%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,3.91%,00:56,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:04,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1277,Align Senior Care,"Align Senior Care, Inc.","Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1278,UnitedHealthcare,Harken Health Insurance Company,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:21,Plan too new to be measured,Plan too new to be measured,3.74%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,3.74%,00:21,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:26,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1286,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",Not enough data available,62%,88%,84%,35%,89,00:19,80%,96%,3.09%,78%,75%,31%,3%,21,100%,76%,57%,69%,24%,86%,4%,46%,100%,No data available,3.09%,00:19,3%,0.07%,96%,100,00:26,93,38%,16%,9%,10%,10%,No data available,1.23,95,2.66,8%,20%,16%,6%,7%,100
H1290,Devoted Health,"Devoted Health Plan Of Florida, Inc.","Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:20,Plan too new to be measured,Plan too new to be measured,1.17%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.57%,00:30,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:23,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1302,Blue Cross of Idaho,"Blue Cross Of Idaho Care Plus, Inc.","Blue Cross of Idaho Health Services, Inc.",Not enough data available,Benefit not offered by plan ,Benefit not offered by plan ,Not enough data available,Not enough data available,No data available,00:11,No data available,89%,0.00%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,19,Not enough data available,55%,Not enough data available,45%,21%,74%,14%,39%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,100
H1304,Regence BlueShield Of Idaho,Regence Blueshield Of Idaho,"Cambia Health Solutions, Inc.",Not enough data available,61%,Not enough data available,84%,34%,92,00:23,78%,97%,0.00%,81%,68%,41%,6%,24,Not enough data available,72%,58%,55%,9%,79%,3%,36%,100%,100.00%,0.00%,00:23,2%,1.02%,100%,102,00:13,90,43%,21%,9%,10%,11%,No data available,1.20,94,14.94,16%,24%,26%,13%,11%,100
H1350,Blue Cross of Idaho,"Blue Cross Of Idaho Care Plus, Inc.","Blue Cross of Idaho Health Services, Inc.",72%,70%,89%,81%,35%,92,00:11,75%,97%,0.00%,78%,82%,49%,5%,32,97%,77%,62%,71%,34%,85%,29%,55%,100%,100.00%,0.63%,00:42,4%,0.12%,100%,100,00:18,97,48%,28%,9%,13%,13%,18%,1.50,97,12.44,14%,11%,26%,11%,8%,100
H1352,Blue Cross and Blue Shield of Kansas City (Blue KC,"Blue-advantage Plus Of Kansas City, Inc.",Blue Cross and Blue Shield of Kansas City,40%,63%,Not enough data available,76%,46%,92,00:59,80%,94%,6.98%,78%,79%,29%,2%,36,97%,71%,51%,61%,10%,83%,5%,40%,100%,No data available,6.98%,00:59,3%,0.55%,100%,101,00:05,89,52%,26%,8%,9%,7%,22%,0.00,96,CMS identified issues with this plan's data,17%,25%,21%,11%,12%,80
H1353,Wellcare,"Wellcare Of Washington, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1365,Martin's Point Generations Advantage,"Martin's Point Generations Advantage, Inc.","Martin's Point Health Care, Inc.",Not enough data available,70%,Not enough data available,84%,53%,92,00:49,81%,97%,2.40%,Not enough data available,Not enough data available,44%,14%,48,Not enough data available,65%,56%,65%,47%,89%,36%,59%,100%,No data available,2.40%,00:49,2%,0.47%,100%,100,00:18,84,27%,12%,6%,3%,2%,No data available,0.00,86,4.20,6%,7%,30%,7%,4%,80
H1372,AgeRight Advantage,"Marquis Advantage, Inc.","Marquis Companies I, Inc.",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:23,No data available,100%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,77%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100%,No data available,0.78%,00:23,4%,0.00%,100%,No data available,00:05,24,No data available,No data available,9%,16%,23%,10%,0.00,100,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1375,UnitedHealthcare,"Unitedhealthcare Community Plan Of California, Inc","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1393,Bright Health,Bright Health Insurance Company Of Tennessee,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:27,Plan too new to be measured,Plan too new to be measured,2.34%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2.34%,00:27,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:21,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1415,Cigna,"Healthspring Life & Health Insurance Company, Inc.",CIGNA,29%,41%,Not enough data available,62%,34%,90,00:11,65%,92%,0.71%,74%,84%,22%,2%,23,98%,69%,48%,69%,14%,82%,6%,43%,75%,100.00%,0.71%,00:11,2%,0.07%,100%,96,00:05,91,61%,53%,4%,8%,7%,15%,0.00,81,5.21,29%,29%,30%,Not Available,15%,100
H1416,WellCare,"Harmony Health Plan,  Inc.","WellCare Health Plans, Inc.",29%,46%,89%,54%,30%,92,01:04,54%,95%,0.22%,69%,77%,29%,3%,57,98%,57%,50%,54%,5%,77%,2%,34%,90%,100.00%,0.22%,01:04,4%,0.15%,100%,101,01:26,91,57%,46%,8%,8%,7%,13%,0.50,96,CMS identified issues with this plan's data,26%,37%,18%,11%,17%,100
H1426,Vitality Health Plan of California,"Vitality Health Plan Of California, Inc.","Vitality Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:25,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.56%,00:18,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:09,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1436,Allwell,"Absolute Total Care, Inc.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,00:03,58%,90%,2.33%,77%,70%,55%,5%,No data available,Not enough data available,53%,50%,46%,2%,78%,0%,32%,No data available,100.00%,2.33%,00:03,3%,0.02%,100%,100,00:09,92,55%,40%,6%,9%,7%,No data available,2.76,95,8.46,34%,49%,14%,Not Available,23%,100
H1463,Health Alliance Medicare,"Health Alliance Connect, Inc.",The Carle Foundation,43%,67%,90%,80%,36%,92,00:49,80%,97%,1.40%,77%,81%,32%,1%,49,99%,70%,58%,62%,23%,87%,13%,46%,100%,100.00%,1.40%,00:49,4%,1.14%,100%,96,00:14,88,52%,26%,9%,11%,8%,20%,0.00,84,1.97,18%,24%,24%,8%,9%,100
H1468,Humana,"Humana Benefit Plan Of Illinois, Inc.",Humana Inc.,40%,50%,81%,69%,32%,Not enough data available,00:19,67%,96%,1.60%,75%,81%,49%,6%,47,97%,79%,60%,61%,2%,92%,1%,39%,100%,100.00%,1.60%,00:19,2%,0.56%,100%,100,00:10,85,64%,31%,6%,8%,7%,15%,0.26,97,0.95,35%,53%,20%,11%,17%,100
H1475,Allwell,Illinicare Health Plan,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:07,Plan too new to be measured,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.78%,00:07,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:09,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1537,UnitedHealthcare,Care Improvement Plus South Central Insurance Co,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,91%,Not enough data available,93,00:17,85%,98%,3.94%,81%,87%,33%,0%,46,Not enough data available,70%,63%,54%,11%,86%,2%,38%,No data available,No data available,3.94%,00:17,3%,0.00%,96%,No data available,00:26,97,54%,23%,5%,10%,9%,No data available,0.00,99,2.49,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1587,Superior Select Health Plans,"Arkansas Superior Select, Inc.","Select Founders, LLC",18%,Not enough data available,Not enough data available,55%,Not enough data available,No data available,00:01,No data available,94%,1.56%,70%,62%,20%,0%,No data available,Not enough data available,32%,28%,17%,2%,68%,2%,22%,100%,No data available,1.56%,00:01,7%,0.32%,100%,99,00:06,88,No data available,No data available,17%,11%,8%,10%,0.00,93,3.09,26%,23%,18%,Not Available,Not Available,80
H1607,Anthem Blue Cross and Blue Shield,"Anthem Insurance Companies, Inc.",Anthem Inc.,Not enough data available,58%,Not enough data available,82%,25%,93,00:50,80%,97%,0.63%,78%,76%,28%,2%,43,100%,69%,57%,46%,9%,84%,14%,38%,100%,No data available,0.63%,00:50,3%,0.49%,100%,100,00:04,85,54%,29%,8%,10%,9%,No data available,0.00,85,1.41,14%,11%,37%,Not Available,11%,60
H1608,Aetna Medicare,Coventry Health And Life Insurance Company,CVS Health Corporation,43%,58%,85%,83%,34%,91,00:49,74%,96%,0.39%,78%,79%,27%,4%,47,97%,64%,54%,79%,5%,84%,2%,42%,100%,100.00%,1.75%,00:28,3%,0.79%,100%,100,00:26,96,46%,28%,8%,9%,7%,15%,0.35,98,3.12,16%,19%,25%,19%,13%,100
H1609,Aetna Medicare,Aetna Health Inc. (fl),CVS Health Corporation,36%,57%,84%,79%,34%,93,00:45,57%,96%,0.00%,80%,87%,8%,1%,36,93%,81%,59%,87%,1%,81%,1%,42%,100%,No data available,1.82%,00:26,3%,0.58%,100%,100,00:26,96,61%,45%,7%,8%,8%,13%,0.00,97,12.20,20%,32%,22%,Not Available,14%,100
H1610,Aetna Better Health of Virginia,Coventry Health Care Of Virginia,CVS Health Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,00:43,61%,100%,0.00%,85%,83%,Not enough data available,Not enough data available,No data available,Not enough data available,79%,Not enough data available,23%,1%,84%,0%,27%,100%,100.00%,0.00%,00:43,3%,0.43%,100%,100,00:03,98,59%,42%,14%,9%,10%,No data available,0.00,98,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1644,Longevity Health Plan,Longevity Health Plan Of Florida Inc.,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1651,"Medical Associates Health Plan, Inc.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",77%,Benefit not offered by plan ,Plan not required to report measure,77%,42%,93,Plan not required to report measure,83%,99%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Plan not required to report measure,Not enough data available,80%,60%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,CMS identified issues with this plan's data,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,100
H1659,Piedmont Medicare Advantage,"Piedmont Community Healthcare, Inc.",Piedmont Community Health Plan,74%,60%,Not enough data available,76%,42%,93,00:20,69%,97%,0.00%,79%,73%,39%,3%,49,100%,61%,52%,40%,2%,84%,1%,31%,100%,100.00%,0.00%,00:19,3%,0.00%,100%,99,00:18,93,59%,36%,7%,17%,16%,No data available,0.00,81,40.68,5%,9%,30%,10%,7%,100
H1660,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Health Care Inc.,"Harvard Pilgrim Health Care, Inc.",Not enough data available,52%,94%,89%,Not enough data available,92,01:00,78%,96%,0.78%,84%,82%,31%,5%,63,95%,70%,59%,44%,7%,87%,6%,36%,83%,100.00%,0.78%,01:00,2%,0.08%,96%,101,00:07,92,53%,26%,9%,10%,8%,No data available,1.55,98,CMS identified issues with this plan's data,20%,9%,33%,10%,10%,60
H1664,Allwell,"Home State Health Plan, Inc.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:08,No data available,96%,1.96%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,54%,Not enough data available,33%,0%,81%,0%,29%,No data available,No data available,1.96%,00:08,6%,0.00%,100%,100,00:09,94,No data available,No data available,9%,No data available,No data available,No data available,0.00,94,Plan too small to be measured,22%,33%,15%,Not Available,Not Available,100
H1666,Blue Cross and Blue Shield of Texas,Hcsc Insurance Services Company,Health Care Service Corporation,49%,60%,Not enough data available,86%,39%,90,00:28,75%,95%,3.75%,68%,63%,29%,3%,48,68%,61%,53%,31%,CMS Found Issues with Plan's Data,79%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,88%,100.00%,3.75%,00:28,3%,0.45%,100%,100,00:07,92,53%,27%,6%,8%,7%,14%,0.54,93,7.14,23%,29%,38%,14%,14%,100
H1692,Aetna Medicare,"Coventry Health Care Of West Virginia, Inc.",CVS Health Corporation,43%,54%,85%,61%,26%,94,00:54,68%,95%,0.00%,83%,84%,36%,10%,58,89%,59%,49%,83%,6%,78%,3%,43%,No data available,No data available,3.16%,00:10,4%,0.67%,100%,100,00:26,96,50%,34%,10%,7%,5%,No data available,0.87,98,3.54,14%,17%,19%,Not Available,13%,100
H1722,"Health Pointe of New York, LLC","Health Pointe Of New York, Llc","Independent Living Systems, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:02,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,00:02,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:05,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1723,Absolute Total Care,"Absolute Total Care, Inc.",Centene Corporation,Not enough data available,68%,Not enough data available,45%,Not enough data available,94,00:39,62%,92%,0.00%,66%,73%,39%,3%,60,94%,48%,44%,44%,3%,78%,0%,31%,No data available,100.00%,0.00%,00:39,3%,0.13%,100%,100,00:09,93,63%,53%,10%,11%,12%,6%,0.00,95,22.31,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1737,Health Alliance Medicare,"Health Alliance - Midwest, Inc.",The Carle Foundation,Not enough data available,Not enough data available,Not enough data available,81%,Not enough data available,Not enough data available,02:20,82%,96%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,43,Not enough data available,73%,53%,32%,8%,75%,3%,30%,No data available,No data available,0.78%,02:20,2%,0.92%,100%,94,00:14,88,51%,18%,9%,No data available,No data available,No data available,0.00,85,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1777,ArchCare Advantage,"Catholic Special Needs Plan, Llc",Catholic Health Care System,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,00:23,No data available,100%,1.57%,47%,79%,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,33%,20%,0%,74%,0%,23%,100%,No data available,2.34%,00:06,3%,0.39%,100%,100,00:18,92,No data available,No data available,9%,9%,19%,8%,0.00,82,0.61,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1787,Great Plains Medicare Advantage,"Good Samaritan Insurance Plan Of South Dakota, Inc",Sanford Health,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:15,No data available,100%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,00:15,5%,0.00%,100%,97,00:05,-36,No data available,No data available,8%,20%,No data available,19%,0.00,100,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1846,MediGold,Mount Carmel Health Insurance Company,Trinity Health,Not enough data available,Not enough data available,Not enough data available,82%,Not enough data available,93,00:24,77%,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,34,Not enough data available,67%,62%,29%,0%,76%,0%,26%,100%,No data available,0.00%,00:24,2%,0.00%,100%,95,00:18,95,58%,28%,9%,5%,6%,No data available,0.00,77,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
