2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Alcohol or other Drug Treatment - DMC12,Engagement of Alcohol or other Drug Treatment - DMC13,Hospitalization for Potentially Preventable Complications - DMC14,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Transitions of Care - Average - DMC20,Plan All-Cause Readmissions (18+) - DMC21,Plan All-Cause Readmissions (18-64) - DMC22,Plan All-Cause Readmissions (65+) - DMC23,Physical Functioning Activities of Daily Living - DMC24,Care of Older Adults - Functional Status - DMC25,Kidney Health Evaluation for Patients With Diabetes - DMC26,Improving or Maintaining Physical Health - DMC27,Improving or Maintaining Mental Health - DMC28,Cardiac Rehabiliation - Acheivement - DMC29,Cardiac Rehabiliation - Engagement 1 - DMC30,Cardiac Rehabiliation - Engagement 2 - DMC31,Cardiac Rehabilation - Initiation - DMC32,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H2944,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,68%,Not enough data available,24%,90,0:18,69%,96%,1.40%,77%,74%,40%,0%,26%,59%,80%,17%,90%,10%,49%,14%,Not enough data available,13%,90%,Plan not required to report measure,23%,59%,84%,2%,13%,9%,9%,1.50%,0:19,100,0:47,86,55%,29%,9%,No data available,14.83%,8.20%,0.31%,9.17%,13.29%,24.37%,1.86,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2960,Senior Care Plus,"HOMETOWN HEALTH PLAN, INC.",Renown Health,38%,59%,Not enough data available,33%,93,2:48,86%,96%,1.01%,69%,88%,14%,2%,13%,64%,95%,94%,95%,78%,90%,12%,14%,12%,99%,92%,68%,64%,83%,7%,6%,8%,1%,0.00%,1:05,100,0:22,92,53%,21%,7%,No data available,12.14%,5.93%,0.23%,8.44%,11.31%,12.13%,2.74,14%,34%,21%,Not Available,12%,100
H2962,Ultimate Health Plans,"ULTIMATE HEALTH PLANS, INC.","Ultimate Healthcare Holdings, LLC",Not enough data available,69%,Not enough data available,37%,90,0:17,64%,96%,3.06%,87%,87%,7%,0%,Not enough data available,51%,77%,4%,91%,1%,43%,13%,Not enough data available,13%,97%,95%,78%,66%,82%,0%,0%,0%,0%,1.02%,0:18,97,1:16,55,53%,28%,5%,No data available,20.66%,9.99%,0.00%,9.51%,11.16%,13.02%,11.83,24%,34%,12%,7%,14%,80
H2986,Essence Healthcare,"Essence Healthcare of California, Inc.",Essence Group Holdings Corporation,Not enough data available,65%,Not enough data available,Not enough data available,92,0:05,83%,95%,0.00%,Not enough data available,Not enough data available,34%,4%,9%,64%,78%,47%,91%,19%,59%,8%,Not enough data available,8%,98%,Plan not required to report measure,64%,70%,82%,0%,0%,0%,0%,0.00%,0:05,100,0:17,92,56%,23%,11%,No data available,9.40%,4.51%,0.69%,5.35%,7.48%,3.11%,24.2,Not Available,Not Available,Not Available,Not Available,Not Available,80
H3015,Shared Health Dual Plus,"SHARED HEALTH MISSISSIPPI, INC.",BlueCross BlueShield of Tennessee,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:52,Plan too small to be measured,Plan too small to be measured,4.49%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Not enough data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,4.49%,0:52,98,1:01,49,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3041,Devoted Health,DEVOTED HEALTH PLAN OF SOUTH CAROLINA INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3047,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:46,56%,85%,0.00%,68%,74%,35%,5%,Not enough data available,Not enough data available,43%,6%,72%,4%,31%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,33%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:46,98,1:06,93,51%,35%,6%,No data available,13.07%,8.02%,0.54%,9.59%,8.84%,13.57%,15.88,30%,44%,20%,Not Available,23%,100
H3071,Clear Spring Health,"CLEAR SPRING HEALTH COMMUNITY CARE, INC.",Group 1001,8%,53%,Not enough data available,17%,No data available,0:28,54%,85%,1.72%,69%,86%,48%,4%,17%,42%,67%,27%,74%,26%,48%,13%,12%,15%,93%,Plan not required to report measure,41%,61%,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,1.72%,0:28,98,0:48,48,50%,38%,3%,No data available,13.95%,2.19%,2.34%,8.78%,14.41%,16.14%,2.88,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3080,Devoted Health,DEVOTED HEALTH PLAN OF ALABAMA INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3113,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",48%,61%,90%,32%,No data available,0:32,60%,96%,2.93%,75%,88%,36%,9%,24%,57%,65%,14%,87%,11%,45%,14%,13%,14%,98%,77%,41%,74%,82%,1%,3%,3%,2%,2.93%,0:32,100,0:36,59,64%,54%,7%,6%,20.17%,10.26%,0.54%,12.63%,16.58%,15.02%,4.34,13%,23%,6%,8%,12%,100
H3132,AHF,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,Not enough data available,67%,Not enough data available,19%,No data available,0:18,84%,98%,0.00%,Not enough data available,Not enough data available,23%,1%,24%,56%,65%,43%,89%,14%,52%,11%,Not enough data available,Not enough data available,94%,91%,45%,66%,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:22,100,0:10,90,81%,59%,No data available,No data available,40.23%,17.91%,1.35%,9.21%,16.75%,17.99%,9.39,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3146,Aetna Medicare,AETNA BETTER HEALTH INC. (GA),CVS Health Corporation,41%,69%,Not enough data available,27%,92,0:17,76%,97%,1.68%,79%,96%,28%,6%,16%,59%,91%,1%,80%,1%,43%,13%,18%,12%,Plan too new to be measured,87%,40%,Plan too new to be measured,Plan too new to be measured,1%,7%,8%,4%,1.68%,0:17,100,0:45,95,57%,33%,7%,No data available,14.69%,8.78%,0.29%,6.18%,9.11%,18.13%,2.93,13%,22%,11%,7%,11%,100
H3152,Aetna Medicare,AETNA HEALTH INC. (NJ),CVS Health Corporation,60%,65%,87%,34%,No data available,0:18,69%,95%,0.00%,79%,91%,31%,7%,20%,59%,83%,1%,81%,1%,42%,14%,15%,14%,100%,Plan not required to report measure,45%,69%,81%,2%,5%,5%,2%,0.00%,0:18,100,0:45,96,52%,27%,7%,4%,19.26%,13.87%,0.35%,5.64%,8.12%,15.29%,1.86,21%,20%,32%,Not Available,14%,100
H3154,Horizon Blue Cross Blue Shield of New Jersey,HORIZON INSURANCE COMPANY,"Horizon Healthcare Services, Inc.",66%,61%,Not enough data available,32%,No data available,0:41,74%,94%,0.00%,75%,87%,40%,7%,24%,59%,71%,8%,75%,10%,41%,13%,13%,13%,95%,Plan not required to report measure,39%,73%,86%,1%,2%,2%,3%,2.20%,0:30,101,0:33,64,50%,28%,6%,2%,20.13%,16.43%,0.44%,5.80%,9.37%,11.54%,1.88,23%,25%,27%,Not Available,9%,100
H3170,Blue Cross and Blue Shield of Nebraska,"SAPPHIRE EDGE, INC.",Blue Cross Blue Shield of Nebraska,Not enough data available,69%,Not enough data available,Not enough data available,No data available,0:24,78%,94%,2.61%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,15%,63%,50%,32%,89%,10%,45%,Not enough data available,Not enough data available,Not enough data available,98%,Plan not required to report measure,47%,70%,88%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,1.75%,0:27,100,0:22,64,40%,20%,10%,No data available,30.56%,6.63%,1.10%,4.68%,15.98%,5.53%,3.03,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3186,Sanford Health Plan of Minnesota,SANFORD HEALTH PLAN OF MINNESOTA,Sanford Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:21,Plan too new to be measured,Plan too new to be measured,1.02%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,3.23%,0:29,No data available,0:23,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3189,Essence Healthcare,"ESSENCE HEALTHCARE OF OHIO, INC.",Essence Group Holdings Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3192,Aetna Medicare,AETNA HEALTH OF MICHIGAN INC.,CVS Health Corporation,40%,71%,Not enough data available,Not enough data available,91,0:23,57%,95%,1.13%,79%,83%,40%,5%,21%,53%,91%,1%,76%,1%,42%,14%,Not enough data available,14%,Plan too new to be measured,85%,41%,Plan too new to be measured,Plan too new to be measured,1%,7%,3%,4%,1.13%,0:23,100,0:45,95,59%,32%,5%,No data available,16.85%,5.38%,0.58%,6.64%,10.08%,14.53%,4.34,12%,25%,16%,Not Available,12%,100
H3204,Presbyterian Health Plan,PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,53%,70%,84%,19%,92,0:55,79%,95%,0.00%,72%,84%,47%,9%,10%,58%,59%,43%,87%,48%,59%,10%,11%,9%,96%,68%,60%,66%,82%,1%,14%,14%,8%,0.00%,0:55,100,0:16,55,48%,23%,6%,12%,10.61%,7.08%,0.10%,5.80%,9.28%,12.21%,2.62,22%,31%,13%,Not Available,15%,60
H3206,"Presbyterian Insurance Company, Inc.","PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,Not enough data available,Not enough data available,Not enough data available,26%,92,0:47,81%,95%,0.00%,Not enough data available,Not enough data available,27%,6%,11%,64%,56%,32%,83%,29%,50%,11%,Not enough data available,10%,98%,Plan not required to report measure,45%,67%,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:47,100,0:16,55,50%,21%,5%,No data available,10.37%,11.25%,0.00%,6.60%,10.66%,11.74%,2.04,Not Available,Not Available,Not Available,Not Available,Not Available,60
H3213,CareSource,CARESOURCE KENTUCKY CO.,CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:55,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:55,No data available,0:48,49,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3219,Allina Health Aetna Medicare,ALLINA HEALTH AND AETNA INSURANCE COMPANY,Allina Health and Aetna Insurance Holding Company,67%,75%,Not enough data available,36%,93,0:22,77%,95%,4.00%,91%,92%,31%,5%,8%,61%,81%,2%,85%,2%,42%,11%,Not enough data available,10%,Plan too new to be measured,Plan not required to report measure,5%,Plan too new to be measured,Plan too new to be measured,3%,29%,13%,32%,4.00%,0:22,100,0:45,93,51%,27%,12%,No data available,7.53%,6.96%,0.99%,6.31%,6.10%,9.19%,2.96,19%,22%,26%,Not Available,16%,100
H3237,Health Net Cal MediConnect Medicare Medicaid Plan,"HEALTH NET COMMUNITY SOLUTIONS, INC.",Centene Corporation,41%,62%,Not enough data available,15%,No data available,0:25,51%,82%,6.62%,Not enough data available,Not enough data available,16%,2%,8%,65%,58%,16%,81%,9%,41%,13%,12%,13%,87%,Plan not required to report measure,62%,64%,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6.62%,0:25,104,0:12,97,60%,45%,7%,4%,15.77%,3.26%,0.94%,7.88%,10.49%,20.50%,0.49,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3239,Aetna Medicare,"AETNA BETTER HEALTH, INC. (LA)",CVS Health Corporation,36%,75%,Not enough data available,Not enough data available,92,0:26,58%,94%,2.44%,81%,87%,36%,10%,19%,45%,87%,1%,71%,1%,40%,18%,Not enough data available,Not enough data available,Plan too new to be measured,85%,35%,Plan too new to be measured,Plan too new to be measured,0%,0%,0%,0%,2.44%,0:26,100,0:45,96,64%,55%,9%,No data available,13.47%,3.02%,1.00%,13.06%,16.62%,15.48%,5.28,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3240,Amerigroup Community Care,"AMERIGROUP NEW JERSEY, INC.","Elevance Health, Inc.",44%,73%,88%,28%,No data available,0:47,49%,91%,2.20%,66%,86%,46%,10%,28%,52%,50%,0%,70%,0%,30%,15%,16%,14%,90%,59%,38%,66%,81%,0%,0%,1%,0%,2.03%,0:37,101,0:28,91,60%,50%,7%,4%,19.23%,12.87%,0.53%,9.83%,12.15%,18.85%,6.78,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3251,Blue Cross and Blue Shield of New Mexico,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,51%,62%,Not enough data available,23%,No data available,0:19,77%,93%,1.44%,64%,86%,15%,2%,10%,48%,83%,82%,89%,69%,80%,10%,9%,10%,92%,85%,50%,64%,80%,6%,13%,8%,16%,1.44%,0:19,100,0:15,65,44%,20%,4%,3%,10.37%,6.03%,0.13%,5.24%,8.74%,14.38%,5.39,30%,34%,20%,Not Available,20%,100
H3256,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",43%,55%,Not enough data available,28%,Plan too new to be measured,0:30,59%,97%,3.03%,72%,85%,37%,4%,18%,54%,56%,6%,82%,6%,37%,11%,11%,11%,Plan too new to be measured,78%,29%,Plan too new to be measured,Plan too new to be measured,1%,1%,1%,1%,3.03%,0:30,100,0:36,58,59%,46%,6%,7%,20.20%,7.61%,0.33%,14.46%,21.71%,26.67%,12.08,6%,22%,8%,6%,6%,100
H3259,BlueCare Plus Tennessee,VOLUNTEER STATE HEALTH PLAN,BlueCross BlueShield of Tennessee,59%,57%,93%,28%,92,0:16,52%,96%,2.68%,76%,77%,35%,8%,21%,56%,61%,14%,83%,16%,43%,12%,12%,12%,93%,76%,36%,68%,80%,1%,3%,3%,3%,2.68%,0:16,99,1:01,49,59%,44%,8%,4%,16.85%,6.86%,0.26%,11.92%,21.99%,14.81%,5.71,18%,27%,14%,Not Available,10%,100
H3274,Align Senior Care,ALIGN SENIOR CARE CALIFORNIA INC.,"Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:15,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:15,No data available,2:08,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3276,ConnectiCare,"CONNECTICARE INSURANCE COMPANY, INC.","EmblemHealth, Inc.",38%,65%,Not enough data available,Not enough data available,Plan too new to be measured,0:24,56%,96%,3.16%,72%,89%,36%,10%,25%,52%,44%,10%,75%,12%,36%,9%,Not enough data available,9%,Plan too new to be measured,48%,46%,Plan too new to be measured,Plan too new to be measured,3%,3%,3%,3%,3.16%,0:24,101,0:46,49,61%,53%,7%,No data available,10.79%,3.05%,1.26%,9.28%,13.81%,7.18%,1.05,Not Available,Not Available,Not Available,Not Available,Not Available,80
H3281,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA,"Bright Health Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,1:04,Plan too small to be measured,95%,3.37%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,53%,5%,78%,7%,36%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,50%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3.37%,1:04,100,0:08,52,Plan too new to be measured,Plan too new to be measured,No data available,No data available,20.72%,2.96%,0.00%,No data available,11.26%,12.20%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3288,Aetna Medicare,AETNA HEALTH AND LIFE INSURANCE COMPANY,CVS Health Corporation,42%,64%,86%,36%,91,0:09,69%,95%,1.50%,80%,84%,25%,4%,12%,55%,93%,1%,80%,1%,44%,13%,14%,12%,Plan too new to be measured,Plan not required to report measure,41%,Plan too new to be measured,Plan too new to be measured,3%,7%,6%,6%,1.50%,0:09,100,0:45,95,49%,31%,6%,12%,14.27%,5.72%,0.17%,5.55%,8.80%,20.35%,1.64,15%,15%,31%,Not Available,12%,100
H3291,PruittHealth Premier,"PRUITTHEALTH PREMIER, INC.","UNICO Premier, LLC",Not enough data available,81%,Not enough data available,Not enough data available,No data available,0:09,Plan too small to be measured,100%,2.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,85%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6%,Not enough data available,5%,No data available,99%,7%,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2.00%,0:09,No data available,2:08,50,No data available,No data available,6%,6%,21.51%,3.15%,0.00%,7.41%,35.10%,90.21%,0.46,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3293,"MMM of Florida, Inc.","MMM OF FLORIDA, INC.","Summit Master Company, LLC",Not enough data available,52%,Not enough data available,Not enough data available,Plan too new to be measured,0:25,52%,91%,1.03%,Not enough data available,Not enough data available,14%,2%,11%,54%,47%,4%,77%,2%,33%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,69%,60%,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1.03%,0:25,101,1:01,89,63%,50%,7%,No data available,21.09%,12.64%,0.36%,8.46%,13.15%,16.12%,3.7,21%,38%,7%,Not Available,14%,100
H3305,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Not enough data available,70%,90%,29%,93,0:21,86%,98%,3.68%,75%,90%,37%,5%,14%,59%,62%,47%,84%,43%,59%,13%,17%,12%,95%,No data available,52%,69%,83%,3%,9%,9%,2%,0.94%,0:17,100,1:01,97,48%,17%,12%,14%,13.59%,7.53%,0.00%,6.10%,7.42%,13.48%,7.97,9%,7%,39%,9%,6%,80
H3307,UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",60%,60%,93%,42%,No data available,0:32,68%,93%,11.56%,64%,84%,42%,6%,11%,55%,50%,5%,85%,4%,36%,11%,10%,11%,97%,Plan not required to report measure,39%,69%,80%,2%,3%,3%,2%,11.56%,0:32,100,0:36,57,61%,27%,8%,7%,16.95%,11.61%,0.00%,5.47%,7.01%,12.34%,6.72,19%,21%,29%,Not Available,11%,100
H3312,Aetna Medicare,AETNA HEALTH INC. (NY),CVS Health Corporation,60%,65%,92%,38%,90,0:22,66%,96%,0.83%,81%,91%,27%,6%,15%,54%,91%,1%,79%,1%,43%,14%,16%,13%,95%,80%,34%,71%,80%,1%,2%,2%,2%,0.83%,0:22,100,0:45,96,59%,30%,8%,14%,16.47%,9.87%,0.00%,8.44%,8.92%,16.56%,3.73,18%,33%,19%,Not Available,14%,100
H3330,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",52%,56%,90%,38%,90,0:55,61%,94%,1.00%,65%,86%,45%,12%,15%,52%,52%,30%,82%,30%,48%,12%,12%,12%,94%,64%,42%,70%,81%,1%,0%,1%,0%,1.00%,0:55,102,0:46,49,64%,39%,7%,3%,13.66%,11.64%,0.14%,6.82%,7.78%,11.39%,1.52,22%,22%,23%,Not Available,14%,80
H3335,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",76%,68%,96%,35%,91,0:22,78%,97%,0.00%,82%,88%,34%,5%,15%,61%,59%,41%,87%,35%,56%,12%,12%,12%,99%,Plan not required to report measure,39%,71%,83%,2%,5%,5%,3%,0.00%,0:22,101,0:48,49,41%,8%,9%,15%,14.37%,6.44%,0.07%,7.79%,8.67%,10.52%,3.94,6%,7%,25%,5%,4%,100
H3342,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.","Elevance Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,0:20,Plan too small to be measured,93%,3.23%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,14%,58%,71%,0%,85%,0%,39%,Not enough data available,Not enough data available,Not enough data available,94%,Plan not required to report measure,45%,64%,85%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2.04%,0:12,99,0:28,91,No data available,No data available,15%,No data available,No data available,No data available,No data available,6.38%,8.35%,8.62%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
