2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Hospitalization for Potentially Preventable Complications - DMC16,Statin Therapy for Patients with Cardiovascular Disease - DMC17,Asthma Medication Ratio - DMC18,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to Fill prescriptions - DMD13,Reminders to Take Medications - DMD14,Statin Use in Persons with Diabetes (SUPD) - DMD15,High Risk Medication - DMD16,Formulary Administration Analysis - DMD17,Antipsychotic Use in Persons with Dementia - DMD18,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H2108,Cigna-HealthSpring,"Bravo Health Mid-atlantic, Inc.",CIGNA,31%,47%,91%,93%,62%,28%,91,0:19,70%,93%,1.53%,67%,77%,33%,2%,58,74%,69%,100%,100.00%,1.53%,0:19,4%,0.76%,100%,100,0:16,99,0.0%,0.0%,49%,35%,76%,2%,3.3%,8%,No data available,3.80,33%,41%,20%,15%,21%
H2150,Kaiser Permanente,Kaiser Fndn Hp Of The Mid-atlantic Sts,"Kaiser Foundation Health Plan, Inc.",69%,58%,Plan not required to report measure,96%,74%,55%,91,Plan not required to report measure,85%,96%,Plan not required to report measure,74%,90%,49%,11%,Plan not required to report measure,Plan not required to report measure,89%,0%,No data available,Plan not required to report measure,Plan not required to report measure,3%,0.46%,100%,102,Plan not required to report measure,98,No data available,No data available,39%,25%,89%,4%,0.0%,9%,No data available,4.83,19%,34%,27%,11%,19%
H2161,Upper Peninsula Health Plan,"Upper Peninsula Health Plan, Llc","DLP Marquette General Hospital, LLC",Not enough data available,Not enough data available,Not enough data available,95%,No data available,Not enough data available,No data available,0:30,No data available,96%,0.64%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:20,5%,0.00%,100%,102,0:28,98,No data available,No data available,No data available,No data available,72%,10%,0.0%,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2165,Cigna-HealthSpring,"Healthspring Life & Health Insurance Company, Inc.",CIGNA,34%,49%,92%,96%,78%,34%,90,0:22,70%,96%,1.42%,75%,84%,25%,0%,47,76%,79%,100%,100.00%,1.42%,0:22,5%,0.99%,100%,99,0:16,99,0.0%,0.0%,42%,33%,73%,4%,3.3%,12%,No data available,2.39,34%,49%,20%,10%,18%
H2168,VillageCareMAX,Village Senior Services Corporation,"Village Care of New York, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:27,Plan too new to be measured,Plan too new to be measured,0.81%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:12,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:25,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2171,Care N' Care Insurance Company,"Care N' Care Insurance Company, Inc.",North Texas Specialty Physicians,Not enough data available,Not enough data available,Not enough data available,94%,No data available,Not enough data available,No data available,0:10,No data available,90%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:15,3%,0.00%,100%,103,0:13,99,No data available,6.7%,No data available,No data available,74%,7%,0.0%,No data available,91%,Plan too small to be measured,13%,35%,4%,1%,8%
H2172,Kaiser Permanente,Kaiser Fdtn Hlth Plan Of The Mid-atlantic States,"Kaiser Foundation Health Plan, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2174,Trillium Medicare Advantage,Trillium Community Health Plan,Centene Corporation,67%,82%,Not enough data available,93%,Not enough data available,15%,Not enough data available,0:15,57%,95%,1.60%,71%,81%,62%,5%,73,80%,Not enough data available,100%,83.33%,1.60%,0:15,7%,0.38%,100%,100,1:29,98,0.0%,0.0%,33%,28%,76%,12%,No data available,21%,No data available,2.39,No data available,No data available,No data available,No data available,No data available
H2185,LifeWorks Advantage (HMO SNP),"Lifeworks Advantage, Llc","MFA Lifeworks, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:18,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:18,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:08,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2224,Senior Whole Health,"Senior Whole Health, Llc","SWH Holdings, Inc.",Not enough data available,52%,94%,94%,66%,20%,88,0:11,66%,100%,0.00%,81%,90%,41%,5%,61,81%,53%,50%,100.00%,0.00%,0:11,6%,0.20%,100%,99,0:17,98,0.0%,6.7%,58%,51%,84%,8%,0.0%,16%,No data available,CMS identified issues with this plan's data,16%,19%,11%,10%,12%
H2225,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",98%,61%,100%,93%,63%,35%,91,0:18,77%,99%,2.50%,71%,93%,53%,4%,61,90%,67%,100%,100.00%,2.50%,0:18,7%,0.59%,100%,100,0:08,98,No data available,0.0%,62%,59%,87%,8%,3.3%,15%,No data available,0.80,15%,28%,9%,13%,18%
H2226,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",91%,56%,90%,94%,71%,25%,90,0:21,70%,99%,0.00%,68%,84%,30%,4%,55,86%,62%,100%,No data available,0.00%,0:21,5%,0.12%,100%,99,0:43,99,0.0%,6.7%,64%,64%,86%,6%,No data available,11%,No data available,2.63,17%,23%,18%,16%,18%
H2228,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",55%,51%,91%,92%,73%,32%,90,0:20,73%,96%,0.41%,72%,80%,37%,4%,42,76%,79%,100%,100.00%,0.41%,0:20,5%,0.22%,100%,99,0:43,99,0.0%,6.7%,50%,31%,76%,5%,No data available,10%,97%,4.23,16%,18%,29%,11%,12%
H2230,Blue Cross Blue Shield of Massachusetts,"Bcbs  Of Massachusetts Hmo Blue, Inc.","Blue Cross and Blue Shield of Massachusetts, Inc.",74%,65%,89%,92%,89%,41%,91,0:56,81%,97%,0.00%,83%,81%,33%,3%,40,84%,86%,94%,100.00%,0.00%,0:56,4%,0.74%,100%,99,0:09,98,0.0%,0.0%,45%,20%,81%,6%,3.3%,12%,98%,0.30,8%,10%,49%,5%,7%
H2237,iCare,"Independent Care Health Plan, Inc.",Independent Care Health Plan Inc.,65%,70%,100%,92%,64%,47%,Not enough data available,0:09,65%,96%,4.88%,77%,91%,45%,8%,62,82%,57%,No data available,No data available,4.88%,0:09,8%,0.27%,100%,100,0:05,99,No data available,0.0%,64%,53%,81%,8%,No data available,11%,No data available,CMS identified issues with this plan's data,23%,21%,9%,18%,19%
H2241,Golden State,Golden State Medicare Health Plan,Golden State Medicare Health Plan,Not enough data available,57%,Not enough data available,91%,79%,26%,89,1:03,72%,96%,1.60%,68%,78%,14%,2%,38,82%,Not enough data available,93%,100.00%,1.60%,1:03,5%,0.23%,100%,99,0:15,97,0.0%,0.0%,40%,18%,75%,3%,No data available,12%,93%,0.42,11%,17%,34%,9%,11%
H2247,UnitedHealthcare,"Unitedhealthcare Community Plan, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2256,Tufts Health Plan,Tufts Associated Health Maintenance Organization,"Tufts Associated HMO, Inc.",83%,58%,96%,95%,90%,39%,93,0:17,85%,98%,0.41%,75%,82%,29%,3%,37,84%,85%,96%,86.36%,0.41%,0:17,4%,1.04%,100%,100,0:34,99,0.0%,6.7%,47%,25%,83%,6%,13.3%,11%,93%,4.27,6%,50%,9%,7%,5%
H2261,Blue Cross Blue Shield of Massachusetts,"Bcbs  Of Massachusetts Hmo Blue, Inc.","Blue Cross and Blue Shield of Massachusetts, Inc.",Not enough data available,63%,89%,94%,85%,31%,92,0:56,79%,98%,0.00%,74%,87%,36%,1%,41,90%,85%,No data available,100.00%,0.00%,0:56,3%,0.85%,100%,98,0:09,98,0.0%,0.0%,44%,20%,82%,7%,0.0%,12%,95%,0.15,10%,15%,39%,7%,5%
H2320,Priority Health Medicare,Priority Health,Spectrum Health System,67%,65%,93%,92%,85%,37%,91,1:26,79%,96%,0.00%,84%,78%,45%,5%,36,80%,92%,82%,100.00%,0.00%,1:26,4%,0.46%,100%,98,3:12,96,0.0%,20.0%,42%,27%,78%,4%,No data available,12%,95%,3.95,13%,18%,33%,10%,12%
H2322,HAP Senior Plus (PPO),Alliance Health And Life Insurance Company,Henry Ford Health System,Not enough data available,65%,Not enough data available,90%,85%,39%,93,0:25,78%,98%,0.85%,59%,71%,44%,6%,44,76%,Not enough data available,No data available,No data available,0.85%,0:25,6%,0.50%,100%,101,0:12,94,No data available,No data available,50%,21%,80%,8%,0.0%,7%,96%,1.40,17%,15%,34%,8%,12%
H2334,Eon Health,"Eon Health, Inc. (sc)","Eon Health Plan, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:10,Plan too new to be measured,Plan too new to be measured,0.82%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.82%,0:10,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:19,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2354,HAP Senior Plus,Health Alliance Plan Of Michigan,Henry Ford Health System,67%,59%,93%,92%,78%,39%,90,0:39,73%,96%,0.00%,55%,67%,63%,9%,43,76%,84%,No data available,No data available,0.00%,0:39,6%,0.00%,100%,100,0:12,98,No data available,No data available,38%,15%,72%,5%,3.3%,7%,93%,0.04,15%,15%,20%,14%,10%
H2392,Kansas Superior Select,"Kansas Superior Select, Inc.",Kansas Superior Select,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2400,Signature Advantage (HMO SNP),"Signature Advantage, Llc","SA Plan, LLC",Not enough data available,Not enough data available,Not enough data available,CMS Found Issues with Plan’s Data,No data available,Not enough data available,No data available,0:15,No data available,CMS Found Issues with Plan’s Data,1.63%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,1.63%,0:15,15%,No data available,100%,0,0:08,100,No data available,No data available,No data available,No data available,No data available,19%,0.0%,6%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H2406,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,96%,77%,Not enough data available,91,0:21,87%,98%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:21,6%,0.41%,100%,0,0:43,96,No data available,0.0%,45%,16%,81%,7%,No data available,10%,No data available,4.99,No data available,No data available,No data available,No data available,No data available
H2411,Fallon Health,Fallon Community Health Plan,Fallon Community Health Plan,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,100%,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2416,PrimeWest Health,Primewest Rural Mn Health Care Access Initiative,PrimeWest Rural MN Health Care Access Initiative,Not enough data available,70%,Not enough data available,97%,58%,24%,93,0:17,80%,99%,0.00%,63%,91%,Not enough data available,Not enough data available,50,64%,Not enough data available,100%,100.00%,0.00%,0:17,9%,1.14%,100%,99,0:06,98,No data available,0.0%,29%,30%,79%,10%,0.0%,17%,No data available,0.04,No data available,No data available,No data available,No data available,No data available
H2417,Itasca Medical Care/IMCare Classic,Itasca Medical Care,Itasca County Health & Human Services,Not enough data available,Not enough data available,Not enough data available,96%,No data available,Not enough data available,No data available,0:07,No data available,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,88,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:07,9%,0.00%,100%,100,0:28,98,No data available,0.0%,No data available,No data available,83%,8%,0.0%,18%,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2419,South Country Health Alliance,South Country Health Alliance,South Country Health Alliance,Not enough data available,79%,Not enough data available,95%,65%,36%,91,0:52,83%,98%,0.00%,73%,83%,Not enough data available,Not enough data available,55,86%,Not enough data available,No data available,No data available,0.00%,0:52,9%,0.34%,100%,101,0:04,98,No data available,0.0%,25%,26%,88%,8%,0.0%,18%,No data available,0.46,No data available,No data available,No data available,No data available,No data available
H2422,HealthPartners,"Healthpartners, Inc.","HealthPartners, Inc.",Not enough data available,64%,Not enough data available,95%,57%,35%,94,0:43,80%,98%,0.81%,66%,85%,28%,4%,33,91%,74%,No data available,No data available,0.81%,0:43,5%,0.15%,100%,100,0:20,98,No data available,0.0%,43%,38%,85%,7%,36.7%,17%,No data available,1.53,No data available,No data available,No data available,No data available,No data available
H2425,Blue Plus,Blue Plus,"Aware Integrated, Inc.",Not enough data available,59%,Not enough data available,97%,62%,23%,92,0:56,80%,98%,0.81%,77%,88%,55%,3%,60,86%,70%,100%,100.00%,0.81%,0:56,8%,0.49%,100%,97,0:06,99,No data available,No data available,35%,32%,83%,6%,0.0%,17%,No data available,CMS identified issues with this plan's data,4%,17%,19%,8%,7%
H2450,Medica Insurance Company,Medica Insurance Company,Medica Holding Company,81%,67%,Plan not required to report measure,83%,80%,36%,92,Plan not required to report measure,82%,96%,Plan not required to report measure,69%,77%,43%,3%,Plan not required to report measure,Plan not required to report measure,88%,98%,100.00%,Plan not required to report measure,Plan not required to report measure,4%,0.34%,100%,99,Plan not required to report measure,98,0.0%,0.0%,30%,14%,83%,4%,0.0%,13%,No data available,0.24,4%,4%,38%,16%,6%
H2456,UCare's MSHO,Ucare Minnesota,UCare Minnesota,64%,58%,96%,96%,61%,26%,91,1:28,77%,98%,0.00%,68%,84%,48%,5%,54,82%,67%,100%,100.00%,0.00%,1:28,7%,0.08%,100%,99,0:43,99,No data available,No data available,48%,39%,84%,6%,3.3%,16%,No data available,0.93,16%,15%,14%,14%,13%
H2458,Medica Health Plans,Medica Health Plans,Medica Holding Company,76%,66%,98%,96%,64%,23%,92,1:32,80%,98%,0.00%,63%,82%,34%,3%,51,81%,71%,100%,No data available,0.00%,1:32,6%,0.31%,100%,100,0:34,98,No data available,0.0%,46%,41%,83%,8%,0.0%,17%,No data available,0.15,8%,8%,16%,9%,8%
H2459,UCare,Ucare Minnesota,UCare Minnesota,69%,67%,94%,93%,83%,39%,93,0:44,88%,96%,0.00%,70%,79%,44%,5%,48,83%,88%,94%,100.00%,0.00%,0:44,4%,0.31%,100%,99,0:43,98,No data available,No data available,38%,17%,83%,4%,10.0%,12%,95%,0.79,8%,7%,35%,10%,5%
H2461,Blue Cross and Blue Shield of Minnesota,Blue Cross And Blue Shield Of Minnesota,"Aware Integrated, Inc.",75%,73%,Plan not required to report measure,92%,82%,45%,93,Plan not required to report measure,79%,96%,Plan not required to report measure,82%,82%,42%,4%,Plan not required to report measure,Plan not required to report measure,89%,93%,100.00%,Plan not required to report measure,Plan not required to report measure,4%,0.44%,100%,97,Plan not required to report measure,99,No data available,No data available,35%,16%,83%,4%,3.3%,11%,No data available,1.27,3%,20%,23%,4%,5%
H2462,HealthPartners,"Group Health Plan, Inc. (mn)","HealthPartners, Inc.",68%,65%,Plan not required to report measure,88%,87%,45%,94,Plan not required to report measure,87%,97%,Plan not required to report measure,79%,82%,26%,4%,Plan not required to report measure,Plan not required to report measure,93%,100%,100.00%,Plan not required to report measure,Plan not required to report measure,4%,0.23%,100%,100,Plan not required to report measure,98,0.0%,0.0%,30%,15%,86%,6%,30.0%,11%,No data available,4.07,4%,4%,41%,4%,3%
H2470,Fallon Health Weinberg,"Fallon Health Weinberg, Inc.",Fallon Community Health Plan,Not enough data available,Not enough data available,Not enough data available,97%,No data available,Not enough data available,No data available,0:03,No data available,98%,4.17%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,4.17%,0:03,No data available,No data available,100%,111,0:28,99,No data available,No data available,No data available,No data available,No data available,7%,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2486,"Humana Medical Plan of Utah, Inc.","Humana Medical Plan Of Utah, Inc.",Humana Inc.,30%,58%,Not enough data available,90%,76%,31%,92,0:48,76%,94%,0.00%,71%,71%,38%,3%,40,83%,76%,100%,100.00%,0.00%,0:48,6%,0.69%,100%,100,0:32,98,0.0%,0.0%,56%,36%,74%,6%,0.0%,11%,98%,CMS identified issues with this plan's data,26%,36%,14%,14%,17%
H2491,WellCare Health Plan,"Wellcare Health Insurance Of Arizona, Inc.","WellCare Health Plans, Inc.",36%,39%,88%,91%,54%,27%,87,0:41,47%,93%,0.27%,71%,84%,31%,4%,54,74%,61%,100%,100.00%,0.27%,0:41,5%,0.21%,100%,101,0:17,99,0.0%,0.0%,67%,54%,80%,3%,No data available,9%,98%,1.58,18%,20%,17%,15%,14%
H2506,Aetna Better Health Premier Plan,"Aetna Better Health, Inc. (il)",Aetna Inc.,55%,78%,Not enough data available,89%,Not enough data available,Not enough data available,Not enough data available,0:10,51%,84%,0.00%,64%,84%,50%,7%,41,77%,62%,100%,100.00%,0.00%,0:10,7%,0.56%,100%,101,0:00,99,No data available,0.0%,48%,37%,78%,4%,3.3%,12%,No data available,0.64,No data available,No data available,No data available,No data available,No data available
H2531,UnitedHealthcare Community Plan,"Unitedhealthcare Community Plan Of Ohio, Inc.","UnitedHealth Group, Inc.",81%,56%,93%,94%,52%,35%,Not enough data available,0:16,64%,96%,0.00%,52%,78%,68%,11%,29,74%,56%,100%,No data available,0.00%,0:16,8%,0.64%,100%,100,0:43,99,0.0%,6.7%,60%,51%,76%,10%,No data available,13%,No data available,2.39,No data available,No data available,No data available,No data available,No data available
H2533,Molina Healthcare of South Carolina,"Molina Healthcare Of South Carolina, Inc.","Molina Healthcare, Inc.,",Not enough data available,Not enough data available,Not enough data available,94%,No data available,Not enough data available,Not enough data available,0:04,59%,95%,0.00%,80%,87%,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:04,5%,0.44%,100%,98,0:34,99,No data available,0.0%,63%,57%,75%,9%,No data available,10%,No data available,10.32,No data available,No data available,No data available,No data available,No data available
H2563,Optima Medicare,Optima Health Plan,Sentara Health Care (SHC),Not enough data available,60%,Not enough data available,97%,84%,Not enough data available,91,0:14,80%,99%,0.00%,61%,66%,12%,1%,49,66%,91%,0%,50.00%,0.00%,0:14,7%,0.00%,100%,104,0:42,98,No data available,0.0%,57%,34%,75%,6%,0.0%,8%,No data available,0.38,16%,30%,26%,15%,13%
H2591,Health Alliance Medicare,"Health Alliance - Midwest, Inc.",The Carle Foundation,Not enough data available,Not enough data available,Not enough data available,98%,No data available,Not enough data available,No data available,Not enough data available,No data available,97%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,100%,107,Not enough data available,99,No data available,No data available,No data available,No data available,No data available,8%,0.0%,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2593,"CareMore Health Plan of Arizona, Inc.","Caremore Health Plan Of Arizona, Inc.",Anthem Inc.,71%,50%,94%,95%,81%,29%,89,0:35,74%,95%,0.21%,48%,63%,8%,1%,24,78%,53%,33%,100.00%,0.21%,0:35,6%,0.14%,100%,103,0:15,97,No data available,No data available,42%,28%,79%,3%,0.0%,20%,99%,5.72,30%,39%,10%,12%,22%
H2610,Essence Healthcare,"Essence Healthcare, Inc.",Essence Group Holdings Corporation,52%,58%,94%,95%,83%,45%,92,0:06,81%,98%,0.00%,69%,69%,13%,2%,23,73%,85%,87%,100.00%,0.00%,0:06,4%,0.48%,100%,100,0:30,98,0.0%,0.0%,31%,19%,80%,5%,No data available,9%,97%,CMS identified issues with this plan's data,24%,31%,11%,11%,12%
H2649,"Humana Health Plan, Inc.","Humana Health Plan, Inc.",Humana Inc.,47%,52%,89%,93%,78%,31%,No data available,0:46,No data available,95%,0.00%,63%,72%,24%,3%,34,76%,75%,95%,100.00%,0.00%,0:46,5%,0.54%,100%,100,0:32,98,0.0%,0.0%,No data available,No data available,76%,6%,0.0%,10%,98%,CMS identified issues with this plan's data,18%,29%,21%,9%,12%
H2663,Coventry Health Care,"Coventry Health Care Of Missouri, Inc",Aetna Inc.,50%,58%,96%,92%,82%,37%,91,0:03,84%,97%,0.00%,78%,81%,24%,2%,37,78%,88%,100%,100.00%,0.00%,0:15,5%,0.72%,100%,101,0:28,96,13.3%,0.0%,51%,32%,76%,6%,0.0%,10%,99%,2.78,13%,18%,28%,13%,7%
H2758,Florida Blue Preferred HMO,"Behealthy Florida, Inc.",Guidewell Mutual Holding Corporation,Not enough data available,93%,Not enough data available,92%,82%,Not enough data available,90,0:42,76%,98%,0.85%,Not enough data available,Not enough data available,10%,0%,0,61%,Not enough data available,50%,100.00%,0.85%,0:42,6%,0.81%,100%,101,0:12,99,No data available,No data available,41%,14%,78%,5%,0.0%,9%,96%,4.84,38%,46%,9%,12%,21%
H2773,QUALITY HEALTH PLANS,"Quality Health Plans Of New York, Inc.","QHP Financial Group, Inc.",Not enough data available,Not enough data available,Not enough data available,90%,71%,Not enough data available,90,0:16,54%,91%,0.00%,58%,90%,Not enough data available,Not enough data available,No data available,79%,Not enough data available,No data available,No data available,0.00%,0:16,2%,0.08%,100%,99,2:26,99,No data available,13.3%,48%,25%,77%,4%,3.3%,6%,94%,0.04,48%,51%,9%,14%,27%
H2775,"Universal American, A WellCare Company",American Progressive Life & Hlth Ins Company Of Ny,"WellCare Health Plans, Inc.",CMS Found Issues with Plan’s Data,53%,89%,94%,75%,30%,92,0:08,83%,97%,0.85%,69%,77%,57%,9%,53,83%,84%,100%,No data available,0.85%,0:08,5%,0.48%,100%,99,0:34,99,0.0%,0.0%,51%,29%,80%,4%,0.0%,12%,98%,8.05,21%,25%,28%,14%,15%
