2020 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H2624,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Care N' Care Insurance Company Of North Carolina,Moses H. Cone Memorial Hospital Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2663,Aetna Medicare,"Coventry Health Care Of Missouri, Inc",CVS Health Corporation,19%,17%,21%,11%,11%
H2678,MoreCare,"Ma Delivery Innovations, Inc.",MHNU Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2722,"Vantage Health Plan of Arkansas, Inc.","Vantage Health Plan Of Arkansas, Inc.","Vantage Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2773,QUALITY HEALTH PLANS,"Quality Health Plans Of New York, Inc.","QHP Financial Group, Inc.",35%,53%,7%,10%,21%
H2775,WellCare,American Progressive Life & Hlth Ins Company Of Ny,"WellCare Health Plans, Inc.",17%,21%,34%,12%,10%
H2793,"Imperial Insurance Company of Texas, Inc","Imperial Insurance Company Of Texas, Inc.",Imperial Health Plan of California,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2802,UnitedHealthcare,"Unitedhealthcare Of The Midlands, Inc.","UnitedHealth Group, Inc.",16%,22%,23%,11%,13%
H2816,WellCare,American Progressive Life & Hlth Ins Company Of Ny,"WellCare Health Plans, Inc.",12%,15%,37%,8%,10%
H2825,Mary Washington Medicare Advantage,Mary Washington Health Plan,Mary Washington Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2829,Innovation Health Medicare,"Innovation Health Plan, Inc.","Innovation Health Holdings, LLC",31%,35%,26%,Not Available,Not Available
H2836,Anthem Blue Cross and Blue Shield,"Anthem Health Plans, Inc.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H2879,Molina Healthcare of Wisconsin,"Molina Healthcare Of Wisconsin, Inc.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H2915,Allwell,"Pennsylvania Health & Wellness, Inc.",Centene Corporation,30%,33%,14%,Not Available,Not Available
H2926,PrimeWest Health,Primewest Rural Mn Health Care Access Initiative,PrimeWest Rural MN Health Care Access Initiative,Not Available,Not Available,Not Available,Not Available,Not Available
H2944,Humana,Humana Insurance Company,Humana Inc.,21%,25%,41%,10%,12%
H2960,Senior Care Plus,"Hometown Health Plan, Inc.",Renown Health,15%,27%,24%,7%,10%
H2962,Ultimate Health Plans,"Ultimate Health Plans, Inc.","ULTIMATE HEALTH PLAN, INC.",22%,30%,10%,7%,12%
H2986,Stanford Health Care Advantage,Stanford Healthcare Advantage,Stanford Health Care,29%,32%,26%,8%,15%
H3071,Community Care Alliance of Illinois,"Community Care Alliance Of Illinois, Nfp",Delaware Life Insurance Company,34%,42%,16%,13%,22%
H3113,UnitedHealthcare,"Oxford Health Plans (nj), Inc.","UnitedHealth Group, Inc.",24%,41%,17%,Not Available,15%
H3132,AHF,"Ahf Mco Of Florida, Inc.",AIDS Healthcare Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H3146,Aetna Medicare,Aetna Better Health Inc. (ga),CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3152,Aetna Medicare,Aetna Health Inc. (nj),CVS Health Corporation,25%,28%,30%,13%,13%
H3154,Horizon Blue Cross Blue Shield of New Jersey,Horizon Insurance Company,"Horizon Healthcare Services, Inc.",30%,42%,25%,Not Available,17%
H3170,Blue Cross and Blue Shield of Nebraska,"Sapphire Edge, Inc.",Blue Cross Blue Shield of Nebraska,11%,8%,25%,Not Available,13%
H3192,Aetna Medicare,Aetna Health Of Michigan Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3204,Presbyterian Health Plan,Presbyterian Health Plan,Presbyterian Healthcare Services,17%,24%,45%,10%,11%
H3206,"Presbyterian Insurance Company, Inc.","Presbyterian Insurance Company, Inc.",Presbyterian Healthcare Services,12%,17%,52%,11%,10%
H3219,Allina Health Aetna Medicare,Allina Health And Aetna Insurance Company,ALLINA HEALTH AND AETNA INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3227,Kalos Health Plan,"Kalos Health, Inc.","Kalos Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H3237,Health Net Cal MediConnect Medicare Medicaid Plan,"Health Net Community Solutions, Inc.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H3239,Aetna Medicare,"Aetna Better Health, Inc. (la)",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3240,Amerigroup Community Care,"Amerigroup New Jersey, Inc.",Anthem Inc.,14%,31%,6%,Not Available,14%
H3251,Blue Cross and Blue Shield of New Mexico,Health Care Service Corporation,Health Care Service Corporation,23%,27%,22%,9%,14%
H3259,BlueCare Plus Tennessee,Volunteer State Health Plan,BlueCross BlueShield of Tennessee,13%,27%,8%,7%,5%
H3276,ConnectiCare,"Connecticare Insurance Company, Inc.","EmblemHealth, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3281,Bright Health,Bright Health Insurance Company Of Florida,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3288,Aetna Medicare,Aetna Health And Life Insurance Company,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3291,PruittHealth Premier,"Pruitthealth Premier, Inc.","UNICO Premier, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H3293,"MMM of Florida, Inc.","Mmm Of Florida, Inc.",InnovaCare Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3305,MVP HEALTH CARE,"Mvp Health Plan, Inc.","MVP Health Care, Inc.",9%,5%,45%,6%,4%
H3307,UnitedHealthcare,"Oxford Health Plans (ny), Inc.","UnitedHealth Group, Inc.",17%,33%,33%,8%,8%
H3312,Aetna Medicare,Aetna Health Inc. (ny),CVS Health Corporation,18%,26%,25%,Not Available,12%
H3328,Fidelis Legacy Plan,"The New York State Catholic Health Plan, Inc.","The New York State Catholic Health Plan, Inc.",27%,36%,14%,18%,15%
H3330,EmblemHealth Medicare HMO,Health Insurance Plan Of Greater New York,"EmblemHealth, Inc.",34%,31%,43%,21%,22%
H3335,"Excellus Health Plan, Inc","Excellus Health Plan, Inc.","Lifetime Healthcare, Inc.",10%,2%,35%,10%,6%
H3342,Empire BlueCross BlueShield,"Empire Healthchoice Assurance, Inc.",Anthem Inc.,19%,15%,59%,Not Available,14%
H3344,Independent Health,Independent Health Benefits Corporation,"Independent Health Association, Inc.",9%,24%,34%,7%,4%
H3347,Elderplan,"Elderplan, Inc.","Elderplan, Inc.",34%,34%,30%,18%,21%
H3351,"Excellus Health Plan, Inc","Excellus Health Plan, Inc.","Lifetime Healthcare, Inc.",10%,12%,26%,5%,6%
H3359,Healthfirst Medicare Plan,"Healthfirst Health Plan, Inc.","Healthfirst, Inc.",14%,23%,25%,Not Available,11%
H3362,Independent Health,"Independent Health Association, Inc.","Independent Health Association, Inc.",10%,6%,41%,7%,5%
H3379,UnitedHealthcare,"Unitedhealthcare Of New York, Inc.","UnitedHealth Group, Inc.",14%,21%,31%,Not Available,10%
H3384,BlueCross BlueShield of WNY and BlueShield of NENY,Healthnow New York Inc.,HealthNow New York Inc.,12%,12%,36%,12%,10%
H3387,UnitedHealthcare,"Unitedhealthcare Of New York, Inc.","UnitedHealth Group, Inc.",19%,35%,10%,17%,14%
H3388,CDPHP Medicare Advantage,"Capital District Physicians' Health Plan, Inc.","Capital District Physicians' Health Plan, Inc.",9%,15%,36%,9%,7%
H3404,Blue Cross and Blue Shield of North Carolina,Blue Cross And Blue Shield Of North Carolina,Blue Cross and Blue Shield of North Carolina,10%,7%,45%,Not Available,8%
H3407,El Paso Health Advantage Dual SNP,"El Paso First Health Plans, Inc.",El Paso County Hospital District,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3416,HealthPartners UnityPoint Health,"Healthpartners Unitypoint Health, Inc.","HealthPartners UnityPoint Health, Inc.",21%,39%,20%,Not Available,10%
H3418,UnitedHealthcare,Unitedhealthcare Insurance Company Of New York,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3442,UnitedHealthcare,Unitedhealthcare Insurance Company Of Illinois,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3447,Anthem HealthKeepers,"Healthkeepers, Inc.",Anthem Inc.,31%,41%,8%,Not Available,15%
H3449,Blue Cross and Blue Shield of North Carolina,Blue Cross And Blue Shield Of North Carolina,Blue Cross and Blue Shield of North Carolina,13%,10%,48%,Not Available,8%
H3464,UnitedHealthcare,"Unitedhealthcare Of Arkansas, Inc.","UnitedHealth Group, Inc.",30%,43%,26%,Not Available,14%
H3467,ProCare Advantage,"Procare Advantage, Llc","First Sacramento Capital Funding, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3471,Health Alliance Northwest,Health Alliance Northwest Health Plan,The Carle Foundation,30%,31%,12%,8%,11%
H3499,Allwell,Coordinated Care Corporation,Centene Corporation,35%,45%,18%,Not Available,21%
H3528,ConnectiCare,"Connecticare, Inc.","EmblemHealth, Inc.",13%,15%,35%,9%,7%
H3533,Humana,"Humana Health Company Of New York, Inc.",Humana Inc.,28%,42%,22%,17%,19%
H3536,Anthem Blue Cross and Blue Shield,"Matthew Thornton Health Plan, Inc.",Anthem Inc.,26%,19%,27%,Not Available,17%
H3557,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield Of Rhode Island,Blue Cross & Blue Shield of Rhode Island,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3561,"HEALTH NET COMMUNITY SOLUTIONS, INC.","Health Net Community Solutions, Inc.",Centene Corporation,21%,25%,12%,Not Available,16%
H3572,AHF,"Ahf Mco Of Georgia, Inc.",AIDS Healthcare Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H3597,Aetna Medicare,Aetna Health Inc. (me),CVS Health Corporation,14%,4%,30%,10%,9%
H3632,Medica,Medica Community Health Plan,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3653,Paramount Elite/Medicare Plans,"Paramount Care, Inc.","Promedica Health System, Inc.",11%,24%,27%,9%,9%
H3655,Anthem Blue Cross and Blue Shield,Community Insurance Company,Anthem Inc.,18%,43%,17%,10%,14%
H3660,SummaCare Medicare Advantage Plans,Summacare Inc.,Summa Health System Community,16%,34%,28%,9%,8%
H3664,PrimeTime Health Plan,Aultcare Health Insuring Corporation,Aultman Health Foundation,8%,8%,32%,6%,6%
H3668,MediGold,"Mount Carmel Health Plan, Inc.",Trinity Health,14%,30%,31%,9%,9%
H3672,The Health Plan,"The Health Plan Of West Virginia, Inc.","The Health Plan of West Virginia, Inc.",13%,27%,21%,8%,6%
H3706,GlobalHealth,"Globalhealth, Inc.","Momentum Health Holdings, LLC",31%,45%,14%,Not Available,15%
H3708,American Health Advantage of Oklahoma,"Oklahoma Superior Select, Inc.","American Health Companies, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H3725,Bright Health,Bright Health Insurance Company Of Illinois,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3748,Aetna Medicare,"Aetna Better Health Of Washington, Inc.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3749,UnitedHealthcare,"Unitedhealthcare Of Oklahoma, Inc.","UnitedHealth Group, Inc.",14%,26%,22%,10%,10%
H3755,CommunityCare Senior Health Plan (HMO),"Community Care Hmo, Inc","CommunityCare Managed Healthcare Plans of OK, Inc.",8%,26%,23%,5%,8%
H3777,"Experience Health, Inc.","Experience Health, Inc.","EXPERIENCE HEALTH, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3794,UnitedHealthcare,Care Improvement Plus Wisconsin Insurance Company,"UnitedHealth Group, Inc.",20%,27%,15%,Not Available,17%
H3800,Provider Partners Illinois Advantage Plan,Provider Partners Health Plan Of Illinois,"Rifkin Managed Care Holding Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3805,UnitedHealthcare,"Unitedhealthcare Of Oregon, Inc.","UnitedHealth Group, Inc.",11%,17%,30%,10%,11%
H3810,AllCare Advantage,"Allcare Health Plan, Inc.","AllCare Health, Inc.",16%,11%,37%,Not Available,10%
H3811,Samaritan Advantage Health Plan,"Samaritan Health Plans, Inc.",Samaritan Health Services,17%,6%,32%,5%,8%
H3813,"Moda Health Plan, Inc.","Moda Health Plan, Inc.","Moda Partners, Inc.",7%,2%,43%,7%,8%
H3814,ATRIO Health Plans,Atrio Health Plans,ATRIO Health Plans,Not Available,Not Available,Not Available,Not Available,Not Available
H3815,Alignment Health Plan,Alignment Health Plan,"Alignment Healthcare USA, LLC",14%,24%,24%,9%,9%
H3817,Regence BlueCross BlueShield of Oregon,Regence Bluecross Blueshield Of Oregon,"Cambia Health Solutions, Inc.",10%,20%,34%,10%,6%
H3822,"Blue Cross and Blue Shield of IL, NM",Health Care Service Corporation,Health Care Service Corporation,26%,28%,29%,7%,15%
H3832,HMSA Akamai Advantage,Hawaii Medical Service Association,Hawaii Medical Service Association,11%,8%,48%,8%,9%
H3864,PacificSource Medicare,Pacificsource Community Health Plans,PacificSource,9%,10%,34%,6%,4%
H3890,Johns Hopkins HealthCare,"Hopkins Health Advantage, Inc.",Johns Hopkins Healthcare LLC,22%,23%,38%,10%,14%
H3907,UPMC for Life,"Upmc Health Plan, Inc.",UPMC Health System,7%,26%,28%,11%,9%
H3909,Personal Choice 65 PPO,Qcc Insurance Company,"Independence Health Group, Inc.",12%,4%,51%,10%,8%
H3916,Highmark Inc.,Highmark Senior Health Company,Highmark Health,9%,47%,23%,9%,6%
H3923,Capital Advantage Insurance Company,Capital Advantage Insurance Company,Capital BlueCross,12%,11%,43%,7%,6%
H3924,Geisinger Gold,Geisinger Indemnity Insurance Company,Geisinger Health,11%,21%,29%,6%,6%
H3928,Aetna Medicare,"Aetna Health, Inc. (la)",CVS Health Corporation,29%,32%,32%,23%,17%
H3930,Sunrise Advantage Plan,"Spartan Plan Ny, Inc.",Public Sector Pension Investment Board,Not Available,Not Available,Not Available,Not Available,Not Available
H3931,Aetna Medicare,Aetna Health Inc. (pa),CVS Health Corporation,30%,30%,28%,Not Available,12%
H3949,Cigna,"Bravo Health Pennsylvania, Inc.",CIGNA,24%,40%,23%,Not Available,11%
H3952,Keystone 65 HMO,"Keystone Health Plan East, Inc.","Independence Health Group, Inc.",18%,24%,44%,Not Available,13%
H3954,Geisinger Gold,Geisinger Health Plan,Geisinger Health,13%,30%,23%,9%,7%
H3957,Highmark Inc.,Highmark Choice Company,Highmark Health,8%,62%,17%,6%,5%
H3959,Aetna Medicare,Aetna Health Inc. (pa),CVS Health Corporation,16%,26%,15%,9%,9%
H3962,"Keystone Health Plan Central, Inc.","Keystone Health Plan Central, Inc.",Capital BlueCross,26%,30%,24%,12%,13%
H3979,Blue Cross and Blue Shield of Oklahoma,"Ghs Health Maintenance Organization, Inc.",Health Care Service Corporation,24%,12%,21%,16%,18%
H4003,Medicare y Mucho Mßs,"Mmm Healthcare, Llc",InnovaCare Inc.,10%,16%,16%,Not Available,11%
H4004,PMC Medicare Choice,"Mmm Healthcare, Llc",InnovaCare Inc.,13%,21%,18%,Not Available,9%
H4005,Triple-S Advantage,"Triple S Advantage, Inc.",Triple-S Management Corporation,17%,17%,52%,19%,11%
H4007,Humana,"Humana Health Plans Of Puerto Rico, Inc.",Humana Inc.,19%,13%,17%,Not Available,14%
H4036,Anthem Blue Cross and Blue Shield,"Anthem Insurance Companies, Inc.",Anthem Inc.,18%,22%,30%,13%,11%
H4091,Simpra Advantage,"Simpra Advantage, Inc.","SeniorSelect Partners, Inc",Not Available,Not Available,Not Available,Not Available,Not Available
H4093,Provider Partners Pennsylvania Advantage Plan,"Provider Partners Health Plan Of Pennsylvania, Inc","Rifkin Managed Care Holding Company, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H4094,UnitedHealthcare,"Optimum Choice, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4140,"Doctors HealthCare Plans, Inc.","Doctors Healthcare Plans, Inc.","DOCTORS HEALTHCARE PLANS, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4141,Humana,"Humana Employers Health Plan Of Georgia, Inc.",Humana Inc.,24%,25%,19%,11%,13%
H4152,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield Of Rhode Island,Blue Cross & Blue Shield of Rhode Island,11%,11%,27%,10%,7%
H4172,NHC Advantage,"Nhc Advantage, Llc","Missouri Healthcare Advisors, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H4198,CommunityCare Advantage Medicare Plan (HMO),"Communitycare Government Programs, Inc.",St Francis Health System & St John Health System,10%,18%,23%,Not Available,5%
H4213,ARKANSAS BLUE CROSS AND BLUE SHIELD,Usable Mutual Insurance Company,USAble Mutual Insurance Company,7%,8%,45%,8%,7%
H4227,VISTA Health Plan Inc.,"Vista Health Plan, Inc.","Independence Health Group, Inc.",24%,39%,14%,Not Available,13%
H4236,Sunrise Advantage Plan,"Spartan Plan Pa, Inc.",Public Sector Pension Investment Board,Not Available,Not Available,Not Available,Not Available,Not Available
H4279,UPMC for Life Dual,"Upmc For You, Inc",UPMC Health System,12%,26%,8%,Not Available,9%
H4346,Anthem Blue Cross and Blue Shield,"Hmo Colorado, Inc.",Anthem Inc.,31%,36%,19%,11%,15%
H4388,"Security Health Plan of Wisconsin, Inc.","Security Health Plan Of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.",7%,1%,22%,Not Applicable,Not Applicable
H4407,Cigna,Healthspring Life & Health Insurance Company,CIGNA,22%,42%,11%,17%,16%
H4461,Humana,Cariten Health Plan Inc.,Humana Inc.,14%,13%,28%,9%,12%
H4490,Missouri Medicare Select (HMO SNP),"Missouri Medicare Select, Llc","American Health Companies, Inc",Not Available,Not Available,Not Available,Not Available,Not Available
H4497,Medical Mutual of Ohio,Medical Mutual Of Ohio,MEDICAL MUTUAL OF OHIO,11%,24%,31%,6%,4%
H4506,WellCare,"Selectcare Of Texas, Inc.","WellCare Health Plans, Inc.",30%,47%,14%,Not Available,15%
H4513,Cigna,"Healthspring Life & Health Insurance Company, Inc.",CIGNA,22%,48%,15%,Not Available,13%
H4514,UnitedHealthcare,"Unitedhealthcare Community Plan Of Texas, L.l.c.","UnitedHealth Group, Inc.",17%,37%,10%,9%,11%
H4523,Aetna Medicare,Aetna Health Inc. (tx),CVS Health Corporation,21%,26%,22%,11%,11%
H4527,UnitedHealthcare,"Physicians Health Choice Of Texas, Llc","UnitedHealth Group, Inc.",21%,33%,20%,Not Available,12%
H4590,UnitedHealthcare,"Unitedhealthcare Benefits Of Texas, Inc.","UnitedHealth Group, Inc.",23%,23%,17%,8%,14%
H4604,UnitedHealthcare,"Unitedhealthcare Of Utah, Inc.","UnitedHealth Group, Inc.",15%,15%,22%,10%,11%
H4605,Regence BlueCross BlueShield of Utah,Regence Bluecross Blueshield Of Utah,"Cambia Health Solutions, Inc.",13%,12%,36%,14%,8%
H4623,Humana,"Humana Regional Health Plan, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4672,Mutual of Omaha Medicare Advantage,Medicare Advantage Insurance Company Of Omaha,Mutual of Omaha Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4676,Troy Medicare,"Troy Health, Inc.","TROY HEALTH, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4709,Bright Health,Bright Health Insurance Company Of Florida,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4711,Aetna Medicare,"Coventry Health Care Of Nebraska, Inc.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4754,PacificSource Medicare,Pacificsource Community Health Plans,PacificSource,10%,9%,34%,9%,4%
H4778,Sunrise Advantage Plan,"Spartan Plan Il, Inc.",Public Sector Pension Investment Board,Not Available,Not Available,Not Available,Not Available,Not Available
H4835,Aetna Medicare,"Aetna Better Health Of Oklahoma, Inc.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4847,WELLCARE,"Wellcare Of South Carolina, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4853,Bright Health,Bright Health Company Of Arizona,"Bright Health, Inc.",32%,40%,18%,Not Available,22%
H4868,WellCare,"Wellcare Of New York, Inc.","WellCare Health Plans, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H4875,Priority Health Medicare,Priority Health,Spectrum Health System,13%,6%,32%,8%,9%
H4882,HealthPartners,"Healthpartners, Inc.","HealthPartners, Inc.",5%,38%,20%,3%,3%
H4909,Anthem Blue Cross and Blue Shield,"Anthem Insurance Companies, Inc.",Anthem Inc.,24%,31%,29%,Not Available,Not Available
H4922,AgeWell New York,"Agewell New York, Llc","ParkerCare New York, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H4931,Banner - University Care Advantage,Banner - University Care Advantage,Banner Health,21%,27%,8%,Not Available,12%
H4937,Blue Shield of California,California Physicians' Service,California Physicians' Service,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4961,Alignment Health Plan,Alignment Health Plan,"Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4982,Aetna Medicare,Aetna Better Health Of California Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5008,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",18%,23%,12%,Not Available,14%
H5009,Regence BlueShield,Regence Blueshield,"Cambia Health Solutions, Inc.",7%,68%,21%,5%,3%
H5010,Asuris Northwest Health,Asuris Northwest Health,"Cambia Health Solutions, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5015,Texas Independence Health Plan,"Texas Independence Health Plan, Inc.",Regency ISNP Holdings LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5042,CDPHP Medicare Advantage,"Cdphp Universal Benefits, Inc.","Capital District Physicians' Health Plan, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5050,Kaiser Foundation Health Plan of Washington,Kaiser Foundation Health Plan Of Washington,"Kaiser Foundation Health Plan, Inc.",18%,24%,32%,6%,10%
H5087,WellCare,"Wellcare Of California, Inc.","WellCare Health Plans, Inc.",22%,31%,25%,Not Available,21%
H5106,Highmark Inc.,Highmark Senior Solutions Company,Highmark Health,9%,10%,41%,Not Available,6%
H5117,Allwell,"Louisiana Healthcare Connections, Inc.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5126,Oscar,Oscar Insurance Company,"Mulberry Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5140,Blue Cross Blue Shield of Arizona,"Blue Cross And Blue Shield Of Arizona, Inc.",Blue Cross Blue Shield of Arizona,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5141,Clover Health,Clover Insurance Company,"Clover Health Holdings, Inc.",14%,18%,22%,Not Available,13%
H5172,Community Health Group,Community Health Group,Community Health Group,Not Available,Not Available,Not Available,Not Available,Not Available
H5178,Humana,"Humana Health Plan, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5190,Allwell,"Sunshine State Health Plan, Inc.",Centene Corporation,34%,50%,9%,Not Available,23%
H5199,WellCare,"Wellcare Health Insurance Of Arizona, Inc.","WellCare Health Plans, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5209,"Care Wisconsin Health Plan, Inc.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5211,"Security Health Plan of Wisconsin, Inc.","Security Health Plan Of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.",13%,15%,32%,5%,5%
H5215,Network Health Medicare Advantage Plans,Network Health Insurance Corporation,"Network Health, Inc.",14%,7%,27%,7%,6%
H5216,Humana,Humana Insurance Company,Humana Inc.,18%,23%,32%,12%,13%
H5232,Paramount Elite/Medicare Plans,"Paramount Care, Inc.","Promedica Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5253,UnitedHealthcare,"Unitedhealthcare Of Wisconsin, Inc.","UnitedHealth Group, Inc.",15%,22%,26%,8%,7%
H5256,Medical Associates Clinic Health Plan of Wisconsin,Medical Associates Clinic Health Plan,"Medical Associates Clinic, P.C.",Not Available,Not Available,Not Available,Not Applicable,Not Applicable
H5262,Senior Preferred,Quartz Health Plan Corporation,University of Wisconsin Hospitals and Clincs Autho,19%,26%,31%,8%,8%
H5264,"Dean Health Plan, Inc.","Dean Health Plan, Inc.",SSM Healthcare Corporation,10%,18%,33%,Not Applicable,Not Applicable
H5273,CarePartners of Connecticut,"Carepartners Of Connecticut, Inc.","Tufts Health Plan, Inc",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5280,Molina Healthcare of Ohio,"Molina Healthcare Of Ohio, Inc.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H5294,Allwell,"Superior Health Plan, Inc.",Centene Corporation,Not Available,36%,14%,Not Available,Not Available
H5302,Aetna Medicare,Aetna Health Inc. (ga),CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5322,UnitedHealthcare,Care Improvement Plus South Central Insurance Co.,"UnitedHealth Group, Inc.",20%,41%,13%,Not Available,11%
