2022 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H2247 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN, INC. ","UnitedHealth Group, Inc. ",26%,40%,22%,Not Available ,18%
H2256 ,Tufts Health Plan ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,"Point32Health, Inc. ",16%,29%,29%,10%,11%
H2261 ,Blue Cross Blue Shield of Massachusetts ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ","Blue Cross and Blue Shield of Massachusetts, Inc. ",12%,19%,23%,10%,7%
H2288 ,Bright Health ,BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK ,"Bright Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2292 ,UnitedHealthcare ,"OXFORD HEALTH INSURANCE, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2320 ,Priority Health Medicare ,PRIORITY HEALTH ,Spectrum Health System ,3%,5%,27%,7%,7%
H2322 ,HAP Senior Plus (PPO) ,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY ,Henry Ford Health System ,9%,12%,33%,9%,9%
H2334 ,Clear Spring Health ,"EON HEALTH, INC. (SC) ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2354 ,HAP Senior Plus ,HEALTH ALLIANCE PLAN OF MICHIGAN ,Henry Ford Health System ,14%,10%,29%,9%,11%
H2392 ,Kansas Health Advantage ,"KANSAS SUPERIOR SELECT, INC. ",Kansas Superior Select ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2400 ,Signature Advantage (HMO SNP) ,"SIGNATURE ADVANTAGE, LLC ","SA Plan, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2406 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",25%,34%,25%,Not Available ,13%
H2416 ,PrimeWest Health ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Rural MN Health Care Access Initiative ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2417 ,Itasca Medical Care/IMCare Classic ,ITASCA MEDICAL CARE ,Itasca County ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2419 ,South Country Health Alliance ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2422 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2425 ,Blue Plus ,BLUE PLUS ,"Aware Integrated, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2450 ,Medica ,MEDICA INSURANCE COMPANY ,Medica Holding Company ,9%,5%,32%,Not Available ,6%
H2456 ,UCare's MSHO ,UCARE MINNESOTA ,UCare Minnesota ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2458 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2459 ,UCare ,UCARE MINNESOTA ,UCare Minnesota ,8%,8%,34%,9%,8%
H2461 ,Blue Cross and Blue Shield of Minnesota ,BLUE CROSS AND BLUE SHIELD OF MINNESOTA ,"Aware Integrated, Inc. ",7%,5%,43%,Not Available ,6%
H2462 ,HealthPartners ,"GROUP HEALTH PLAN, INC. (MN) ","HealthPartners, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2463 ,Humana ,"HUMANA HEALTH PLAN OF TEXAS, INC. ",Humana Inc. ,10%,21%,21%,Not Available ,12%
H2486 ,Humana ,"HUMANA MEDICAL PLAN OF UTAH, INC. ",Humana Inc. ,31%,34%,24%,Not Available ,17%
H2491 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",Centene Corporation ,22%,39%,17%,Not Available ,15%
H2563 ,Optima Medicare ,OPTIMA HEALTH PLAN ,Sentara Health Care (SHC) ,21%,32%,17%,Not Available ,12%
H2577 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",15%,11%,26%,Not Available ,12%
H2582 ,UnitedHealthcare ,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2591 ,Health Alliance Medicare ,"HEALTH ALLIANCE - MIDWEST, INC. ",The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2593 ,Amerigroup ,"AMERIGROUP TEXAS, INC. ",Anthem Inc. ,28%,37%,18%,15%,22%
H2610 ,Essence Healthcare ,"ESSENCE HEALTHCARE, INC. ",Essence Group Holdings Corporation ,17%,27%,15%,7%,9%
H2624 ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,Moses H. Cone Memorial Hospital Corp. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2663 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF MISSOURI, INC ",CVS Health Corporation ,12%,18%,23%,10%,14%
H2678 ,MoreCare ,"MoreCare, Inc. ",MHNU Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2694 ,eternalHealth ,"ETERNALHEALTH, INC. ","Eternal Health of Delaware, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2697 ,Devoted Health ,"DEVOTED HEALTH PLAN OF OHIO, INC. ","Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2722 ,Vantage Health Plan ,"VANTAGE HEALTH PLAN OF ARKANSAS, INC. ",Louisiana Health Service & Indemnity Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2737 ,Health New England Medicare Advantage Plans ,"HEALTH NEW ENGLAND, INC. ","Baystate Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2752 ,Cigna ,CIGNA HEALTHCARE OF CONNECTICUT INC. ,CIGNA ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2765 ,"Summit Health Plan, Inc. ","SUMMIT HEALTH PLAN, INC. ","Moda Partners, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2775 ,Wellcare ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,Centene Corporation ,28%,32%,26%,Not Available ,19%
H2782 ,Western Health Advantage ,WESTERN HEALTH ADVANTAGE ,Western Health Advantage ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2793 ,"Imperial Insurance Companies, Inc ",IMPERIAL INSURANCE COMPANIES INC. ,Imperial Health Plan of California ,44%,51%,11%,Not Available ,27%
H2802 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ","UnitedHealth Group, Inc. ",7%,10%,16%,5%,6%
H2816 ,Wellcare ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,Centene Corporation ,14%,19%,35%,Not Available ,17%
H2825 ,Mary Washington Medicare Advantage ,MARY WASHINGTON HEALTH PLAN ,Mary Washington Healthcare ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2836 ,Anthem Blue Cross and Blue Shield ,"ANTHEM HEALTH PLANS, INC. ",Anthem Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2853 ,Ascension Complete ,CENTENE VENTURE COMPANY TENNESSEE ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2879 ,Molina Healthcare of Wisconsin and Massachusetts ,"MOLINA HEALTHCARE OF WISCONSIN, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2915 ,Wellcare by Allwell ,"PENNSYLVANIA HEALTH & WELLNESS, INC. ",Centene Corporation ,21%,32%,10%,Not Available ,17%
H2926 ,PrimeWest Health ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Rural MN Health Care Access Initiative ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2944 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,16%,18%,39%,9%,13%
H2960 ,Senior Care Plus ,"HOMETOWN HEALTH PLAN, INC. ",Renown Health ,12%,34%,23%,9%,12%
H2962 ,Ultimate Health Plans ,"ULTIMATE HEALTH PLANS, INC. ","Ultimate Healthcare Holdings, LLC ",19%,41%,9%,8%,11%
H2986 ,Essence Healthcare ,STANFORD HEALTHCARE ADVANTAGE ,Essence Group Holdings Corporation ,29%,25%,29%,16%,19%
H3015 ,Shared Health Dual Plus ,"SHARED HEALTH MISSISSIPPI, INC. ",BlueCross BlueShield of Tennessee ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3047 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3071 ,Clear Spring Health ,"COMMUNITY CARE ALLIANCE OF ILLINOIS, INC. ",Group 1001 ,26%,36%,15%,Not Available ,16%
H3113 ,UnitedHealthcare ,"OXFORD HEALTH PLANS (NJ), INC. ","UnitedHealth Group, Inc. ",19%,25%,17%,Not Available ,17%
H3132 ,AHF ,"AHF MCO OF FLORIDA, INC. ",AIDS Healthcare Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3146 ,Aetna Medicare ,AETNA BETTER HEALTH INC. (GA) ,CVS Health Corporation ,11%,12%,19%,Not Available ,15%
H3152 ,Aetna Medicare ,AETNA HEALTH INC. (NJ) ,CVS Health Corporation ,15%,16%,40%,Not Available ,11%
H3154 ,Horizon Blue Cross Blue Shield of New Jersey ,HORIZON INSURANCE COMPANY ,"Horizon Healthcare Services, Inc. ",19%,24%,36%,Not Available ,13%
H3170 ,Blue Cross and Blue Shield of Nebraska ,"SAPPHIRE EDGE, INC. ",Blue Cross Blue Shield of Nebraska ,14%,3%,23%,11%,7%
H3186 ,Sanford Health Plan of Minnesota ,SANFORD HEALTH PLAN OF MINNESOTA ,Sanford Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3192 ,Aetna Medicare ,AETNA HEALTH OF MICHIGAN INC. ,CVS Health Corporation ,17%,25%,20%,Not Available ,14%
H3204 ,Presbyterian Health Plan ,PRESBYTERIAN HEALTH PLAN ,Presbyterian Healthcare Services ,21%,24%,35%,Not Available ,14%
H3206 ,"Presbyterian Insurance Company, Inc. ","PRESBYTERIAN INSURANCE COMPANY, INC. ",Presbyterian Healthcare Services ,12%,13%,51%,Not Available ,8%
H3213 ,CareSource ,CARESOURCE KENTUCKY CO. ,CareSource ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3219 ,Allina Health Aetna Medicare ,ALLINA HEALTH AND AETNA INSURANCE COMPANY ,Allina Health and Aetna Insurance Holding Company ,20%,23%,27%,Not Available ,19%
H3239 ,Aetna Medicare ,"AETNA BETTER HEALTH, INC. (LA) ",CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3240 ,Amerigroup Community Care ,"AMERIGROUP NEW JERSEY, INC. ",Anthem Inc. ,25%,33%,28%,Not Available ,17%
H3251 ,Blue Cross and Blue Shield of New Mexico ,HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,24%,26%,19%,11%,16%
H3256 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF GEORGIA, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3259 ,BlueCare Plus Tennessee ,VOLUNTEER STATE HEALTH PLAN ,BlueCross BlueShield of Tennessee ,17%,29%,12%,Not Available ,8%
H3274 ,Align Senior Care ,ALIGN SENIOR CARE CALIFORNIA INC. ,"Innovative Long Term Care Management, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3276 ,ConnectiCare ,"CONNECTICARE INSURANCE COMPANY, INC. ","EmblemHealth, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3281 ,Bright Health ,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA ,"Bright Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3288 ,Aetna Medicare ,AETNA HEALTH AND LIFE INSURANCE COMPANY ,CVS Health Corporation ,17%,16%,31%,Not Available ,13%
H3291 ,PruittHealth Premier ,"PRUITTHEALTH PREMIER, INC. ","UNICO Premier, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3293 ,"MMM of Florida, Inc. ","MMM OF FLORIDA, INC. ","Summit Master Company, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3305 ,MVP HEALTH CARE ,"MVP HEALTH PLAN, INC. ","MVP Health Care, Inc. ",8%,7%,37%,8%,7%
H3307 ,UnitedHealthcare ,"OXFORD HEALTH PLANS (NY), INC. ","UnitedHealth Group, Inc. ",11%,23%,38%,Not Available ,8%
H3312 ,Aetna Medicare ,AETNA HEALTH INC. (NY) ,CVS Health Corporation ,21%,17%,29%,Not Available ,13%
H3330 ,EmblemHealth Medicare HMO ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,"EmblemHealth, Inc. ",21%,17%,19%,Not Available ,21%
H3335 ,"Excellus Health Plan, Inc ","EXCELLUS HEALTH PLAN, INC. ","Lifetime Healthcare, Inc. ",7%,5%,29%,6%,6%
H3342 ,Empire BlueCross BlueShield ,"EMPIRE HEALTHCHOICE ASSURANCE, INC. ",Anthem Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3344 ,Independent Health ,INDEPENDENT HEALTH BENEFITS CORPORATION ,"Independent Health Association, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3347 ,Elderplan ,"ELDERPLAN, INC. ","Elderplan, Inc. ",20%,31%,20%,19%,17%
H3351 ,"Excellus Health Plan, Inc ","EXCELLUS HEALTH PLAN, INC. ","Lifetime Healthcare, Inc. ",11%,7%,27%,9%,8%
H3359 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",19%,22%,23%,19%,14%
H3362 ,Independent Health ,"INDEPENDENT HEALTH ASSOCIATION, INC. ","Independent Health Association, Inc. ",7%,8%,39%,8%,7%
H3379 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW YORK, INC. ","UnitedHealth Group, Inc. ",12%,15%,22%,10%,12%
H3384 ,Highmark Blue Cross Blue Shield of Western New Yor ,Highmark Western and Northeastern New York Inc. ,Highmark Health ,12%,18%,23%,9%,7%
H3387 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW YORK, INC. ","UnitedHealth Group, Inc. ",19%,26%,16%,Not Available ,13%
H3388 ,CDPHP Medicare Advantage ,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC. ","Capital District Physicians' Health Plan, Inc. ",12%,24%,37%,9%,8%
H3404 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,8%,8%,40%,11%,6%
H3407 ,El Paso Health Advantage Dual SNP ,"EL PASO FIRST HEALTH PLANS, INC. ",El Paso County Hospital District ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3416 ,HealthPartners UnityPoint Health ,"HEALTHPARTNERS UNITYPOINT HEALTH, INC. ","HealthPartners UnityPoint Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3418 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK ,"UnitedHealth Group, Inc. ",26%,43%,22%,Not Available ,18%
H3419 ,Perennial Advantage ,"PERENNIAL ADVANTAGE OF COLORADO, INC. ","Perennial Consortium, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3442 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY OF ILLINOIS ,"UnitedHealth Group, Inc. ",21%,20%,30%,Not Available ,14%
H3443 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF ARIZONA, INC. ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3447 ,Anthem HealthKeepers ,"HEALTHKEEPERS, INC. ",Anthem Inc. ,24%,26%,20%,Not Available ,18%
H3449 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,16%,19%,25%,17%,12%
H3464 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF ARKANSAS, INC. ","UnitedHealth Group, Inc. ",14%,24%,19%,Not Available ,14%
H3467 ,ProCare Advantage ,"PROCARE ADVANTAGE, LLC ",First Sacramento Capital Funding LLC ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3471 ,Health Alliance Northwest ,HEALTH ALLIANCE NORTHWEST HEALTH PLAN ,The Carle Foundation ,17%,24%,20%,5%,7%
H3499 ,Wellcare by Allwell ,COORDINATED CARE CORPORATION ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3528 ,ConnectiCare ,"CONNECTICARE, INC. ","EmblemHealth, Inc. ",14%,16%,27%,9%,9%
H3533 ,Humana ,"HUMANA HEALTH COMPANY OF NEW YORK, INC. ",Humana Inc. ,19%,24%,29%,15%,18%
H3536 ,Anthem Blue Cross and Blue Shield ,"MATTHEW THORNTON HEALTH PLAN, INC. ",Anthem Inc. ,16%,16%,32%,Not Available ,9%
H3554 ,Arkansas Blue Medicare ,USABLE PPO INSURANCE COMPANY ,USAble Mutual Insurance Company ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3557 ,Blue Cross & Blue Shield of Rhode Island ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3561 ,Wellcare by Health Net ,"HEALTH NET COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,19%,24%,19%,Not Available ,19%
H3597 ,Aetna Medicare ,AETNA HEALTH INC. (ME) ,CVS Health Corporation ,9%,6%,28%,10%,13%
H3632 ,Medica ,MEDICA COMMUNITY HEALTH PLAN ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3653 ,Paramount Elite Medicare Plans ,"PARAMOUNT CARE, INC. ","Promedica Health System, Inc. ",13%,48%,19%,6%,6%
H3655 ,Anthem Blue Cross and Blue Shield ,COMMUNITY INSURANCE COMPANY ,Anthem Inc. ,16%,19%,21%,11%,15%
H3660 ,SummaCare Medicare Advantage Plans ,SUMMACARE INC. ,Summa Health System Community ,13%,25%,23%,8%,8%
H3664 ,PrimeTime Health Plan ,AULTCARE HEALTH INSURING CORPORATION ,Aultman Health Foundation ,12%,13%,30%,8%,9%
H3668 ,MediGold ,"MOUNT CARMEL HEALTH PLAN, INC. ",Trinity Health Corporation ,10%,26%,31%,8%,9%
H3672 ,The Health Plan ,"THE HEALTH PLAN OF WEST VIRGINIA, INC. ","The Health Plan of West Virginia, Inc. ",11%,26%,22%,Not Available ,8%
H3706 ,GlobalHealth ,"GLOBALHEALTH, INC. ","MHH Healthcare, LLC ",22%,33%,15%,Not Available ,13%
H3708 ,American Health Advantage of Oklahoma ,"OKLAHOMA SUPERIOR SELECT, INC. ","American Health Companies, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3727 ,Communicare Advantage ,OH CHS SNP INC. ,"SNP Holdings, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3748 ,Aetna Medicare ,"AETNA BETTER HEALTH OF WASHINGTON, INC. ",CVS Health Corporation ,17%,15%,24%,Not Available ,14%
H3749 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF OKLAHOMA, INC. ","UnitedHealth Group, Inc. ",14%,20%,16%,7%,9%
H3755 ,CommunityCare Senior Health Plan (HMO) ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",St Francis Health System & St John Health System ,11%,28%,20%,Not Available ,9%
H3777 ,"Experience Health, Inc. ","EXPERIENCE HEALTH, INC. ","EXPERIENCE HEALTH, INC. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3794 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",13%,24%,11%,7%,11%
H3800 ,Provider Partners Health Plans ,PROVIDER PARTNERS HEALTH PLAN OF ILLINOIS ,"Rifkin Managed Care Holding, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3805 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF OREGON, INC. ","UnitedHealth Group, Inc. ",14%,16%,22%,5%,11%
H3810 ,AllCare Advantage ,"ALLCARE HEALTH PLAN, INC. ","AllCare Health, Inc. ",16%,10%,35%,Not Available ,14%
H3811 ,Samaritan Advantage Health Plan ,"SAMARITAN HEALTH PLANS, INC. ",Samaritan Health Services ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3813 ,"Moda Health Plan, Inc. ","MODA HEALTH PLAN, INC. ","Moda Partners, Inc. ",9%,13%,34%,Not Available ,5%
H3814 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3815 ,Alignment Health Plan ,ALIGNMENT HEALTH PLAN ,"Alignment Healthcare USA, LLC ",26%,34%,18%,Not Available ,15%
H3817 ,Regence BlueCross BlueShield of Oregon ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,"Cambia Health Solutions, Inc. ",6%,9%,32%,Not Available ,7%
H3822 ,"Blue Cross and Blue Shield of IL, NM ",HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,21%,29%,22%,8%,14%
H3832 ,HMSA Akamai Advantage ,HAWAII MEDICAL SERVICE ASSOCIATION ,Hawaii Medical Service Association ,9%,4%,46%,Not Available ,10%
H3864 ,PacificSource Medicare ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource ,10%,18%,28%,5%,8%
H3890 ,Johns Hopkins HealthCare ,"HOPKINS HEALTH ADVANTAGE, INC. ",Johns Hopkins Healthcare LLC ,21%,18%,54%,8%,11%
H3907 ,UPMC for Life ,"UPMC HEALTH PLAN, INC. ",UPMC Health System ,10%,13%,31%,8%,7%
H3909 ,Independence Blue Cross ,QCC INSURANCE COMPANY ,"Independence Health Group, Inc. ",17%,20%,41%,9%,12%
H3916 ,Highmark Inc. ,HIGHMARK SENIOR HEALTH COMPANY ,Highmark Health ,11%,12%,27%,9%,5%
H3923 ,Capital Blue Cross ,CAPITAL ADVANTAGE INSURANCE COMPANY ,Capital BlueCross ,11%,7%,36%,9%,8%
H3924 ,Geisinger Gold ,GEISINGER INDEMNITY INSURANCE COMPANY ,Geisinger Health ,15%,14%,28%,9%,9%
H3928 ,Aetna Medicare ,AETNA HEALTH INC. (LA) ,CVS Health Corporation ,16%,20%,22%,Not Available ,12%
H3931 ,Aetna Medicare ,AETNA HEALTH INC. (PA) ,CVS Health Corporation ,12%,12%,25%,7%,9%
H3949 ,Cigna ,"BRAVO HEALTH PENNSYLVANIA, INC. ",CIGNA ,17%,44%,21%,10%,15%
H3952 ,Independence Blue Cross ,"KEYSTONE HEALTH PLAN EAST, INC. ","Independence Health Group, Inc. ",15%,15%,33%,8%,8%
H3954 ,Geisinger Gold ,GEISINGER HEALTH PLAN ,Geisinger Health ,17%,23%,28%,Not Available ,13%
H3957 ,Highmark Inc. ,HIGHMARK CHOICE COMPANY ,Highmark Health ,12%,25%,24%,4%,5%
H3959 ,Aetna Medicare ,AETNA HEALTH INC. (PA) ,CVS Health Corporation ,19%,24%,22%,Not Available ,14%
H3962 ,Capital Blue Cross ,"KEYSTONE HEALTH PLAN CENTRAL, INC. ",Capital BlueCross ,18%,28%,22%,11%,10%
H3975 ,Wellcare ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3979 ,Blue Cross and Blue Shield of Oklahoma ,"GHS HEALTH MAINTENANCE ORGANIZATION, INC. ",Health Care Service Corporation ,20%,17%,23%,Not Available ,14%
H4003 ,Medicare y Mucho Más ,"MMM HEALTHCARE, LLC ",Anthem Inc. ,15%,20%,9%,16%,17%
H4004 ,PMC Medicare Choice ,"MMM HEALTHCARE, LLC ",Anthem Inc. ,9%,13%,9%,Not Available ,11%
H4005 ,Triple-S Advantage ,"TRIPLE S ADVANTAGE, INC. ",Triple-S Management Corporation ,10%,5%,33%,Not Available ,9%
H4007 ,Humana ,"HUMANA HEALTH PLANS OF PUERTO RICO, INC. ",Humana Inc. ,14%,15%,16%,Not Available ,16%
H4036 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Inc. ,16%,21%,31%,10%,13%
H4054 ,Provider Partners Health Plans ,"PROVIDER PARTNERS HEALTH PLAN OF TEXAS, INC. ","Rifkin Managed Care Holding, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4073 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4091 ,Simpra Advantage ,"SIMPRA ADVANTAGE, INC. ","Associated Care Ventures, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4093 ,Provider Partners Health Plans ,"PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC ","Rifkin Managed Care Holding, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4094 ,UnitedHealthcare ,"OPTIMUM CHOICE, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4140 ,"Doctors HealthCare Plans, Inc. ","DOCTORS HEALTHCARE PLANS, INC. ","DOCTORS HEALTHCARE PLANS, INC. ",17%,36%,12%,Not Available ,11%
H4141 ,Humana ,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC. ",Humana Inc. ,12%,18%,20%,Not Available ,10%
