2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions - DMC23,Physical Functioning Activities of Daily Living - DMC24,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD06,MPF – Stability - DMD07,Call Center – Pharmacy Hold Time - DMD08,Plan Submitted Higher Prices for Display on MPF - DMD09,Reminders to Fill Prescriptions - DMD10,Reminders to Take Medications - DMD11,Antipsychotic Use in Persons with Dementia - DMD12,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD13,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD14,Use of Opioids at High Dosage and from Multiple Providers - DMD15,MPF Price Accuracy - DMD16,Concurrent Use of Opioids and Benzodiazepines - DMD17,Use of Opioids at High Dosage in Persons Without Cancer - DMD18,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD19,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD20,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD21,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H1894,AMERIGROUP,"AMERIGROUP WASHINGTON, INC.",Anthem Inc.,Not enough data available,67%,Not enough data available,69%,Not enough data available,Not enough data available,00:54,77%,91%,1.94%,Not enough data available,Not enough data available,48%,8%,32,59%,46%,44%,17%,80%,20%,40%,2%,100,No data available,No data available,2.73%,00:07,2%,100%,100,00:17,86,42%,28%,16%,15%,No data available,0.00%,95,9.19%,10.31%,0.88%,12.07%,4.80%,3.80,28%,36%,15%,11%,20%,100
H1914,WellCare,"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:14,Plan too new to be measured,Plan too new to be measured,3.89%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,3.89%,00:14,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:30,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1924,Lasso Healthcare,"PORT HOLDINGS, INC.","Port Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1.98,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,100
H1944,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealth Group, Inc.",56%,64%,90%,79%,36%,90,00:41,75%,96%,1.53%,76%,75%,43%,6%,43,74%,54%,55%,16%,82%,5%,39%,9%,96,100%,No data available,1.53%,00:41,2%,100%,100,00:35,87,53%,23%,10%,8%,17%,0.04%,88,20.15%,8.90%,0.55%,6.48%,4.88%,3.93,23%,25%,29%,10%,12%,100
H1947,Healthy Blue,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:19,Plan too new to be measured,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,3.13%,00:22,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:17,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1951,Humana,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,46%,57%,85%,82%,34%,93,00:19,76%,97%,1.55%,75%,82%,30%,3%,46,86%,58%,48%,0%,86%,0%,34%,9%,97,97%,100.00%,1.55%,00:19,3%,100%,100,00:12,89,63%,38%,9%,9%,13%,0.04%,92,20.86%,5.52%,0.69%,7.76%,6.35%,1.67,23%,27%,26%,11%,14%,100
H1961,Peoples Health,"PEOPLES HEALTH, INC.","UnitedHealth Group, Inc.",39%,55%,86%,75%,61%,94,00:51,74%,97%,0.78%,72%,78%,16%,2%,41,82%,56%,97%,75%,89%,52%,78%,8%,93,94%,100.00%,0.78%,00:51,4%,100%,100,00:35,93,60%,40%,11%,10%,14%,0.02%,90,18.50%,4.56%,0.64%,8.13%,5.90%,5.27,19%,37%,14%,Not Available,15%,100
H1969,Regence BlueShield of Idaho,REGENCE BLUESHIELD OF IDAHO,"Cambia Health Solutions, Inc.",Not enough data available,57%,Not enough data available,81%,Not enough data available,94,00:23,77%,94%,0.71%,Not enough data available,Not enough data available,63%,7%,15,72%,61%,58%,5%,78%,3%,36%,6%,99,100%,No data available,0.71%,00:23,3%,100%,100,00:11,90,42%,24%,10%,10%,No data available,0.00%,94,14.65%,6.98%,0.00%,0.86%,6.23%,15.70,11%,16%,29%,7%,8%,100
H1977,Upper Peninsula Health Plan (UPHP) MI Health Link,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",74%,50%,Not enough data available,59%,25%,Not enough data available,00:48,59%,95%,1.94%,67%,88%,17%,2%,45,79%,59%,72%,25%,89%,31%,54%,8%,93,100%,100.00%,0.00%,00:09,Plan not required to report measure,100%,Plan not required to report measure,00:06,Plan not required to report measure,40%,34%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.40,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1993,Astiva Health,"ASTIVA HEALTH, INC.","Astiva Group, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1994,SelectHealth,"SELECTHEALTH, INC.","Intermountain Health Care, Inc.",55%,61%,80%,80%,38%,93,00:25,80%,96%,0.00%,65%,67%,51%,7%,26,77%,72%,75%,70%,91%,55%,73%,7%,96,100%,100.00%,0.00%,00:25,4%,100%,100,00:19,76,36%,22%,10%,10%,6%,0.11%,85,17.74%,12.54%,0.58%,8.23%,7.60%,1.51,12%,21%,26%,5%,5%,40
H1997,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",Not enough data available,62%,Not enough data available,86%,Not enough data available,93,00:26,83%,97%,0.63%,Not enough data available,Not enough data available,25%,2%,26,77%,65%,48%,1%,86%,0%,34%,9%,97,100%,100.00%,0.63%,00:26,3%,100%,100,00:11,90,42%,25%,15%,13%,No data available,0.51%,92,12.74%,7.10%,0.51%,9.65%,5.59%,17.13,20%,27%,19%,6%,6%,100
H2001,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",55%,63%,87%,87%,40%,92,00:42,81%,98%,1.51%,73%,81%,35%,4%,38,73%,58%,55%,13%,84%,3%,39%,8%,96,98%,100.00%,1.51%,00:42,3%,100%,100,00:35,85,56%,25%,11%,10%,14%,0.03%,90,14.97%,5.33%,0.29%,5.41%,4.50%,2.48,9%,10%,23%,7%,8%,100
H2011,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF TENNESSEE,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:19,Plan too new to be measured,Plan too new to be measured,1.17%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,1.17%,00:19,No data available,100%,No data available,00:21,85,No data available,No data available,No data available,No data available,No data available,No data available,77,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2020,Clear Spring Health,DELAWARE LIFE INSURANCE COMPANY,Group 1001,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,01:47,Plan too new to be measured,Plan too new to be measured,3.75%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,0.00%,00:25,No data available,100%,104,00:37,86,No data available,No data available,No data available,No data available,No data available,No data available,95,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2029,Humana,"HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Not enough data available,Not enough data available,Not enough data available,73%,Not enough data available,Not enough data available,00:37,46%,95%,2.73%,Not enough data available,Not enough data available,12%,0%,29,82%,46%,39%,0%,72%,0%,28%,10%,94,100%,No data available,2.73%,00:37,2%,100%,100,00:12,90,51%,36%,12%,12%,No data available,No data available,95,22.52%,No data available,No data available,4.98%,6.40%,0.17,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2032,Scott and White Health Plan,INSURANCE COMPANY OF SCOTT AND WHITE,Baylor Scott & White Holdings,Not enough data available,Not enough data available,Not enough data available,81%,Not enough data available,Not enough data available,00:18,81%,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,24,64%,57%,68%,15%,90%,49%,55%,11%,No data available,100%,No data available,0.00%,00:18,4%,100%,97,00:35,87,56%,31%,6%,7%,No data available,0.38%,82,14.43%,5.85%,0.38%,6.73%,3.65%,11.52,15%,22%,33%,7%,8%,100
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:40,No data available,100%,3.94%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,86%,55%,86%,71%,94%,55%,76%,Not enough data available,No data available,100%,No data available,3.94%,00:40,12%,100%,101,00:06,10,No data available,No data available,13%,15%,No data available,0.00%,95,24.52%,2.52%,0.74%,18.64%,13.53%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2056,Aetna Medicare,AETNA BETTER HEALTH OF MICHIGAN INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:56,Plan too new to be measured,Plan too new to be measured,0.58%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.58%,00:56,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:38,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2108,Cigna,"BRAVO HEALTH MID-ATLANTIC, INC.",CIGNA,30%,52%,89%,66%,36%,Not enough data available,00:20,64%,94%,0.00%,68%,81%,32%,3%,53,73%,49%,64%,9%,81%,5%,40%,8%,95,100%,100.00%,0.00%,00:20,2%,100%,100,00:10,88,56%,42%,10%,9%,10%,0.17%,78,11.30%,10.01%,0.91%,6.83%,4.56%,9.33,24%,34%,29%,15%,19%,100
H2120,BlueEssential,"SECURITYCARE OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:12,Plan too new to be measured,Plan too new to be measured,0.63%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.63%,00:12,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:10,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2134,Allwell,"WESTERN SKY COMMUNITY CARE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:04,Plan too new to be measured,Plan too new to be measured,3.13%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,3.13%,00:04,No data available,100%,No data available,00:05,95,No data available,No data available,No data available,No data available,No data available,No data available,95,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2150,Kaiser Permanente,KAISER FNDN HP OF THE MID-ATLANTIC STS,"Kaiser Foundation Health Plan, Inc.",73%,61%,Plan not required to report measure,80%,54%,91,Plan not required to report measure,89%,97%,Plan not required to report measure,77%,95%,55%,17%,Plan not required to report measure,88%,83%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,99,No data available,No data available,Plan not required to report measure,Plan not required to report measure,2%,No data available,101,Plan not required to report measure,48,50%,30%,10%,9%,5%,0.00%,99,7.88%,5.13%,0.26%,5.32%,2.88%,4.76,5%,8%,32%,4%,9%,100
H2161,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",Not enough data available,Not enough data available,Not enough data available,67%,Not enough data available,No data available,00:47,No data available,94%,1.89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,76%,56%,67%,26%,89%,26%,52%,0%,No data available,0%,No data available,2.50%,00:22,2%,100%,97,00:03,80,No data available,No data available,No data available,No data available,No data available,0.00%,79,17.14%,7.44%,0.00%,7.62%,7.17%,Plan too small to be measured,10%,21%,22%,9%,5%,100
H2162,WellCare,"WELLCARE OF NEW HAMPSHIRE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:14,Plan too new to be measured,Plan too new to be measured,3.89%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,3.89%,00:14,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:30,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2168,VillageCareMAX,VILLAGE SENIOR SERVICES CORPORATION,"Village Care of New York, Inc.",Not enough data available,Not enough data available,Not enough data available,62%,Not enough data available,Not enough data available,00:22,65%,98%,1.56%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,63%,56%,21%,0%,77%,1%,25%,10%,No data available,100%,No data available,0.00%,00:09,2%,100%,102,00:07,89,61%,68%,13%,14%,No data available,1.23%,98,9.28%,12.35%,1.23%,5.91%,6.73%,14.86,37%,72%,4%,Not Available,16%,100
H2171,Care N' Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",Texas Health Resources,Not enough data available,Not enough data available,Not enough data available,84%,Not enough data available,92,00:01,80%,91%,1.59%,Not enough data available,Not enough data available,14%,3%,34,81%,53%,9%,CMS Found Issues with Plan's Data,82%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,4%,97,No data available,No data available,0.00%,00:37,3%,100%,101,00:39,79,50%,26%,6%,5%,No data available,0.00%,92,14.58%,5.15%,0.00%,9.16%,6.19%,3.33,43%,42%,13%,Not Available,17%,100
H2172,Kaiser Permanente,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES,"Kaiser Foundation Health Plan, Inc.",41%,Not enough data available,Not enough data available,72%,Not enough data available,91,00:10,77%,99%,0.78%,Not enough data available,Not enough data available,68%,29%,32,86%,89%,83%,94%,92%,66%,84%,6%,No data available,No data available,No data available,0.78%,00:10,2%,100%,101,00:08,48,49%,35%,11%,10%,16%,0.00%,99,5.54%,3.68%,0.46%,4.67%,2.15%,3.68,23%,46%,10%,6%,13%,100
H2174,Trillium Medicare Advantage,TRILLIUM COMMUNITY HEALTH PLAN,Centene Corporation,76%,45%,Not enough data available,75%,24%,Not enough data available,00:06,62%,95%,1.59%,77%,83%,44%,7%,67,82%,59%,47%,5%,86%,0%,35%,6%,90,100%,No data available,1.59%,00:06,4%,100%,101,00:12,94,38%,28%,12%,10%,No data available,0.00%,87,19.95%,12.10%,0.54%,13.42%,11.23%,9.26,9%,74%,4%,2%,5%,80
H2185,LifeWorks Advantage,"LIFEWORKS ADVANTAGE, LLC","MFA Lifeworks, LLC",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:16,No data available,100%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,75%,50%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,7%,No data available,No data available,No data available,0.00%,00:16,10%,100%,No data available,00:03,47,No data available,No data available,6%,No data available,6%,0.00%,99,21.18%,2.25%,0.00%,5.89%,12.65%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2196,UnitedHealthcare,"UNITEDHEALTHCARE OF MISSISSIPPI, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2224,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC","Magellan Health, Inc.",59%,59%,Not enough data available,72%,24%,Not enough data available,00:22,68%,100%,0.78%,80%,89%,39%,5%,71,76%,64%,64%,5%,91%,8%,42%,11%,92,100%,100.00%,0.78%,00:22,3%,100%,100,00:10,82,65%,58%,12%,11%,10%,0.00%,87,22.85%,5.13%,0.27%,12.58%,11.14%,1.42,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2225,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",69%,58%,Not enough data available,68%,29%,Not enough data available,00:17,72%,99%,1.56%,74%,94%,44%,6%,64,81%,65%,64%,64%,88%,42%,64%,8%,90,88%,100.00%,1.56%,00:17,2%,100%,101,00:03,55,58%,53%,15%,14%,14%,0.09%,86,20.64%,6.07%,0.36%,12.25%,11.18%,9.35,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2226,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",56%,57%,94%,66%,30%,91,00:38,65%,99%,0.78%,80%,91%,43%,6%,66,70%,62%,45%,5%,72%,1%,31%,7%,92,100%,No data available,0.78%,00:38,2%,100%,100,00:35,90,67%,62%,10%,10%,11%,0.14%,89,17.98%,4.81%,0.61%,10.53%,8.90%,5.81,20%,27%,4%,Not Available,16%,100
H2228,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",43%,54%,86%,77%,31%,91,00:40,74%,97%,2.11%,70%,80%,36%,5%,38,72%,54%,49%,11%,82%,2%,36%,8%,95,100%,100.00%,2.11%,00:40,3%,100%,100,00:35,87,57%,32%,9%,8%,11%,0.08%,89,16.55%,7.68%,0.86%,8.03%,5.84%,2.70,12%,18%,24%,7%,8%,80
H2230,Blue Cross Blue Shield of Massachusetts,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",73%,64%,90%,94%,38%,92,00:43,80%,97%,1.57%,82%,82%,29%,5%,36,78%,61%,64%,36%,84%,28%,53%,9%,99,96%,87.50%,1.57%,00:43,2%,100%,100,00:10,79,53%,23%,12%,11%,19%,0.06%,86,18.62%,7.26%,0.54%,5.78%,3.80%,13.26,9%,5%,24%,7%,5%,100
H2235,BayCare Health Plans,"BAYCARE SELECT HEALTH PLANS, INC.","BayCare Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:20,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,0.00%,00:20,3%,100%,101,00:06,87,No data available,No data available,8%,6%,No data available,0.00%,99,16.41%,4.31%,0.41%,5.72%,3.86%,7.56,23%,30%,22%,Not Available,14%,100
H2237,iCare,"INDEPENDENT CARE HEALTH PLAN, INC.",Independent Care Health Plan Inc.,62%,60%,97%,66%,37%,93,00:18,57%,95%,1.57%,76%,89%,39%,7%,70,77%,56%,64%,1%,83%,2%,38%,10%,94,100%,100.00%,1.57%,00:18,4%,100%,100,00:10,92,60%,44%,9%,9%,No data available,0.06%,98,18.41%,10.64%,1.23%,10.77%,10.92%,4.38,18%,26%,9%,Not Available,16%,100
