2021 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H2400,Signature Advantage (HMO SNP),"SIGNATURE ADVANTAGE, LLC","SA Plan, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H2406,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",19%,28%,26%,11%,11%
H2416,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,Not Available,Not Available,Not Available,Not Available,Not Available
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County,Not Available,Not Available,Not Available,Not Available,Not Available
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Not Available,Not Available,Not Available,Not Available,Not Available
H2422,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2425,Blue Plus,BLUE PLUS,"Aware Integrated, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2450,Medica,MEDICA INSURANCE COMPANY,Medica Holding Company,7%,10%,34%,5%,3%
H2456,UCare's MSHO,UCARE MINNESOTA,UCare Minnesota,Not Available,Not Available,Not Available,Not Available,Not Available
H2458,Medica,MEDICA HEALTH PLANS,Medica Holding Company,Not Available,Not Available,Not Available,Not Available,Not Available
H2459,UCare,UCARE MINNESOTA,UCare Minnesota,8%,6%,33%,6%,6%
H2461,Blue Cross and Blue Shield of Minnesota,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,"Aware Integrated, Inc.",6%,1%,42%,Not Available,7%
H2462,HealthPartners,"GROUP HEALTH PLAN, INC. (MN)","HealthPartners, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2463,Humana,"HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,23%,22%,23%,Not Available,18%
H2486,Humana,"HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,23%,23%,12%,7%,9%
H2491,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",Centene Corporation,27%,36%,13%,Not Available,15%
H2506,Aetna Better Health Premier Plan,AETNA BETTER HEALTH INC. (IL),CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H2531,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2533,Molina Healthcare of South Carolina,"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H2563,Optima Medicare,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),14%,34%,26%,8%,9%
H2577,UnitedHealthcare,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2582,UnitedHealthcare,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2591,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H2593,Amerigroup,"AMERIGROUP TEXAS, INC.",Anthem Inc.,31%,37%,18%,Not Available,21%
H2610,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Essence Group Holdings Corporation,19%,24%,11%,8%,9%
H2624,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Moses H. Cone Memorial Hospital Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2663,Aetna Medicare,"COVENTRY HEALTH CARE OF MISSOURI, INC",CVS Health Corporation,20%,24%,29%,9%,13%
H2678,MoreCare,"MA DELIVERY INNOVATIONS, INC.",MHNU Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2697,Devoted Health,"DEVOTED HEALTH PLAN OF OHIO, INC.","Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2722,Vantage Health Plan,"VANTAGE HEALTH PLAN OF ARKANSAS, INC.",Louisiana Health Service & Indemnity Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2765,"Summit Health Plan, Inc.","SUMMIT HEALTH PLAN, INC.","Moda Partners, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2775,WellCare,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Centene Corporation,23%,42%,22%,10%,15%
H2782,Western Health Advantage,WESTERN HEALTH ADVANTAGE,Western Health Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2793,"Imperial Insurance Companies, Inc",IMPERIAL INSURANCE COMPANIES INC.,Imperial Health Plan of California,37%,59%,13%,Not Available,25%
H2802,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",17%,16%,23%,7%,7%
H2816,WellCare,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Centene Corporation,21%,16%,39%,10%,12%
H2825,Mary Washington Medicare Advantage,MARY WASHINGTON HEALTH PLAN,Mary Washington Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2829,Innovation Health Medicare,"INNOVATION HEALTH PLAN, INC.","Innovation Health Holdings, LLC",20%,25%,22%,Not Available,15%
H2836,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H2853,Ascension Complete,CENTENE VENTURE COMPANY TENNESSEE,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2879,Molina Healthcare of Wisconsin,"MOLINA HEALTHCARE OF WISCONSIN, INC.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H2915,Allwell,"PENNSYLVANIA HEALTH & WELLNESS, INC.",Centene Corporation,25%,40%,8%,11%,18%
H2926,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,Not Available,Not Available,Not Available,Not Available,Not Available
H2944,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,20%,20%,37%,10%,12%
H2960,Senior Care Plus,"HOMETOWN HEALTH PLAN, INC.",Renown Health,19%,26%,21%,7%,13%
H2962,Ultimate Health Plans,"ULTIMATE HEALTH PLANS, INC.","ULTIMATE HEALTH PLAN, INC.",14%,40%,9%,7%,12%
H2986,Stanford Health Care Advantage,STANFORD HEALTHCARE ADVANTAGE,Stanford Health Care,27%,24%,31%,11%,18%
H3015,Shared Health Dual Plus,"SHARED HEALTH MISSISSIPPI, INC.",BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3047,WellCare,WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3071,Clear Spring Health,"COMMUNITY CARE ALLIANCE OF ILLINOIS, NFP",Group 1001,25%,43%,17%,Not Available,20%
H3113,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",18%,35%,13%,Not Available,16%
H3132,AHF,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H3146,Aetna Medicare,AETNA BETTER HEALTH INC. (GA),CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3152,Aetna Medicare,AETNA HEALTH INC. (NJ),CVS Health Corporation,18%,11%,36%,14%,13%
H3154,Horizon Blue Cross Blue Shield of New Jersey,HORIZON INSURANCE COMPANY,"Horizon Healthcare Services, Inc.",27%,39%,27%,15%,18%
H3170,Blue Cross and Blue Shield of Nebraska,"SAPPHIRE EDGE, INC.",Blue Cross Blue Shield of Nebraska,12%,4%,28%,10%,8%
H3192,Aetna Medicare,AETNA HEALTH OF MICHIGAN INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3204,Presbyterian Health Plan,PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,18%,29%,33%,14%,12%
H3206,"Presbyterian Insurance Company, Inc.","PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,11%,21%,59%,10%,7%
H3213,CareSource,CARESOURCE KENTUCKY CO.,CareSource Management Group Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3219,Allina Health Aetna Medicare,ALLINA HEALTH AND AETNA INSURANCE COMPANY,Allina Health and Aetna Insurance Holding Company,26%,43%,19%,Not Available,20%
H3237,Health Net Cal MediConnect Medicare Medicaid Plan,"HEALTH NET COMMUNITY SOLUTIONS, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H3239,Aetna Medicare,"AETNA BETTER HEALTH, INC. (LA)",CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H3240,Amerigroup Community Care,"AMERIGROUP NEW JERSEY, INC.",Anthem Inc.,30%,48%,15%,Not Available,12%
H3251,Blue Cross and Blue Shield of New Mexico,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,17%,23%,20%,9%,13%
H3256,UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3259,BlueCare Plus Tennessee,VOLUNTEER STATE HEALTH PLAN,BlueCross BlueShield of Tennessee,13%,31%,6%,Not Available,7%
H3276,ConnectiCare,"CONNECTICARE INSURANCE COMPANY, INC.","EmblemHealth, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H3281,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3288,Aetna Medicare,AETNA HEALTH AND LIFE INSURANCE COMPANY,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3291,PruittHealth Premier,"PRUITTHEALTH PREMIER, INC.","UNICO Premier, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H3293,"MMM of Florida, Inc.","MMM OF FLORIDA, INC.","Summit Master Company, LLC",33%,41%,17%,Not Available,Not Available
H3305,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",10%,5%,45%,9%,5%
H3307,UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",17%,37%,36%,12%,9%
H3312,Aetna Medicare,AETNA HEALTH INC. (NY),CVS Health Corporation,21%,29%,41%,17%,13%
H3330,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",35%,34%,25%,20%,23%
H3335,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",11%,8%,31%,8%,6%
H3342,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H3344,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",13%,29%,36%,6%,6%
H3347,Elderplan,"ELDERPLAN, INC.","Elderplan, Inc.",30%,39%,27%,25%,23%
H3351,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",9%,9%,26%,9%,7%
H3359,Healthfirst Medicare Plan,"HEALTHFIRST HEALTH PLAN, INC.","Healthfirst, Inc.",17%,21%,26%,18%,13%
H3362,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",13%,14%,42%,9%,7%
H3379,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",23%,21%,27%,14%,13%
H3384,BlueCross BlueShield of WNY and BlueShield of NENY,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,11%,10%,29%,12%,9%
H3387,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",17%,33%,7%,Not Available,13%
H3388,CDPHP Medicare Advantage,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","Capital District Physicians' Health Plan, Inc.",11%,11%,31%,9%,8%
H3404,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,12%,7%,39%,11%,7%
H3407,El Paso Health Advantage Dual SNP,"EL PASO FIRST HEALTH PLANS, INC.",El Paso County Hospital District,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3416,HealthPartners UnityPoint Health,"HEALTHPARTNERS UNITYPOINT HEALTH, INC.","HealthPartners UnityPoint Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H3418,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3419,Perennial Advantage,"PERENNIAL ADVANTAGE OF COLORADO, INC.","Perennial Consortium, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3442,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF ILLINOIS,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3447,Anthem HealthKeepers,"HEALTHKEEPERS, INC.",Anthem Inc.,20%,27%,11%,10%,17%
H3449,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,18%,15%,33%,17%,12%
H3464,UnitedHealthcare,"UNITEDHEALTHCARE OF ARKANSAS, INC.","UnitedHealth Group, Inc.",20%,29%,27%,10%,18%
H3467,ProCare Advantage,"PROCARE ADVANTAGE, LLC","First Sacramento Capital Funding, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3471,Health Alliance Northwest,HEALTH ALLIANCE NORTHWEST HEALTH PLAN,The Carle Foundation,19%,32%,21%,8%,11%
H3499,Allwell,COORDINATED CARE CORPORATION,Centene Corporation,28%,31%,18%,Not Available,22%
H3528,ConnectiCare,"CONNECTICARE, INC.","EmblemHealth, Inc.",12%,16%,24%,8%,6%
H3533,Humana,"HUMANA HEALTH COMPANY OF NEW YORK, INC.",Humana Inc.,32%,47%,21%,17%,19%
H3536,Anthem Blue Cross and Blue Shield,"MATTHEW THORNTON HEALTH PLAN, INC.",Anthem Inc.,11%,16%,23%,8%,11%
H3554,Arkansas Blue Medicare,USABLE PPO INSURANCE COMPANY,USAble Mutual Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3557,Blue Cross & Blue Shield of Rhode Island,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3561,"HEALTH NET COMMUNITY SOLUTIONS, INC.","HEALTH NET COMMUNITY SOLUTIONS, INC.",Centene Corporation,23%,26%,14%,Not Available,19%
H3572,AHF,"AHF MCO OF GEORGIA, INC.",AIDS Healthcare Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H3597,Aetna Medicare,AETNA HEALTH INC. (ME),CVS Health Corporation,19%,10%,16%,10%,13%
H3632,Medica,MEDICA COMMUNITY HEALTH PLAN,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3653,Paramount Elite/Medicare Plans,"PARAMOUNT CARE, INC.","Promedica Health System, Inc.",18%,22%,30%,8%,8%
H3655,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,Anthem Inc.,14%,22%,22%,8%,13%
H3660,SummaCare Medicare Advantage Plans,SUMMACARE INC.,Summa Health System Community,8%,34%,24%,7%,8%
H3664,PrimeTime Health Plan,AULTCARE HEALTH INSURING CORPORATION,Aultman Health Foundation,12%,19%,31%,8%,7%
H3668,MediGold,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health,14%,34%,31%,10%,9%
H3672,The Health Plan,"THE HEALTH PLAN OF WEST VIRGINIA, INC.","The Health Plan of West Virginia, Inc.",10%,21%,17%,8%,6%
H3706,GlobalHealth,"GLOBALHEALTH, INC.","Momentum Health Holdings, LLC",21%,32%,14%,Not Available,15%
H3708,American Health Advantage of Oklahoma,"OKLAHOMA SUPERIOR SELECT, INC.","American Health Companies, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H3725,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF ILLINOIS,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3727,Communicare Advantage,OH CHS SNP INC.,"SNP Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3748,Aetna Medicare,"AETNA BETTER HEALTH OF WASHINGTON, INC.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3749,UnitedHealthcare,"UNITEDHEALTHCARE OF OKLAHOMA, INC.","UnitedHealth Group, Inc.",14%,18%,18%,8%,10%
H3755,CommunityCare Senior Health Plan (HMO),"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.",St Francis Health System & St John Health System,14%,28%,26%,9%,9%
H3777,"Experience Health, Inc.","EXPERIENCE HEALTH, INC.","EXPERIENCE HEALTH, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3794,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",17%,24%,12%,7%,15%
H3800,Provider Partners Health Plans,PROVIDER PARTNERS HEALTH PLAN OF ILLINOIS,"Rifkin Managed Care Holding Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3805,UnitedHealthcare,"UNITEDHEALTHCARE OF OREGON, INC.","UnitedHealth Group, Inc.",9%,14%,24%,8%,11%
H3810,AllCare Advantage,"ALLCARE HEALTH PLAN, INC.","AllCare Health, Inc.",21%,17%,32%,10%,13%
H3811,Samaritan Advantage Health Plan,"SAMARITAN HEALTH PLANS, INC.",Samaritan Health Services,15%,13%,35%,7%,9%
H3813,"Moda Health Plan, Inc.","MODA HEALTH PLAN, INC.","Moda Partners, Inc.",6%,5%,35%,5%,5%
H3814,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not Available,Not Available,Not Available,Not Available,Not Available
H3815,Alignment Health Plan,ALIGNMENT HEALTH PLAN,"Alignment Healthcare USA, LLC",14%,30%,14%,11%,11%
H3817,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OREGON,"Cambia Health Solutions, Inc.",16%,25%,32%,12%,7%
H3822,"Blue Cross and Blue Shield of IL, NM",HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,21%,24%,28%,7%,15%
H3832,HMSA Akamai Advantage,HAWAII MEDICAL SERVICE ASSOCIATION,Hawaii Medical Service Association,14%,4%,44%,8%,12%
H3864,PacificSource Medicare,PACIFICSOURCE COMMUNITY HEALTH PLANS,PacificSource,10%,10%,21%,6%,6%
H3890,Johns Hopkins HealthCare,"HOPKINS HEALTH ADVANTAGE, INC.",Johns Hopkins Healthcare LLC,26%,23%,44%,8%,15%
H3907,UPMC for Life,"UPMC HEALTH PLAN, INC.",UPMC Health System,9%,22%,35%,9%,5%
H3909,Independence Blue Cross,QCC INSURANCE COMPANY,"Independence Health Group, Inc.",11%,4%,50%,9%,12%
H3916,Highmark Inc.,HIGHMARK SENIOR HEALTH COMPANY,Highmark Health,8%,22%,30%,6%,5%
H3923,Capital Advantage Insurance Company,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital BlueCross,18%,7%,52%,8%,7%
H3924,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Health,9%,14%,26%,7%,7%
H3928,Aetna Medicare,AETNA HEALTH INC. (LA),CVS Health Corporation,21%,28%,24%,17%,17%
H3931,Aetna Medicare,AETNA HEALTH INC. (PA),CVS Health Corporation,13%,12%,24%,12%,12%
H3949,Cigna,"BRAVO HEALTH PENNSYLVANIA, INC.",CIGNA,20%,35%,19%,Not Available,14%
H3952,Independence Blue Cross,"KEYSTONE HEALTH PLAN EAST, INC.","Independence Health Group, Inc.",8%,13%,29%,12%,11%
H3954,Geisinger Gold,GEISINGER HEALTH PLAN,Geisinger Health,14%,26%,26%,7%,8%
H3957,Highmark Inc.,HIGHMARK CHOICE COMPANY,Highmark Health,11%,28%,28%,5%,5%
H3959,Aetna Medicare,AETNA HEALTH INC. (PA),CVS Health Corporation,13%,26%,19%,11%,9%
H3962,"Keystone Health Plan Central, Inc.","KEYSTONE HEALTH PLAN CENTRAL, INC.",Capital BlueCross,21%,22%,30%,13%,13%
H3975,WellCare,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3979,Blue Cross and Blue Shield of Oklahoma,"GHS HEALTH MAINTENANCE ORGANIZATION, INC.",Health Care Service Corporation,26%,20%,18%,12%,16%
H4003,Medicare y Mucho M‡s,"MMM HEALTHCARE, LLC","Summit Master Company, LLC",17%,24%,16%,Not Available,12%
H4004,PMC Medicare Choice,"MMM HEALTHCARE, LLC","Summit Master Company, LLC",11%,22%,12%,Not Available,11%
H4005,Triple-S Advantage,"TRIPLE S ADVANTAGE, INC.",Triple-S Management Corporation,10%,7%,48%,Not Available,9%
H4007,Humana,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,19%,14%,18%,Not Available,17%
H4036,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,16%,13%,37%,12%,12%
H4091,Simpra Advantage,"SIMPRA ADVANTAGE, INC.","SeniorSelect Partners, Inc",Not Available,Not Available,Not Available,Not Available,Not Available
H4093,Provider Partners Health Plans,"PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC","Rifkin Managed Care Holding Company, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H4094,UnitedHealthcare,"OPTIMUM CHOICE, INC.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H4140,"Doctors HealthCare Plans, Inc.","DOCTORS HEALTHCARE PLANS, INC.","DOCTORS HEALTHCARE PLANS, INC.",21%,28%,11%,Not Available,Not Available
H4141,Humana,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",Humana Inc.,26%,28%,19%,12%,15%
H4152,Blue Cross & Blue Shield of Rhode Island,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,10%,5%,16%,8%,5%
H4172,NHC Advantage,"NHC ADVANTAGE, LLC","Missouri Healthcare Advisors, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H4198,CommunityCare Advantage Medicare Plan (HMO),"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.",St Francis Health System & St John Health System,7%,11%,27%,6%,6%
H4213,Arkansas Blue Medicare,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,9%,7%,40%,6%,6%
H4227,VISTA Health Plan Inc.,"VISTA HEALTH PLAN, INC.","Independence Health Group, Inc.",15%,36%,11%,Not Available,14%
H4232,American Health Advantage of Utah,"AMERICAN HEALTH PLAN OF UT, INC.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4236,Sunrise Advantage Plan,"SPARTAN PLAN PA, INC.",Public Sector Pension Investment Board,Not Available,Not Available,Not Available,Not Available,Not Available
H4279,UPMC for Life Dual,"UPMC FOR YOU, INC",UPMC Health System,11%,18%,5%,Not Available,11%
H4304,Advantage U,UNIVERSITY OF UTAH HEALTH INSURANCE PLANS,University of Utah,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4343,Ascension Complete,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4346,Anthem Blue Cross and Blue Shield,"HMO COLORADO, INC.",Anthem Inc.,34%,44%,18%,17%,25%
H4388,"Security Health Plan of Wisconsin, Inc.","SECURITY HEALTH PLAN OF WISCONSIN, INC.","Marshfield Clinic Health System, Inc.",6%,2%,19%,Not Available,Not Available
H4407,Cigna,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,21%,53%,10%,10%,11%
H4461,Humana,CARITEN HEALTH PLAN INC.,Humana Inc.,14%,19%,31%,Not Available,12%
H4490,American Health Advantage of Missouri,"MISSOURI MEDICARE SELECT, LLC","American Health Companies, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H4497,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,MEDICAL MUTUAL OF OHIO,6%,20%,25%,7%,5%
H4506,WellCare,"SELECTCARE OF TEXAS, INC.",Centene Corporation,26%,31%,14%,12%,18%
H4513,Cigna,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,20%,36%,11%,9%,11%
H4514,UnitedHealthcare,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealth Group, Inc.",17%,34%,7%,8%,10%
H4523,Aetna Medicare,AETNA HEALTH INC. (TX),CVS Health Corporation,22%,32%,24%,12%,12%
H4527,UnitedHealthcare,"PHYSICIANS HEALTH CHOICE OF TEXAS, LLC","UnitedHealth Group, Inc.",14%,35%,19%,Not Available,11%
H4544,Peoples Health,"PEOPLES HEALTH, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4590,UnitedHealthcare,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC.","UnitedHealth Group, Inc.",20%,33%,12%,7%,12%
