,Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP,Part C Summary,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,Part D Summary,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,Year,Overall
2434,H6815,Local CCP,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.",Centene Corporation,5.0,3.0,0.0,0.0,0.0,4.0,3.0,5.0,4.0,5.0,0.0,0.0,0.0,3.0,5.0,4.0,5.0,0.0,5.0,5.0,0.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,4.0,1.0,4.5,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,5.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4.5
2436,H6864,Local CCP,"GUILDNET, INC.",GuildNet,Jewish Guild for the Blind,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,3.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,False
2443,H7006,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,5.0,3.0,0.0,0.0,0.0,3.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,0.0,4.0,0.0,3.5,4.0,2.0,0.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4
2446,H7149,Local CCP,AETNA HEALTH INC. (PA),Coventry Health Care,Aetna Inc.,3.0,3.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,5.0,5.0,0.0,2.0,4.0,3.0,5.0,3.0,5.0,2.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,0.0,4.0,0.0,3.5,5.0,5.0,0.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.5,0.0,0.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2448,H7173,Local CCP,"PEACH STATE HEALTH PLAN, INC.",Peach State Health Plan,Centene Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,False
2449,H7200,Local CCP,"AMERIGROUP TENNESSEE, INC.",Amerigroup,Anthem Inc.,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,0.0,2.0,3.0,4.0,3.0,0.0,3.0,2.0,0.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,0.0,0.0,5.0,2.0,3.0,3.0,0.0,0.0,1.0,3.0,5.0,4.0,0.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3
2450,H7220,Local CCP,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health Plans - Medicare,Indiana University Health,4.0,4.0,0.0,0.0,0.0,5.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,5.0,5.0,0.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,0.0,0.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,3.5,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4
2452,H7301,Local CCP,"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Coventry Health Care of Illinois, Inc.",Aetna Inc.,4.0,3.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,0.0,4.0,5.0,0.0,1.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,5.0,2.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,0.0,4.0,0.0,3.5,5.0,5.0,0.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.5,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4
2455,H7678,Local CCP,"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc.,",2.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,0.0,0.0,5.0,4.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,0.0,3.0,1.0,3.5,4.0,5.0,0.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2458,H7787,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,4.0,3.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,2.5,0.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.5,0.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3
2463,H7917,Local CCP,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,5.0,3.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,4.0,3.0,0.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,4.0,0.0,5.0,0.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4
2473,H8091,Local CCP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,5.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,3.5,5.0,5.0,0.0,4.0,5.0,0.0,3.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,3.5,0.0,0.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2474,H8130,Local CCP,"MOLINA HEALTHCARE OF FLORIDA, INC.",Molina Healthcare of Florida,"Molina Healthcare, Inc.,",4.0,4.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,5.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,2.0,0.0,3.0,1.0,3.5,4.0,5.0,0.0,4.0,5.0,2.0,3.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.5,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2476,H8145,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.0,3.0,0.0,0.0,0.0,3.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,5.0,4.0,0.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,5.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,0.0,4.0,0.0,3.5,4.0,1.0,1.0,5.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.5,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2479,H8189,Local CCP,"MANAGED HEALTH SERVICES, WISCONSIN",MHS Health Wisconsin Advantage,Centene Corporation,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,4.0,5.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,3.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,1.0,4.0,4.0,3.0,0.0,5.0,5.0,5.0,4.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.5,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4
2492,H8552,Local CCP,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,Anthem Blue Cross Life and Health Insurance Co.,Anthem Inc.,4.0,3.0,0.0,0.0,0.0,3.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,2.0,0.0,4.0,1.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.5,0.0,0.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3
2494,H8578,Local CCP,"HEALTH NEW ENGLAND, INC.",Health New England Medicare Advantage Plans,"Baystate Health, Inc.",5.0,5.0,0.0,0.0,0.0,5.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,5.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,5.0,0.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.5,0.0,0.0,4.0,5.0,4.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4
2495,H8604,Local CCP,THP INSURANCE COMPANY,The Health Plan,Health Plan of the Upper Ohio Valley,4.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,4.0,4.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,False
2497,H8649,Local CCP,"AETNA HEALTH OF UTAH, INC",Altius Health Plans,Aetna Inc.,3.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,4.0,1.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,0.0,4.0,0.0,3.5,5.0,5.0,0.0,5.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2499,H8748,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,4.0,0.0,0.0,2.0,5.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,0.0,0.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,3.5,5.0,4.0,0.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2505,H9001,Local CCP,FALLON COMMUNITY HEALTH PLAN,Fallon Health,Fallon Community Health Plan,5.0,4.0,0.0,0.0,0.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,0.0,3.0,4.0,4.0,5.0,0.0,5.0,4.0,0.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,3.0,2.0,4.0,4.0,5.0,0.0,3.0,1.0,4.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.5,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4.5
2506,H9003,Local CCP,KAISER FOUNDATION HP OF THE N W,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,0.0,5.0,5.0,0.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,0.0,5.0,0.0,4.5,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,5
2507,H9047,Local CCP,PROVIDENCE HEALTH ASSURANCE,Providence Health Assurance,Providence Health & Services,5.0,4.0,0.0,0.0,0.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,0.0,5.0,5.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,0.0,4.0,1.0,4.5,5.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,4.5,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4.5
2508,H9082,Local CCP,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",5.0,4.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,0.0,0.0,3.0,4.0,3.0,0.0,4.0,5.0,0.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,4.5,4.0,5.0,0.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.5,4.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4
2510,H9104,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,False
2519,H9302,Local CCP,SOUNDPATH HEALTH,Soundpath Health,Catholic Health Initiatives,3.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,2.0,5.0,0.0,1.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,5.0,0.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,4.5,0.0,0.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2528,H9572,Local CCP,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan Mutual Insuranc,5.0,4.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,0.0,3.0,4.0,0.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,0.0,5.0,0.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.5,0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4
2533,H9615,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",5.0,3.0,0.0,0.0,0.0,5.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,5.0,5.0,0.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,0.0,5.0,0.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,4.5,0.0,0.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,4.5
2546,H9947,Local CCP,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",Blue Cross Blue Shield of Georgia,Anthem Inc.,4.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,0.0,4.0,0.0,3.0,5.0,2.0,0.0,3.0,4.0,3.0,2.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.5,0.0,0.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3
2548,R3175,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,5.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,0.0,4.0,2.0,0.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0,0.0,0.0,4.0,3.0,4.0,2.0,0.0,0.0,1.0,3.5,5.0,4.0,0.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2549,R3332,Regional CCP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Guidewell Mutual Holding Corporation,4.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,3.0,3.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,0.0,4.0,0.0,3.5,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,5.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2550,R3444,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,"UnitedHealth Group, Inc.",2.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,0.0,4.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,0.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
2552,R5342,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",3.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,4.0,4.0,0.0,1.0,3.0,4.0,5.0,1.0,4.0,1.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,0.0,5.0,0.0,3.5,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3.5
